dataset,seed,task,method,scope,n_images,n_classes,correct_sample,correct_macro,to_other_sample,to_other_macro,wrong_within_sample,wrong_within_macro
HK,1993,4,N10,old,609,6,0.0,0.0,100.0,100.0,0.0,0.0
HK,1993,4,N10,current,162,2,99.38271604938271,90.0,0.0,0.0,0.6172839506172839,10.0
HK,1994,4,N10,old,399,6,36.340852130325814,14.951958610495195,63.65914786967418,85.0480413895048,0.0,0.0
HK,1994,4,N10,current,7,2,71.42857142857143,50.0,0.0,0.0,28.57142857142857,50.0
HK,1995,4,N10,old,516,6,0.0,0.0,100.0,100.0,0.0,0.0
HK,1995,4,N10,current,154,2,100.0,100.0,0.0,0.0,0.0,0.0
ISIC,1993,4,N10,old,212,6,0.0,0.0,100.0,100.0,0.0,0.0
ISIC,1993,4,N10,current,83,2,89.1566265060241,89.42420681551117,0.0,0.0,10.843373493975903,10.575793184488838
ISIC,1994,4,N10,old,223,6,0.0,0.0,100.0,100.0,0.0,0.0
ISIC,1994,4,N10,current,72,2,81.94444444444444,75.0,0.0,0.0,18.055555555555554,25.0
ISIC,1995,4,N10,old,225,6,0.0,0.0,100.0,100.0,0.0,0.0
ISIC,1995,4,N10,current,70,2,82.85714285714286,75.0,0.0,0.0,17.142857142857142,25.0
HK,1993,4,N1,old,609,6,0.0,0.0,100.0,100.0,0.0,0.0
HK,1993,4,N1,current,162,2,99.38271604938271,90.0,0.0,0.0,0.6172839506172839,10.0
HK,1994,4,N1,old,399,6,36.84210526315789,15.153978812515398,63.1578947368421,84.8460211874846,0.0,0.0
HK,1994,4,N1,current,7,2,71.42857142857143,50.0,0.0,0.0,28.57142857142857,50.0
HK,1995,4,N1,old,516,6,0.0,0.0,100.0,100.0,0.0,0.0
HK,1995,4,N1,current,154,2,100.0,100.0,0.0,0.0,0.0,0.0
ISIC,1993,4,N1,old,212,6,0.0,0.0,100.0,100.0,0.0,0.0
ISIC,1993,4,N1,current,83,2,89.1566265060241,89.42420681551117,0.0,0.0,10.843373493975903,10.575793184488838
ISIC,1994,4,N1,old,223,6,0.0,0.0,100.0,100.0,0.0,0.0
ISIC,1994,4,N1,current,72,2,81.94444444444444,75.0,0.0,0.0,18.055555555555554,25.0
ISIC,1995,4,N1,old,225,6,0.0,0.0,100.0,100.0,0.0,0.0
ISIC,1995,4,N1,current,70,2,80.0,70.83333333333334,0.0,0.0,20.0,29.166666666666668
HK,1993,4,C2,old,609,6,90.47619047619048,82.90217478353988,4.105090311986864,2.5331748861160626,5.41871921182266,14.564650330344053
HK,1993,4,C2,current,162,2,85.18518518518519,92.35668789808918,12.962962962962962,6.687898089171974,1.8518518518518516,0.9554140127388535
HK,1993,4,C3,old,609,6,90.47619047619048,82.90217478353988,4.105090311986864,2.5331748861160626,5.41871921182266,14.564650330344053
HK,1993,4,C3,current,162,2,85.18518518518519,92.35668789808918,12.962962962962962,6.687898089171974,1.8518518518518516,0.9554140127388535
HK,1994,4,C2,old,399,6,94.48621553884712,80.2593883081688,0.5012531328320802,0.20833333333333334,5.012531328320802,19.53227835849787
HK,1994,4,C2,current,7,2,57.14285714285714,40.0,42.857142857142854,60.0,0.0,0.0
HK,1994,4,C3,old,399,6,94.48621553884712,80.2593883081688,0.5012531328320802,0.20833333333333334,5.012531328320802,19.53227835849787
HK,1994,4,C3,current,7,2,57.14285714285714,40.0,42.857142857142854,60.0,0.0,0.0
HK,1995,4,C2,old,516,6,98.25581395348837,82.47120596205963,0.1937984496124031,0.10416666666666667,1.550387596899225,17.42462737127371
HK,1995,4,C2,current,154,2,96.1038961038961,92.68292682926828,3.896103896103896,7.317073170731707,0.0,0.0
HK,1995,4,C3,old,516,6,98.25581395348837,82.47120596205963,0.1937984496124031,0.10416666666666667,1.550387596899225,17.42462737127371
HK,1995,4,C3,current,154,2,96.1038961038961,92.68292682926828,3.896103896103896,7.317073170731707,0.0,0.0
ISIC,1993,4,C2,old,212,6,61.79245283018868,62.38708135049599,10.377358490566039,10.5700865456963,27.830188679245282,27.04283210380772
ISIC,1993,4,C2,current,83,2,45.78313253012048,46.32784958871915,51.80722891566265,51.233842538190366,2.4096385542168677,2.4383078730904817
ISIC,1993,4,C3,old,212,6,61.79245283018868,62.38708135049599,10.377358490566039,10.5700865456963,27.830188679245282,27.04283210380772
ISIC,1993,4,C3,current,83,2,48.19277108433735,48.766157461809634,49.39759036144578,48.79553466509988,2.4096385542168677,2.4383078730904817
ISIC,1994,4,C2,old,223,6,54.26008968609865,53.67433397921203,8.071748878923767,8.429790655400412,37.66816143497758,37.89587536538757
ISIC,1994,4,C2,current,72,2,62.5,68.1438127090301,33.33333333333333,26.923076923076923,4.166666666666666,4.933110367892977
ISIC,1994,4,C3,old,223,6,53.36322869955157,52.87148845075674,7.623318385650224,7.9793402049499615,39.01345291479821,39.1491713442933
ISIC,1994,4,C3,current,72,2,59.72222222222222,65.96989966555184,36.11111111111111,29.09698996655518,4.166666666666666,4.933110367892977
ISIC,1995,4,C2,old,225,6,63.11111111111111,64.29509459997264,6.222222222222222,6.146758646758647,30.666666666666664,29.558146753268705
ISIC,1995,4,C2,current,70,2,51.42857142857142,53.07971014492754,44.285714285714285,40.67028985507246,4.285714285714286,6.25
ISIC,1995,4,C3,old,225,6,63.11111111111111,64.29509459997264,6.222222222222222,6.146758646758647,30.666666666666664,29.558146753268705
ISIC,1995,4,C3,current,70,2,51.42857142857142,53.07971014492754,44.285714285714285,40.67028985507246,4.285714285714286,6.25
HK,1993,4,B1A,old,609,6,90.47619047619048,82.90217478353988,4.105090311986864,2.5331748861160626,5.41871921182266,14.564650330344053
HK,1993,4,B1A,current,162,2,85.18518518518519,92.35668789808918,12.962962962962962,6.687898089171974,1.8518518518518516,0.9554140127388535
HK,1993,4,B1T,old,609,6,90.47619047619048,82.90217478353988,4.105090311986864,2.5331748861160626,5.41871921182266,14.564650330344053
HK,1993,4,B1T,current,162,2,85.18518518518519,92.35668789808918,12.962962962962962,6.687898089171974,1.8518518518518516,0.9554140127388535
HK,1994,4,B1A,old,399,6,94.48621553884712,80.2593883081688,0.5012531328320802,0.20833333333333334,5.012531328320802,19.53227835849787
HK,1994,4,B1A,current,7,2,57.14285714285714,40.0,42.857142857142854,60.0,0.0,0.0
HK,1994,4,B1T,old,399,6,94.48621553884712,80.2593883081688,0.5012531328320802,0.20833333333333334,5.012531328320802,19.53227835849787
HK,1994,4,B1T,current,7,2,57.14285714285714,40.0,42.857142857142854,60.0,0.0,0.0
HK,1995,4,B1A,old,516,6,98.25581395348837,82.47120596205963,0.3875968992248062,0.20833333333333334,1.3565891472868217,17.320460704607047
HK,1995,4,B1A,current,154,2,96.1038961038961,92.68292682926828,3.896103896103896,7.317073170731707,0.0,0.0
HK,1995,4,B1T,old,516,6,98.25581395348837,82.47120596205963,0.3875968992248062,0.20833333333333334,1.3565891472868217,17.320460704607047
HK,1995,4,B1T,current,154,2,96.1038961038961,92.68292682926828,3.896103896103896,7.317073170731707,0.0,0.0
ISIC,1993,4,B1A,old,212,6,62.735849056603776,63.18253589595053,9.90566037735849,10.225082450692206,27.358490566037734,26.592381653357265
ISIC,1993,4,B1A,current,83,2,51.80722891566265,52.29142185663924,45.78313253012048,45.270270270270274,2.4096385542168677,2.4383078730904817
ISIC,1993,4,B1T,old,212,6,62.735849056603776,63.18253589595053,10.377358490566039,10.631586515732856,26.88679245283019,26.185877588316615
ISIC,1993,4,B1T,current,83,2,51.80722891566265,52.29142185663924,45.78313253012048,45.270270270270274,2.4096385542168677,2.4383078730904817
ISIC,1994,4,B1A,old,223,6,52.91479820627802,52.410875398680275,8.520179372197308,8.836294720441062,38.56502242152467,38.752829880878664
ISIC,1994,4,B1A,current,72,2,62.5,68.1438127090301,33.33333333333333,26.923076923076923,4.166666666666666,4.933110367892977
ISIC,1994,4,B1T,old,223,6,52.46636771300448,52.00437133363963,8.071748878923767,8.385844269990612,39.46188340807175,39.609784396369754
ISIC,1994,4,B1T,current,72,2,65.27777777777779,70.31772575250837,30.555555555555557,24.74916387959866,4.166666666666666,4.933110367892977
ISIC,1995,4,B1A,old,225,6,62.66666666666667,63.888590534932,7.111111111111111,6.959766776839947,30.22222222222222,29.15164268822806
ISIC,1995,4,B1A,current,70,2,51.42857142857142,53.07971014492754,44.285714285714285,40.67028985507246,4.285714285714286,6.25
ISIC,1995,4,B1T,old,225,6,62.66666666666667,63.888590534932,7.111111111111111,6.959766776839947,30.22222222222222,29.15164268822806
ISIC,1995,4,B1T,current,70,2,51.42857142857142,53.07971014492754,44.285714285714285,40.67028985507246,4.285714285714286,6.25
