dataset,seed,task,contrast,metric,difference_pp,low,high
HK,1993,4,N10-C3,BA,-62.76580306217721,-69.51583439334995,-56.4408037974597
HK,1994,4,N10-C3,BA,-46.48057227325521,-54.41418870763383,-38.891237065779755
HK,1995,4,N10-C3,BA,-60.024136178861795,-61.272865853658544,-58.54430259146342
HK,fixed_three_mean,4,N10-C3,BA,-56.42350383809807,-59.25516922127589,-53.56095062178071
HK,1993,4,N10-C3,old,-82.90217478353988,-88.81962912992856,-75.9140314589723
HK,1994,4,N10-C3,old,-65.3074296976736,-74.2712548503326,-58.60553982771971
HK,1995,4,N10-C3,old,-82.47120596205961,-83.02083333333333,-81.81487127371274
HK,fixed_three_mean,4,N10-C3,old,-76.89360348109103,-80.41856898414275,-73.33533392018963
HK,1993,4,N10-C3,current,-2.3566878980891772,-23.0015923566879,9.554140127388536
HK,1994,4,N10-C3,current,10.0,0.0,30.0
HK,1995,4,N10-C3,current,7.317073170731703,2.439024390243901,13.414634146341456
HK,fixed_three_mean,4,N10-C3,current,4.986795090880842,3.1303402205996584,7.125925638237269
HK,1993,4,N10-C3,tail,-45.71428571428572,-72.85714285714286,-21.42857142857143
HK,1994,4,N10-C3,tail,-26.25,-38.78125,-11.25
HK,1995,4,N10-C3,tail,-50.0,-50.0,-50.0
HK,fixed_three_mean,4,N10-C3,tail,-40.654761904761905,-47.5,-33.80952380952381
HK,1993,4,N10-C3,HM,-87.37441479881069,-90.74978650979902,-83.26670194108854
HK,1994,4,N10-C3,HM,-30.370823541527216,-40.64333377245437,-8.470711642058932
HK,1995,4,N10-C3,HM,-87.27938788414968,-89.38220843923848,-84.64164295231544
HK,fixed_three_mean,4,N10-C3,HM,-68.34154207482919,-72.46686750987251,-60.788294308586565
HK,1993,4,N1-B1T,BA,-62.76580306217721,-69.51583439334995,-56.4408037974597
HK,1994,4,N1-B1T,BA,-46.32905712174006,-54.24319839840038,-38.74046142500792
HK,1995,4,N1-B1T,BA,-60.024136178861795,-61.272865853658544,-58.54430259146342
HK,fixed_three_mean,4,N1-B1T,BA,-56.37299878759302,-59.24696555048636,-53.554909658873946
HK,1993,4,N1-B1T,old,-82.90217478353988,-88.81962912992856,-75.9140314589723
HK,1994,4,N1-B1T,old,-65.10540949565339,-74.05926204554255,-58.436013829497064
HK,1995,4,N1-B1T,old,-82.47120596205961,-83.02083333333333,-81.81487127371274
HK,fixed_three_mean,4,N1-B1T,old,-76.82626341375097,-80.39583969428973,-73.25142588617511
HK,1993,4,N1-B1T,current,-2.3566878980891772,-23.0015923566879,9.554140127388536
HK,1994,4,N1-B1T,current,10.0,0.0,30.0
HK,1995,4,N1-B1T,current,7.317073170731703,2.439024390243901,13.414634146341456
HK,fixed_three_mean,4,N1-B1T,current,4.986795090880842,3.1303402205996584,7.125925638237269
HK,1993,4,N1-B1T,tail,-45.71428571428572,-72.85714285714286,-21.42857142857143
HK,1994,4,N1-B1T,tail,-26.25,-38.78125,-11.25
HK,1995,4,N1-B1T,tail,-50.0,-50.0,-50.0
HK,fixed_three_mean,4,N1-B1T,tail,-40.654761904761905,-47.5,-33.80952380952381
HK,1993,4,N1-B1T,HM,-87.37441479881069,-90.74978650979902,-83.26670194108854
HK,1994,4,N1-B1T,HM,-30.13213497763919,-40.35722208927852,-8.22963117426793
HK,1995,4,N1-B1T,HM,-87.27938788414968,-89.38220843923848,-84.64164295231544
HK,fixed_three_mean,4,N1-B1T,HM,-68.26197922019985,-72.4262013136532,-60.69796953329585
HK,1993,4,N10-C2,BA,-62.76580306217721,-69.51583439334995,-56.4408037974597
HK,1994,4,N10-C2,BA,-46.48057227325521,-54.41418870763383,-38.891237065779755
HK,1995,4,N10-C2,BA,-60.024136178861795,-61.272865853658544,-58.54430259146342
HK,fixed_three_mean,4,N10-C2,BA,-56.42350383809807,-59.25516922127589,-53.56095062178071
HK,1993,4,N10-C2,old,-82.90217478353988,-88.81962912992856,-75.9140314589723
