dataset,seed,task,status,seconds,cvxpy,clarabel,iterations,eta,v_tilde_mean_by_class,u_mean_by_class,objective,normalized_max_constraint_violation,xi,active_constraints,primal_residual,dual_residual
HK,1993,1,optimal,0.01573400100460276,1.7.3,0.11.1,6,0.1,"[0.00018268043569532016, 0.0002209356757868819]","[7.307217427812827e-06, 3.529323894359142e-07]",4.403611533859895e-11,0.0,"[4.037427438539283e-10, 4.769795624637219e-10]",0,4.604327802181732e-11,1.818547931913069e-09
HK,1993,2,optimal,0.04286265900009312,1.7.3,0.11.1,8,0.1,"[0.00016536040064950625, 0.0002036514887620448, 0.00017041157446260287, 0.00014913163337069966]","[1.2042022921603152e-05, 5.752928762654906e-06, 1.0204285895964243e-06, 2.2803002044449465e-07]",1.9014687489325828e-10,0.0,"[1.4522925464202799e-09, 2.2753849737497942e-09, 2.102647080440695e-09, 1.7755503940349285e-09]",0,3.224668403590338e-11,1.1911488519851977e-09
HK,1993,3,optimal,0.10085211298428476,1.7.3,0.11.1,9,0.1,"[0.00015332065182898017, 0.00019135361650681468, 0.00015882510858653898, 0.00013948457620321754, 0.00011211594582188379, 0.00017125478317554517]","[2.195584478717612e-05, 1.6128695417701935e-05, 1.2054785594512506e-05, 1.1317016208608527e-05, 1.5233144812755938e-07, 6.561485945423164e-07]",2.420637575204815e-11,0.0,"[7.086191862225293e-11, 3.602970664066352e-10, 1.8308984988452987e-10, 3.856585617108271e-10, 2.5985639367439937e-10, 1.9261875472746016e-10]",0,3.5114729406967532e-12,1.0580401902754999e-10
HK,1993,4,optimal,0.40539071802049875,1.7.3,0.11.1,9,0.1,"[0.00013779109560745035, 0.0001687896058783752, 0.00013878292270514883, 0.00012155629315055369, 9.622122272300569e-05, 0.00014710989546659313, 0.0001762922049219455, 0.00020621354333599277]","[5.888138474385494e-05, 5.363937287782911e-05, 5.0801182251556725e-05, 5.015601267792401e-05, 4.234253614873032e-05, 4.2775440238001886e-05, 7.664878474867195e-06, 3.202073654285606e-07]",5.412268657396218e-10,0.0,"[5.93836766507546e-09, 4.738580893169066e-09, 5.339331276641204e-09, 5.088251049071152e-09, 5.157979909910319e-09, 6.731541751519675e-09, 5.583210549666704e-09, 4.720886063681004e-09]",0,9.501401870228184e-11,1.2370823293080966e-09
HK,1993,5,optimal,0.37912951299222186,1.7.3,0.11.1,12,0.1,"[0.00012355392493092706, 0.00014909531317445365, 0.00012121689581664841, 0.00010579734993565644, 8.209109564491514e-05, 0.00012533087023200275, 0.00014312103083255045, 0.00016179270452686793, 0.00018743755705738634, 0.00017755422158307374]","[9.986127681536101e-05, 9.515729124492044e-05, 9.380369438937069e-05, 9.323961436204154e-05, 8.92210816120869e-05, 8.958973970245544e-05, 7.510003858917243e-05, 6.912861598236428e-05, 1.0413197614299236e-05, 5.222182987737468e-06]",1.3796721609035736e-08,0.0,"[1.6992681136937588e-09, 8.184785733584249e-10, 6.898831820352944e-10, 7.337742638111848e-10, 8.878662685653931e-10, 1.5772252820648712e-10, 7.847347385079268e-10, 8.075228264766186e-10, 7.912153164732378e-10, 7.673589801137577e-10]",0,4.866129938742992e-13,2.278693534553949e-15
HK,1993,6,optimal,0.6189762150170282,1.7.3,0.11.1,11,0.1,"[0.00011790690421925875, 0.0001445962678577697, 0.00011686795372474767, 0.00010188326066647536, 7.807391570449842e-05, 0.0001187530459174933, 0.00012453981062932957, 0.0001409036369867088, 0.00014269468847675872, 0.00013161661845830037, 0.00015747059349690667, 0.0001443460534094685]","[7.862851148463581e-05, 7.41432197693124e-05, 7.380748955860659e-05, 7.326346625471276e-05, 7.158737244733661e-05, 7.193628627061452e-05, 7.11539799284396e-05, 6.595800002062195e-05, 5.5032125931211915e-05, 5.097572025153808e-05, 1.8525952176106696e-06, 2.1804539789949851e-07]",0.0001645785278979691,0.0,"[1.4237594476626805e-07, 1.1240892798742533e-08, 1.7887503765382298e-08, 1.041035739108096e-08, 8.957396192593535e-09, 0.015265585095514267, 8.874685262704078e-09, 1.2719697760334465e-08, 9.655153756955953e-09, 9.687368411661507e-09, 9.592280779964919e-09, 1.1156157967106038e-08]",2,1.150473231385318e-10,1.0395609869857246e-09
HK,1993,7,optimal,1.3135044960072264,1.7.3,0.11.1,11,0.1,"[7.380456381129276e-05, 8.80085446233277e-05, 7.110752229059866e-05, 6.163517420204016e-05, 4.6803805101355096e-05, 7.187349530958508e-05, 7.64458647261464e-05, 8.373843561640973e-05, 8.555617828111218e-05, 7.650625319463639e-05, 8.875894914171214e-05, 8.03294047694709e-05, 0.00015779380941704217, 0.00014190571214932126]","[0.00010296246456603966, 0.0001001508707430182, 0.00010007898252951149, 9.974743236849111e-05, 9.902614180126692e-05, 9.92379270514353e-05, 0.00010052907589004464, 9.733537126781515e-05, 9.664381545811019e-05, 9.414087835998235e-05, 7.816104855721406e-05, 7.723816913787167e-05, 1.2424709402916697e-06, 5.631179053544493e-07]",0.0012672215736218135,0.0,"[0.05557264159191022, 6.977242105409874e-08, 1.3366041616095407e-09, 7.505190453391279e-09, 8.843568709570888e-09, 0.07229688820824717, 1.227595543377329e-08, 0.044566869546644024, 7.763680781077234e-09, 3.4069765865359327e-09, 8.281492085662175e-09, 7.45082759696861e-09, 7.139336818565751e-09, 7.301364814141203e-09]",5,5.262215165975788e-11,3.165653246788242e-10
HK,1993,8,optimal,2.089827843999956,1.7.3,0.11.1,13,0.1,"[3.7431246443882765e-05, 4.270202962004973e-05, 3.4782832118929114e-05, 3.006818743542287e-05, 2.281107734818787e-05, 3.488899903843961e-05, 3.891655407252639e-05, 4.046932853982934e-05, 4.285879126201829e-05, 3.764647124184588e-05, 4.21997687546117e-05, 3.813144545619896e-05, 7.646025919571952e-05, 6.882547391690991e-05, 9.386552767738406e-05, 6.433143908715057e-05]","[9.007858577831541e-05, 8.864955002538427e-05, 8.863534994319802e-05, 8.847304533311491e-05, 8.816520140674386e-05, 8.826788242094755e-05, 8.923699146529471e-05, 8.760780794745146e-05, 8.82701103335647e-05, 8.699631552873563e-05, 8.132952034063593e-05, 8.089065284371425e-05, 4.5918368117164236e-05, 4.5589435792146334e-05, 1.478197286258012e-07, 1.0721906514525035e-05]",0.003921955115710795,0.0,"[0.08681865070071142, 0.035979120692621165, 0.04562615779490999, 1.3858281022401756e-08, 8.90332915349645e-09, 0.09397240669611495, 0.014383751161212967, 0.11525406201748771, 0.06506847234092746, 0.0799055219314515, 0.031112216771053917, 1.4873488517082367e-08, 0.0415406143441881, 8.805582182978676e-09, 3.941318238259395e-09, 7.511305540441596e-09]",16,2.6650315713932347e-10,1.5195045821822178e-09
HK,1993,9,optimal,3.6952310249907896,1.7.3,0.11.1,16,0.1,"[1.6246262435713616e-05, 1.6639613542658435e-05, 1.3660628609826674e-05, 1.1576539770492922e-05, 8.712072065192442e-06, 1.3539458650214601e-05, 1.702787046287597e-05, 1.569570127568976e-05, 1.9089466328156127e-05, 1.6080176274482212e-05, 1.7186543393073855e-05, 1.4847459473442106e-05, 2.9832404276799044e-05, 2.6645872160046982e-05, 3.6002739162320075e-05, 2.9185920277242987e-05, 8.180168883575264e-05, 4.6357934418155634e-05]","[9.655319237848065e-05, 9.592992273335653e-05, 9.592218365942909e-05, 9.585808461926044e-05, 9.573360511370376e-05, 9.577364337976641e-05, 9.616862517435234e-05, 9.54526551872638e-05, 9.564623318351488e-05, 9.505865363740964e-05, 9.237862375782498e-05, 9.219885731618698e-05, 7.845517314783805e-05, 7.832600991469776e-05, 6.024430261373055e-05, 6.505192543291023e-05, 1.6762641154867354e-07, 7.72632240302593e-06]",0.0058741025567504304,0.0,"[0.10432753417017938, 0.07596677606588334, 0.09564521375395534, 0.006441934396405666, 4.672026504295633e-10, 0.10436847154663, 0.0815750225325993, 0.13661766319706245, 0.10213848098744077, 0.10212490483759303, 0.07496368317088549, 0.04004495041633425, 0.10549890960351195, 5.016330624186146e-10, 3.5014755527558974e-10, 4.564276666964188e-10, 4.0672620152574227e-10, 3.752500031221237e-10]",18,2.563365298874238e-11,1.3161771096548318e-10
HK,1993,10,optimal,4.266503254999407,1.7.3,0.11.1,18,0.1,"[5.788733767348115e-06, 5.064552677485142e-06, 4.26745573762905e-06, 3.5284950554615916e-06, 2.650139045009195e-06, 4.142012233045712e-06, 6.106811627840435e-06, 4.7651154622075145e-06, 6.89569382165194e-06, 5.526025671049327e-06, 5.515775827461245e-06, 4.491675326922024e-06, 9.187777701438533e-06, 8.096119798891383e-06, 1.076915795111818e-05, 1.089075139967505e-05, 2.4120571263442098e-05, 1.5745591558691927e-05, 1.453381906159204e-05, 5.282682751029706e-05]","[6.5042891733787e-05, 6.481943272283364e-05, 6.481825118283159e-05, 6.479809280803861e-05, 6.476092475115381e-05, 6.477319379742629e-05, 6.493826035110708e-05, 6.468014604968282e-05, 6.481551191252942e-05, 6.459494797812201e-05, 6.379981730049665e-05, 6.374171082822037e-05, 5.969280948594602e-05, 5.9652592239154904e-05, 5.431567726469543e-05, 5.611384319411457e-05, 3.675921684758413e-05, 3.9334054707236117e-05, 4.844606353864008e-06, 1.834264844107535e-07]",0.007054151417449355,0.0,"[0.1069185919939541, 0.09677466724535565, 0.10545415960611129, 0.08332815929718058, 0.037816677338395166, 0.10453582698261013, 0.10780543617388519, 0.12267080137293607, 0.10894734677013704, 0.1063275184680956, 0.09737864859651271, 0.09497582792207543, 0.12532212173484594, 0.061320008529448036, 5.8438255454026334e-09, 0.02667452435343007, 5.721519539267628e-09, 5.409467774324531e-09, 4.416283374518767e-09, 3.441705766424558e-09]",18,4.2476932233744345e-10,2.5994674272823707e-09
