dataset,seed,stream,task,epoch,optimizer_steps,cumulative_steps,train_seconds,lr_used,lr_next,loss,all_seen_train_accuracy,current_restricted_accuracy,adapter_gradient_tensors,future_data_gradient_max,main_CE,sum_CE,pool_weighted_few,assignment,pull,replay_CE,replay_weight
HK,1993,U,1,1,14,14,13.188611121993745,"[0.00030000000000000003, 0.003]","[0.0002929031948627973, 0.0029268294918612546]",2.5077090156929835,99.53917050691244,99.53917050691244,97,0.0,0.054630519564159874,0.021816207265510208,0.32497123761663715,2.383056710341147,-0.009153632340686665,0.0,0.0
HK,1993,U,1,2,14,28,7.1278883420163766,"[0.0002929031948627973, 0.0029268294918612546]","[0.0002723074641843674, 0.0027144804065905464]",0.37861448739256176,100.0,100.0,97,0.0,0.0054458041591634665,1.4546299910632245e-08,4.076579169470003e-06,0.3867353232843535,-0.009937471417444095,0.0,0.0
HK,1993,U,1,3,14,42,7.127416825998807,"[0.0002723074641843674, 0.0027144804065905464]","[0.0002402288615824086, 0.0023837389521772475]",0.3771819280726569,100.0,100.0,97,0.0,1.2559376373820287e-07,0.0,9.009329904330343e-08,0.3877629680292947,-0.010581116058996748,0.0,0.0
HK,1993,U,1,4,14,56,7.082129068992799,"[0.0002402288615824086, 0.0023837389521772475]","[0.00019980746418436736, 0.0019669804065905465]",0.2960406664226736,100.0,100.0,97,0.0,4.73246368125148e-08,0.0,7.166011266284451e-07,0.307292813701289,-0.011252393679959434,0.0,0.0
HK,1993,U,1,5,14,70,6.976069524011109,"[0.00019980746418436736, 0.0019669804065905465]","[0.00015499999999999997, 0.001505]",0.15176399584327424,100.0,100.0,97,0.0,5.745595361388618e-08,0.0,1.0296634595111494e-06,0.1636857810829367,-0.01192214728466102,0.0,0.0
HK,1993,U,1,6,14,84,7.039556486008223,"[0.00015499999999999997, 0.001505]","[0.00011019253581563262, 0.0010430195934094538]",4.51911351889638,100.0,100.0,97,0.0,9.561503718938777e-08,0.0,1.0385173996699645e-05,4.531477965614093,-0.0123680552733796,0.0,0.0
HK,1993,U,1,7,14,98,7.089707987004658,"[0.00011019253581563262, 0.0010430195934094538]","[6.97711384175914e-05, 0.000626261047822753]",0.8408721973121699,100.0,100.0,97,0.0,3.951955524732804e-08,0.0,-5.872754463500879e-08,0.8534880276630312,-0.012615831781710897,0.0,0.0
HK,1993,U,1,8,14,112,7.252553823986091,"[6.97711384175914e-05, 0.000626261047822753]","[3.769253581563263e-05, 0.0002955195934094538]",0.2974191331637225,100.0,100.0,97,0.0,1.9730216476483113e-08,0.0,-6.00792139366938e-08,0.3103338485559724,-0.012914701710854256,0.0,0.0
HK,1993,U,1,9,14,126,7.575730835000286,"[3.769253581563263e-05, 0.0002955195934094538]","[1.7096805137202738e-05, 8.317050813874548e-05]",0.24611890249486482,100.0,100.0,97,0.0,9.40191791087841e-09,0.0,6.218734136732415e-08,0.2592253174362611,-0.013106441657458032,0.0,0.0
HK,1993,U,1,10,14,140,7.253824031999102,"[1.7096805137202738e-05, 8.317050813874548e-05]","[1e-05, 1e-05]",0.1361167214345187,100.0,100.0,97,0.0,3.760734270029177e-08,0.0,-8.931655482234493e-08,0.14911807452845746,-0.01300134158560208,0.0,0.0
HK,1993,U,2,1,18,158,15.999008340993896,"[0.00030000000000000003, 0.003]","[0.0002929031948627973, 0.0029268294918612546]",3.568123678159383,93.30085261875762,98.05115712545675,97,0.0,0.39397125387909504,0.8444018120715232,6.686450433060681,0.9379903636872768,-0.011474852967593405,0.0,0.0
HK,1993,U,2,2,18,176,8.908015663997503,"[0.0002929031948627973, 0.0029268294918612546]","[0.0002723074641843674, 0.0027144804065905464]",0.4436365616404348,100.0,100.0,97,0.0,1.1083868269818393e-05,4.6932467968731197e-07,7.291305792083597e-13,0.456111129373312,-0.012478413184483846,0.0,0.0
HK,1993,U,2,3,18,194,9.218295592989307,"[0.0002723074641843674, 0.0027144804065905464]","[0.0002402288615824086, 0.0023837389521772475]",0.4425350752555662,100.0,100.0,97,0.0,5.681424062863192e-06,8.626025505985445e-07,3.2842260082674795e-13,0.456111129373312,-0.013578235896097291,0.0,0.0
HK,1993,U,2,4,18,212,9.038871314987773,"[0.0002402288615824086, 0.0023837389521772475]","[0.00019980746418436736, 0.0019669804065905465]",0.4418984717792935,100.0,100.0,97,0.0,5.391990801307935e-06,1.1975969648069116e-07,2.0985989605584685e-13,0.456111129373312,-0.014214491347471872,0.0,0.0
