dataset,seed,stream,mode,identity,valid_online_CIL,scope,n_images,n_classes,correct_sample,correct_macro,to_other_sample,to_other_macro,wrong_within_sample,wrong_within_macro
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,old,1414,20,0.3536067892503536,0.3085735402808574,92.57425742574257,94.94796893399696,7.072135785007072,4.743457525722167
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,current,284,3,94.01408450704226,94.98525073746312,0.0,0.0,5.985915492957746,5.014749262536874
HK,1993,U,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,old,1414,20,67.53889674681753,41.915362543110646,6.9306930693069315,6.74262276834728,25.530410183875528,51.34201468854207
HK,1993,U,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,current,284,3,66.54929577464789,76.99705014749263,28.169014084507044,18.65093411996067,5.28169014084507,4.352015732546706
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,old,1414,20,0.0,0.0,98.65629420084866,99.20872969917556,1.3437057991513437,0.7912703008244408
HK,1993,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,current,284,3,96.12676056338029,96.7551622418879,0.0,0.0,3.873239436619718,3.2448377581120944
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,old,1414,20,75.1060820367751,48.58457687494301,5.3041018387553045,5.479063258832354,19.58981612446959,45.93635986622465
HK,1993,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,current,284,3,71.83098591549296,80.69419862340217,23.943661971830984,15.83874139626352,4.225352112676056,3.4670599803343167
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,old,1414,20,75.45968882602546,49.0069980821019,5.445544554455446,5.682981691459303,19.094766619519092,45.31002022643879
HK,1993,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,current,284,3,73.94366197183099,82.02753195673549,21.830985915492956,14.505408062930188,4.225352112676056,3.4670599803343167
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,old,1414,20,0.0,0.0,100.0,100.0,0.0,0.0
HK,1993,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,current,284,3,97.88732394366197,98.23008849557522,0.0,0.0,2.112676056338028,1.7699115044247788
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,old,1414,20,69.16548797736917,41.86403492604035,5.799151343705799,6.026327735869528,25.035360678925034,52.10963733809013
HK,1993,R,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,current,284,3,71.12676056338029,80.54080629301869,28.52112676056338,19.164208456243855,0.35211267605633806,0.2949852507374631
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,old,1414,20,0.0,0.0,100.0,100.0,0.0,0.0
HK,1993,R,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,current,284,3,98.23943661971832,98.52507374631269,0.0,0.0,1.7605633802816902,1.4749262536873156
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,old,1414,20,73.55021216407354,45.185781807973804,5.586987270155587,6.129713847551834,20.86280056577086,48.68450434447437
HK,1993,R,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,current,284,3,76.05633802816901,83.79744346116027,23.591549295774648,15.907571288102263,0.35211267605633806,0.2949852507374631
HK,1994,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,old,1297,20,4.317656129529683,1.866666666666667,87.58673862760216,89.70909343310404,8.095605242868158,8.424239900229281
HK,1994,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,current,401,3,97.2568578553616,95.30600118835414,0.0,0.0,2.7431421446384037,4.69399881164587
HK,1994,U,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,old,1297,20,75.09637625289129,52.09580547405509,3.084040092521203,6.22491723594501,21.81958365458751,41.6792772899999
HK,1994,U,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,current,401,3,76.05985037406484,61.99900317547377,20.698254364089774,31.435340258869672,3.2418952618453867,6.565656565656565
HK,1994,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,old,1297,20,0.07710100231303006,0.03333333333333334,99.76869699306091,99.85439642324889,0.15420200462606012,0.1122702434177844
HK,1994,U,Q01,ORACLE_MOMENT_DIAGNOSTIC,False,current,401,3,98.25436408977556,97.32620320855615,0.0,0.0,1.7456359102244388,2.6737967914438503
HK,1994,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,old,1297,20,79.491133384734,55.86368969716785,2.004626060138782,2.8506653333889678,18.504240555127215,41.28564496944319
HK,1994,U,Q11,ORACLE_MOMENT_DIAGNOSTIC,False,current,401,3,76.55860349127181,63.65290482937542,21.44638403990025,32.306691130220536,1.99501246882793,4.040404040404041
HK,1994,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,old,1297,20,79.41403238242097,54.623883674006755,2.235929067077872,6.631915333388967,18.350038550501157,38.744200992604284
HK,1994,U,Q11-Risk,ORACLE_MOMENT_DIAGNOSTIC,False,current,401,3,76.80798004987531,64.15795533442594,20.947630922693268,31.296590120119532,2.2443890274314215,4.545454545454545
HK,1994,R,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,old,1297,20,0.15420200462606012,0.11666666666666668,99.46029298380878,99.67860989555153,0.3855050115651504,0.2047234377818068
