dataset,seed,stream,mode,identity,valid_online_CIL,head_index,original_label,n_images,n_correct,recall,margin_mean,n_components
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,0,0,7,0,0.0,-0.696024707102393,7
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,1,4,165,0,0.0,-0.20409215052325477,165
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,2,12,41,0,0.0,-0.5809781043149028,41
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,3,8,153,0,0.0,-0.45171170595095744,153
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,4,2,182,0,0.0,-0.4664101033031077,182
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,5,11,61,0,0.0,-0.6096994545192905,61
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,6,17,5,0,0.0,-0.4671958255831365,5
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,7,3,157,0,0.0,-0.25000126177718107,157
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,8,21,4,0,0.0,-0.2709574060439283,4
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,9,16,8,0,0.0,-0.6757747074271035,8
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,10,22,21,0,0.0,-0.3635196280267331,21
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,11,13,160,0,0.0,-0.3273753731070624,160
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,12,18,33,0,0.0,-0.38789970177099165,33
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,13,14,60,0,0.0,-0.22097926447874616,60
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,14,9,164,0,0.0,-0.49678927958000374,164
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,15,19,2,0,0.0,-0.40268375827091696,2
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,16,15,123,2,1.6260162601626016,-0.2674220682554506,123
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,17,6,1,0,0.0,-0.43094863443717035,1
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,18,5,1,0,0.0,-0.2703564017411331,1
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,19,20,66,3,4.545454545454546,-0.2248532733170694,66
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,20,10,150,150,100.0,0.6271293925376331,150
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,21,7,21,21,100.0,0.6290386929272168,21
HK,1993,U,Q00,ORACLE_MOMENT_DIAGNOSTIC,False,22,1,113,96,84.95575221238938,0.3694867387507844,113
HK,1993,U,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,0,0,7,1,14.285714285714286,-0.05403479925773885,7
HK,1993,U,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,1,4,165,122,73.93939393939394,0.10937007328609968,165
HK,1993,U,Q10,ORACLE_MOMENT_DIAGNOSTIC,False,2,12,41,18,43.90243902439025,0.010213790591435639,41
