dataset,seed,original_label,xi,no_slack_margin,val_error
HK,1993,0,0.06268693241916484,0.03731307176310116,71.42857142857143
HK,1993,4,0.03121260346731891,0.06878740001189726,19.39393939393939
HK,1993,12,0.05188923171406523,0.04811077165922293,39.02439024390244
HK,1993,8,2.1222092676406994e-09,0.21237127786182836,5.228758169934636
HK,1993,2,2.8080358344797608e-09,0.10770261700866851,23.62637362637362
HK,1993,11,0.10953182752967522,-0.009531823599877629,83.60655737704919
HK,1993,17,0.0534272571924714,0.04657274959392631,40.0
HK,1993,3,0.09552924629732867,0.004470757331488596,34.39490445859873
HK,1993,21,0.07523505437504724,0.024764950835255338,100.0
HK,1993,16,0.07321247280137008,0.026787529971566283,75.0
HK,1993,22,0.022525631877584797,0.07747437279957113,19.04761904761905
HK,1993,13,4.9052868035512215e-09,0.1736749424028748,4.375
HK,1993,18,0.11752051584914099,-0.01752050906896587,84.84848484848484
HK,1993,14,0.01270417316461749,0.08729583150998664,18.33333333333333
HK,1993,9,2.289618178423928e-09,0.1900990887452297,3.6585365853658516
HK,1993,19,6.129919583564532e-09,0.12901933933525503,100.0
HK,1993,15,2.3259330804696712e-09,0.21429746458027388,2.439024390243901
HK,1993,6,2.0547400406785326e-09,0.21230741369009817,100.0
HK,1993,5,2.7831270472602004e-09,0.19906172542735578,100.0
HK,1993,20,0.11638225869292276,-0.016382255216773976,95.45454545454545
HK,1993,10,0.05487684016199416,0.04512316315066875,35.33333333333333
HK,1993,7,3.068345130480111e-09,0.3034163853039031,0.0
HK,1993,1,2.92247550932038e-09,0.14997664225300808,18.584070796460182
HK,1994,22,1.585289868707054e-08,0.1272405408164669,19.04761904761905
HK,1994,16,0.07243129934692835,0.027568711984954766,100.0
HK,1994,12,1.0377801778656578e-08,0.10853633810985763,21.951219512195124
HK,1994,13,8.512862439694284e-09,0.3223412704985853,5.0
HK,1994,21,3.075659488181878e-08,0.09999997358485513,75.0
HK,1994,4,4.891808603509614e-07,0.09999951795350139,17.575757575757578
HK,1994,19,4.409092313494152e-09,0.2773072617534486,100.0
HK,1994,17,0.009790682991202681,0.09020932911725392,60.0
HK,1994,6,1.0659522735050863e-08,0.35483057705839344,100.0
HK,1994,11,0.09286499824477333,0.007135013012493684,81.9672131147541
HK,1994,3,0.0804208949760801,0.019579115716529996,33.757961783439484
HK,1994,15,1.2002835871114809e-08,0.39348830449909816,1.6260162601626007
HK,1994,0,0.018825164155066864,0.08117484678028136,57.142857142857146
HK,1994,9,1.167727655050669e-08,0.3810407845462851,0.6097560975609753
HK,1994,5,1.2382570698108064e-08,0.4014082875855432,100.0
HK,1994,7,1.211447968474243e-08,0.33988924530331155,0.0
HK,1994,18,0.107017580290385,-0.0070175667745139385,78.78787878787878
HK,1994,1,7.195088896949256e-09,0.24531700918531407,12.389380530973455
HK,1994,10,5.46016451487577e-08,0.09999995279352361,26.0
HK,1994,14,9.528038237880164e-09,0.12919411693615382,16.66666666666667
HK,1994,20,0.09865978412283775,0.001340220788629262,87.87878787878788
HK,1994,8,1.0585655038379288e-08,0.3304354968569186,2.614379084967325
HK,1994,2,1.1672800103888512e-08,0.267206250921743,17.032967032967036
HK,1995,9,1.0028613104502375e-09,0.278497825724244,1.2195121951219505
HK,1995,13,9.92197571810799e-10,0.23866759124822218,5.0
HK,1995,16,0.07988056075724545,0.0201194404493826,87.5
HK,1995,14,1.0049011841469689e-09,0.19674057344484652,8.333333333333329
HK,1995,15,8.524393599041478e-10,0.36534671297709115,0.8130081300813004
HK,1995,5,4.527886472637039e-10,0.4243514935284981,100.0
HK,1995,12,9.296756640605265e-10,0.11502811715325176,24.390243902439025
HK,1995,1,1.0037979693472042e-09,0.22934246519309118,13.274336283185846
HK,1995,8,9.901419171345712e-10,0.25919658124126455,2.614379084967325
HK,1995,22,0.0002611418754836838,0.09973885885254254,14.285714285714292
HK,1995,19,1.0171823074371117e-09,0.24662024482460432,100.0
HK,1995,17,0.020568456730558446,0.07943154459834477,20.0
HK,1995,18,0.10557817979645552,-0.005578178298378703,87.87878787878788
HK,1995,6,1.004901651065513e-09,0.3411080335846447,100.0
HK,1995,20,0.10372249020122913,-0.003722489494373108,95.45454545454545
HK,1995,0,0.043531524241160316,0.05646847691870888,42.857142857142854
HK,1995,3,0.0815203248096871,0.018479676121189368,26.751592356687894
HK,1995,11,0.09745398658412147,0.002546014492327042,83.60655737704919
HK,1995,2,8.836335412507936e-10,0.2567602851889135,20.879120879120876
HK,1995,21,0.02431495514776809,0.07568504590657298,100.0
HK,1995,4,4.910270933534528e-09,0.0999999959401877,16.96969696969697
HK,1995,10,0.00734077261673326,0.09265922833514487,26.0
HK,1995,7,5.339122110227778e-10,0.3298011524647596,0.0
ISIC,1993,4,5.688972540692534e-09,0.16090544907196022,46.34146341463415
ISIC,1993,0,3.8136806682822965e-09,0.2206560738308643,25.0
ISIC,1993,3,3.010686751655219e-09,0.1000000077564328,42.5
ISIC,1993,7,6.723316981291855e-09,0.5287820082894132,50.0
ISIC,1993,5,1.192311627623385e-08,0.15074560213850371,48.648648648648646
ISIC,1993,6,7.88481046730701e-09,0.6815903280034641,15.384615384615387
ISIC,1993,2,1.0438206007531425e-08,0.1274682335186017,39.130434782608695
ISIC,1993,1,4.964938271364098e-09,0.13411765584363416,43.24324324324324
ISIC,1994,3,9.45919649152325e-09,0.09999999621260554,45.0
ISIC,1994,7,5.1689400238124765e-09,0.49315659020363484,41.666666666666664
ISIC,1994,4,1.4121875364174186e-08,0.12018933480261211,41.46341463414634
ISIC,1994,5,7.415563652133267e-09,0.1163204518718125,43.24324324324324
ISIC,1994,1,1.1186612974769546e-08,0.15031452530874248,40.54054054054054
ISIC,1994,0,3.55730573313089e-09,0.23339234183467814,25.0
ISIC,1994,6,5.885886745657279e-09,0.6520146828003868,15.384615384615387
ISIC,1994,2,1.779545752422187e-09,0.10000001209831583,54.34782608695652
ISIC,1995,1,8.464558056947968e-10,0.12802077224161282,40.54054054054054
ISIC,1995,3,6.834075263974521e-10,0.10000000099507572,45.0
ISIC,1995,0,4.289380689983595e-10,0.22407288738243533,29.545454545454547
ISIC,1995,6,5.925827621084084e-10,0.6964022297799201,15.384615384615387
ISIC,1995,4,1.2886568761049284e-09,0.13257049371237803,53.65853658536585
ISIC,1995,5,9.163761192900863e-10,0.12374303241674722,48.648648648648646
ISIC,1995,2,6.555986173721648e-10,0.10000004957443932,43.47826086956522
ISIC,1995,7,5.252474282374076e-10,0.5082375488842507,37.5
