dataset,seed,stream,task,n_train,expected_steps
HK,1993,U,1,651,140
HK,1993,U,2,821,180
HK,1993,U,3,997,210
HK,1993,U,4,667,140
HK,1993,U,5,52,20
HK,1993,U,6,747,160
HK,1993,U,7,379,80
HK,1993,U,8,641,140
HK,1993,U,9,494,110
HK,1993,U,10,291,70
HK,1993,U,11,1081,230
HK,1993,R,1,651,140
HK,1993,R,2,821,180
HK,1993,R,3,997,210
HK,1993,R,4,667,140
HK,1993,R,5,52,20
HK,1993,R,6,747,160
HK,1993,R,7,379,80
HK,1993,R,8,641,140
HK,1993,R,9,494,110
HK,1993,R,10,291,70
HK,1993,R,11,1081,230
HK,1994,U,1,119,30
HK,1994,U,2,829,180
HK,1994,U,3,644,140
HK,1994,U,4,29,10
HK,1994,U,5,267,60
HK,1994,U,6,1132,240
HK,1994,U,7,660,140
HK,1994,U,8,86,20
HK,1994,U,9,530,120
HK,1994,U,10,847,180
HK,1994,U,11,1678,350
HK,1994,R,1,119,30
HK,1994,R,2,829,180
HK,1994,R,3,644,140
HK,1994,R,4,29,10
HK,1994,R,5,267,60
HK,1994,R,6,1132,240
HK,1994,R,7,660,140
HK,1994,R,8,86,20
HK,1994,R,9,530,120
HK,1994,R,10,847,180
HK,1994,R,11,1678,350
HK,1995,U,1,1297,280
HK,1995,U,2,286,60
HK,1995,U,3,491,110
HK,1995,U,4,570,120
HK,1995,U,5,739,160
HK,1995,U,6,29,10
HK,1995,U,7,133,30
HK,1995,U,8,313,70
HK,1995,U,9,905,190
HK,1995,U,10,754,160
HK,1995,U,11,1304,280
HK,1995,R,1,1297,280
HK,1995,R,2,286,60
HK,1995,R,3,491,110
HK,1995,R,4,570,120
HK,1995,R,5,739,160
HK,1995,R,6,29,10
HK,1995,R,7,133,30
HK,1995,R,8,313,70
HK,1995,R,9,905,190
HK,1995,R,10,754,160
HK,1995,R,11,1304,280
ISIC,1993,U,1,10987,2290
ISIC,1993,U,2,1333,280
ISIC,1993,U,3,300,70
ISIC,1993,U,4,6098,1280
ISIC,1993,R,1,10987,2290
ISIC,1993,R,2,1333,280
ISIC,1993,R,3,300,70
ISIC,1993,R,4,6098,1280
ISIC,1994,U,1,1333,280
ISIC,1994,U,2,714,150
ISIC,1994,U,3,13792,2880
ISIC,1994,U,4,2879,600
ISIC,1994,R,1,1333,280
ISIC,1994,R,2,714,150
ISIC,1994,R,3,13792,2880
ISIC,1994,R,4,2879,600
ISIC,1995,U,1,4569,960
ISIC,1995,U,2,10573,2210
ISIC,1995,U,3,714,150
ISIC,1995,U,4,2862,600
ISIC,1995,R,1,4569,960
ISIC,1995,R,2,10573,2210
ISIC,1995,R,3,714,150
ISIC,1995,R,4,2862,600
