dataset,seed,stream,from_task,to_task,split,scope,diagnostic,n,coordinate_MSE,RMS_L2,a_lower_clip_fraction,a_upper_clip_fraction,a_min,a_max,a_mean,b_norm,clip_fraction,residual_mean,residual_max,current_class_counts,a_quantiles,a_histogram,version,original_label,age,mean_norm,within_scatter,stored_post_mean_error,true_post_mean_error,centered_between_scatter,n_classes
HK,1993,U,10,11,fit,old,map_generalization,5740,6.872198014079021e-05,0.3248953085168417,0.615234375,0.0,0.5,1.709810495408331,0.606089399862827,0.7006799551288222,0.615234375,5.045373349429222e-05,0.0015744326569772514,"{""20"": 595, ""21"": 83, ""22"": 403}","[0.5, 0.5, 0.5, 0.5, 0.5, 0.655815472439383, 0.8763267476968082, 1.2682982318289489, 1.709810495408331]","[1005, 67, 73, 61, 60, 52, 40, 37, 31, 22, 23, 15, 11, 11, 8, 6, 2, 4, 2, 4, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",,,,,,,,,
HK,1993,U,10,11,fit,current,map_generalization,1081,5.746422862828788e-05,0.2970943539905299,0.615234375,0.0,0.5,1.709810495408331,0.606089399862827,0.7006799551288222,0.615234375,5.045373349429222e-05,0.0015744326569772514,"{""20"": 595, ""21"": 83, ""22"": 403}","[0.5, 0.5, 0.5, 0.5, 0.5, 0.655815472439383, 0.8763267476968082, 1.2682982318289489, 1.709810495408331]","[1005, 67, 73, 61, 60, 52, 40, 37, 31, 22, 23, 15, 11, 11, 8, 6, 2, 4, 2, 4, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",,,,,,,,,
HK,1993,U,10,11,fit,old,class_geometry,25,,,,,,,,,,,,,,,pre,0,10,0.9578369542148951,0.08254836914033287,,0.7727110070296143,,
HK,1993,U,10,11,fit,old,class_geometry,626,,,,,,,,,,,,,,,pre,4,10,0.9525037278307701,0.09273664846848613,,0.7586104579303011,,
HK,1993,U,10,11,fit,old,class_geometry,167,,,,,,,,,,,,,,,pre,12,9,0.9584175876158011,0.08143572774870837,,0.7728829017157932,,
HK,1993,U,10,11,fit,old,class_geometry,654,,,,,,,,,,,,,,,pre,8,9,0.9733478297469169,0.052594002326966934,,0.7873515634582379,,
HK,1993,U,10,11,fit,old,class_geometry,736,,,,,,,,,,,,,,,pre,2,8,0.9773659614725351,0.04475577735486706,,0.7966496358870908,,
HK,1993,U,10,11,fit,old,class_geometry,261,,,,,,,,,,,,,,,pre,11,8,0.9593342967584743,0.07967770706292339,,0.7645306554115475,,
HK,1993,U,10,11,fit,old,class_geometry,23,,,,,,,,,,,,,,,pre,17,7,0.9638135151959072,0.07106350792570874,,0.7828954110242333,,
HK,1993,U,10,11,fit,old,class_geometry,644,,,,,,,,,,,,,,,pre,3,7,0.9566258563746716,0.08486697091542608,,0.7591669414604193,,
HK,1993,U,10,11,fit,old,class_geometry,18,,,,,,,,,,,,,,,pre,21,6,0.9606365447538421,0.07717742888339948,,0.8105615573725462,,
HK,1993,U,10,11,fit,old,class_geometry,34,,,,,,,,,,,,,,,pre,16,6,0.9588532255322371,0.08060049188642487,,0.7599610122083611,,
HK,1993,U,10,11,fit,old,class_geometry,85,,,,,,,,,,,,,,,pre,22,5,0.9589017562016093,0.08050742195346942,,0.7904184205088028,,
HK,1993,U,10,11,fit,old,class_geometry,662,,,,,,,,,,,,,,,pre,13,5,0.9665582770549874,0.06576509705649433,,0.7861402499376748,,
HK,1993,U,10,11,fit,old,class_geometry,127,,,,,,,,,,,,,,,pre,18,4,0.9608633012265789,0.07674171635596076,,0.7862859387917664,,
HK,1993,U,10,11,fit,old,class_geometry,252,,,,,,,,,,,,,,,pre,14,4,0.9616766326406698,0.07517805423290227,,0.796491955226679,,
HK,1993,U,10,11,fit,old,class_geometry,635,,,,,,,,,,,,,,,pre,9,3,0.9587279465386057,0.08084072452586857,,0.7728533202453485,,
HK,1993,U,10,11,fit,old,class_geometry,6,,,,,,,,,,,,,,,pre,19,3,0.9667194287642411,0.06545354604973931,,0.8058367083478961,,
HK,1993,U,10,11,fit,old,class_geometry,488,,,,,,,,,,,,,,,pre,15,2,0.9423916626458487,0.11189795417559288,,0.7594741287843226,,
HK,1993,U,10,11,fit,old,class_geometry,6,,,,,,,,,,,,,,,pre,6,2,0.9582181986652027,0.08181788374681387,,0.7762071265300324,,
HK,1993,U,10,11,fit,old,class_geometry,3,,,,,,,,,,,,,,,pre,5,1,0.9792157240402408,0.041136565792346945,,0.8144943739347478,,
HK,1993,U,10,11,fit,old,class_geometry,288,,,,,,,,,,,,,,,pre,20,1,0.9574026030189187,0.0833802557325988,,0.792161820056989,,
HK,1993,U,10,11,fit,current,class_geometry,595,,,,,,,,,,,,,,,pre,10,0,0.9594783003034033,0.07940139124689236,,0.7795204813778708,,
HK,1993,U,10,11,fit,current,class_geometry,83,,,,,,,,,,,,,,,pre,7,0,0.9862569877671635,0.027297154080440974,,0.769950268535863,,
HK,1993,U,10,11,fit,current,class_geometry,403,,,,,,,,,,,,,,,pre,1,0,0.9695659633803759,0.05994184265428365,,0.7883680526594179,,
HK,1993,U,10,11,fit,old,between_class_geometry,,,,,,,,,,,,,,,,pre,,,,,,,0.033323633813758476,20
HK,1993,U,10,11,fit,current,between_class_geometry,,,,,,,,,,,,,,,,pre,,,,,,,0.0397069376431178,3
HK,1993,U,10,11,fit,old,class_geometry,25,,,,,,,,,,,,,,,post,0,10,0.9558187631444475,0.08641049202101879,0.27654702184071683,0.0,,
HK,1993,U,10,11,fit,old,class_geometry,626,,,,,,,,,,,,,,,post,4,10,0.9505991585309972,0.09636123980016023,0.23979583219114375,0.0,,
HK,1993,U,10,11,fit,old,class_geometry,167,,,,,,,,,,,,,,,post,12,9,0.9549038001137268,0.08815873252836363,0.26571913090842225,0.0,,
HK,1993,U,10,11,fit,old,class_geometry,654,,,,,,,,,,,,,,,post,8,9,0.9675555543914316,0.06383624916628956,0.26457581775012934,0.0,,
HK,1993,U,10,11,fit,old,class_geometry,736,,,,,,,,,,,,,,,post,2,8,0.9628556785798653,0.07290894222650707,0.24774687233426798,0.0,,
HK,1993,U,10,11,fit,old,class_geometry,261,,,,,,,,,,,,,,,post,11,8,0.9573740382791418,0.08343495082908817,0.258068243312519,0.0,,
HK,1993,U,10,11,fit,old,class_geometry,23,,,,,,,,,,,,,,,post,17,7,0.9586539065056237,0.0809826875415071,0.2670924781951513,0.0,,
HK,1993,U,10,11,fit,old,class_geometry,644,,,,,,,,,,,,,,,post,3,7,0.9501774039588146,0.09716290100608783,0.2307516047542702,0.0,,
HK,1993,U,10,11,fit,old,class_geometry,18,,,,,,,,,,,,,,,post,21,6,0.9505959200411458,0.0963673968011274,0.2527701799563027,0.0,,
HK,1993,U,10,11,fit,old,class_geometry,34,,,,,,,,,,,,,,,post,16,6,0.9606044819604995,0.07723902923740045,0.26721330080408506,0.0,,
HK,1993,U,10,11,fit,old,class_geometry,85,,,,,,,,,,,,,,,post,22,5,0.9545253793342451,0.08888130020681555,0.25952121774536674,0.0,,
HK,1993,U,10,11,fit,old,class_geometry,662,,,,,,,,,,,,,,,post,13,5,0.9624418494308847,0.07370568646405821,0.2366335285686338,0.0,,
HK,1993,U,10,11,fit,old,class_geometry,127,,,,,,,,,,,,,,,post,18,4,0.953953281167078,0.08997313735056597,0.22505653482562338,0.0,,
HK,1993,U,10,11,fit,old,class_geometry,252,,,,,,,,,,,,,,,post,14,4,0.9618292074900502,0.07488457561906213,0.22617137330420073,0.0,,
HK,1993,U,10,11,fit,old,class_geometry,635,,,,,,,,,,,,,,,post,9,3,0.9491047338774651,0.09920020413138614,0.24840620202110883,0.0,,
HK,1993,U,10,11,fit,old,class_geometry,6,,,,,,,,,,,,,,,post,19,3,0.9624356924110955,0.07371753797317519,0.2777469281615683,0.0,,
HK,1993,U,10,11,fit,old,class_geometry,488,,,,,,,,,,,,,,,post,15,2,0.9553525291664164,0.08730154501533156,0.21878257402381104,0.0,,
HK,1993,U,10,11,fit,old,class_geometry,6,,,,,,,,,,,,,,,post,6,2,0.9518790136308979,0.09392634340906891,0.2586605372828167,0.0,,
HK,1993,U,10,11,fit,old,class_geometry,3,,,,,,,,,,,,,,,post,5,1,0.9843491627264627,0.031056725839711998,0.29819360858468485,0.0,,
HK,1993,U,10,11,fit,old,class_geometry,288,,,,,,,,,,,,,,,post,20,1,0.9482142059062845,0.10088981971751422,0.212121225864642,0.0,,
HK,1993,U,10,11,fit,current,class_geometry,595,,,,,,,,,,,,,,,post,10,0,0.9571802848440651,0.08380590230583423,0.0,0.0,,
HK,1993,U,10,11,fit,current,class_geometry,83,,,,,,,,,,,,,,,post,7,0,0.9832805026396502,0.03315945312871698,0.0,0.0,,
