dataset,seed,task,epoch,optimizer_steps,loss,FD_mean,FD_p95_mean,teacher_unchanged,adapter_gradient_tensors,main_CE,sum_CE,pool_weighted_few,assignment,pull
HK,1993,2,1,18,3.594918654196792,0.0026795685035823327,0.007460418846070145,True,361,0.39396916481997046,0.8444013408617818,6.686450877376732,0.9379903636872768,-0.011474852967593405
HK,1993,2,2,18,0.4601386009405057,0.0016502195050836438,0.00501643884086257,True,385,1.0903926511534539e-05,1.6749456831376284e-07,5.708326373371178e-13,0.456111129373312,-0.012478413184483846
HK,1993,2,3,18,0.4483963865786791,0.0005861358966083369,0.0018888142205671305,True,385,5.711796321842637e-06,7.090166052541807e-07,2.349722917548373e-13,0.456111129373312,-0.013578235896097291
HK,1993,2,4,18,0.4476926748951276,0.0005794042630845474,0.0017125042828006877,True,382,5.933500782459886e-06,4.884252876221259e-08,8.937998131239075e-14,0.456111129373312,-0.014214491347471872
HK,1993,2,5,18,0.4468344371351931,0.0005541007380492778,0.0013736486402598934,True,379,5.8270865249059825e-06,2.548194405112743e-07,9.020906883134902e-14,0.456111129373312,-0.014819731480545467
HK,1993,2,6,18,-0.009773223609146144,0.0005753294034447107,0.0013987718719161218,True,379,7.291545371243855e-06,6.608846067932303e-08,6.564836865173881e-14,3.982347517799627e-08,-0.015529010196526844
HK,1993,2,7,18,-0.010196577654116683,0.0005828493611059255,0.0013275857329265112,True,379,1.576386439141844e-05,3.116516365222724e-07,9.859857008724702e-14,2.06372803745716e-08,-0.016030449916919078
HK,1993,2,8,18,-0.010499563637293048,0.0005781341363520672,0.0012322084868275044,True,379,6.893852254089931e-06,3.5816368503126404e-07,4.143425452373064e-14,3.227183415368478e-08,-0.01628335441152255
HK,1993,2,9,18,-0.010605940077867772,0.0006018706351622111,0.0012368870795600945,True,331,8.205759406286637e-06,7.036591191204404e-08,8.426561566240144e-14,2.3236662435032343e-08,-0.01662742793560028
HK,1993,2,10,18,-0.010927930888202455,0.0005686548182792547,0.0012152220943890926,True,382,7.49295691093721e-06,6.498485006901768e-08,9.24012464831041e-14,1.0225199461604149e-07,-0.016617100768619116
HK,1993,3,1,21,2.804279808487211,0.0013587640136219783,0.0017632239351292984,True,286,2.5778841833539663,4.4263459675947905,1.554328119068752e-07,0.47476192173503695,-0.01881322945867266
HK,1993,3,2,21,0.4662548147496723,0.001146475970190728,0.0015256639869351471,True,286,0.0005958279916740139,1.3843801829550001e-06,6.541109051709645e-22,0.47476192315419513,-0.02017093747854233
HK,1993,3,3,21,0.45549468767075313,0.00018848162497826188,0.0004384064266646636,True,286,0.00036150555540968653,6.327024095774733e-06,7.419600429049161e-21,0.47476192315419513,-0.021274658186095103
HK,1993,3,4,21,0.4533822437127431,8.618729667172634e-05,0.0003054218250326812,True,238,0.00032420860183958125,7.4203989297266e-06,5.892283352121793e-23,0.47476192315419513,-0.022352094735418045
HK,1993,3,5,21,0.4522491565772465,6.155027118178882e-05,0.00028033377089914645,True,238,0.0004243624542227952,0.00010377561055550206,2.185476633768257e-22,0.47476192315419513,-0.02330431810447148
HK,1993,3,6,21,-0.02320699083308379,6.0969301211159854e-05,0.0002698015793742213,True,238,0.0004321358183005941,1.5784461221719715e-05,3.41159578126317e-20,5.7224937320334325e-16,-0.023965990969112942
HK,1993,3,7,21,-0.023897142637343632,6.436403799896306e-05,0.00026901586499575173,True,235,0.00020857550091369332,6.76877825201401e-06,3.889152725688447e-22,2.2955344547339466e-16,-0.024612564061369215
HK,1993,3,8,21,-0.024145725582327162,6.138886289720955e-05,0.0002715824143489867,True,235,0.0005618037145636446,2.6503972119863917e-06,1.365902527782253e-22,5.520623008617417e-16,-0.024947765327635266
HK,1993,3,9,21,-0.024425452575087547,6.312538313241454e-05,0.0002712611680007761,True,235,0.00021429992813452934,7.891796114801678e-07,1.9072346714280873e-22,9.71755929893524e-16,-0.025128402738344106
HK,1993,3,10,21,-0.02448241040110588,6.289342491072603e-05,0.0002571490854496092,True,238,0.00017495231490794963,3.8962402153085495e-06,4.725493519793684e-22,2.77513424636988e-16,-0.02517096038375582
HK,1994,2,1,18,21.990151373048622,0.0036980395177831976,0.011361611554295652,True,481,0.3896525183638207,0.5634889175545474,11.537258852806444,17.793967367874252,-0.004262950043711398
HK,1994,2,2,18,0.5142459455463622,0.004922048835497763,0.01655483033715023,True,481,0.0168748340971029,0.012230946875806812,3.55266324688222e-10,0.4605555377072758,-0.00523200233777364
HK,1994,2,3,18,0.48081569208039177,0.0022331492056966657,0.00730650204544266,True,472,0.005433159240149976,0.007285941321492715,5.1914194156405006e-11,0.4605555741323365,-0.006311074913375908
HK,1994,2,4,18,0.47280963841411805,0.001835211704019457,0.005271633647175299,True,472,0.002447069412836653,0.0007508915526928364,6.32669379582346e-13,0.4605555741323365,-0.007164034412966835
HK,1994,2,5,18,0.47103436787923175,0.0017698716255836189,0.004504448359107805,True,424,0.0013125418782233094,0.0008374158282183291,1.512388606061022e-11,0.4605555741323365,-0.007936575180954404
HK,1994,2,6,18,0.010031353113138013,0.0018047507231434186,0.004623612065592574,True,421,0.000903535505762597,0.0008800385792787018,1.2771430642596911e-11,2.3033231726242596e-09,-0.008610681237445938
HK,1994,2,7,18,0.00984541569939918,0.0018162382184527814,0.004327265274090071,True,463,0.0011923298305115775,0.0008635947571718668,1.1764402452066603e-11,2.09693260267337e-09,-0.009002276716960802
HK,1994,2,8,18,0.008089422144823603,0.001666958747793817,0.0037957404791894886,True,415,0.0008539667601199755,0.0015999990874474197,3.030990554101652e-11,2.4623914728226657e-09,-0.009398156197534667
HK,1994,2,9,18,0.00880680393634571,0.0017037798469472262,0.003974578757252958,True,463,0.0005222102953313071,0.0035902790096084113,6.636387103730524e-12,4.687144329105898e-09,-0.009601829076806704
HK,1994,2,10,18,0.007949021593150165,0.0016755806540863381,0.004000697065041297,True,418,0.0009870767911416402,0.0014285900775944259,4.221200312448318e-12,3.775943219362797e-09,-0.00961201083328989
HK,1994,3,1,14,16.4070060976914,0.002342730809427199,0.004434165126960059,True,430,3.383787604887662,5.87707729826235,6.676848425007493e-08,13.304286309650966,-0.00766251241522176
HK,1994,3,2,14,13.315919395004,0.0018299495901114174,0.003113185878776546,True,430,0.0012514449855578797,0.004142830488262916,4.0776284565602315e-18,13.304286343710762,-0.008464375883340836
HK,1994,3,3,14,13.304788764033999,0.0009294157456939242,0.002262908050657383,True,376,0.001144749859406602,0.00011111622048346323,6.181181384525919e-19,13.30428618831294,-0.00921033812420709
