dataset,seed,task,contrast,metric,difference_pp,low,high
HK,1993,1,C3-C1,BA,0.0,0.0,0.0
HK,1994,1,C3-C1,BA,0.0,0.0,0.0
HK,1995,1,C3-C1,BA,0.0,0.0,0.0
HK,fixed_three_mean,1,C3-C1,BA,0.0,0.0,0.0
HK,1993,1,C3-C1,current,0.0,0.0,0.0
HK,1994,1,C3-C1,current,0.0,0.0,0.0
HK,1995,1,C3-C1,current,0.0,0.0,0.0
HK,fixed_three_mean,1,C3-C1,current,0.0,0.0,0.0
HK,1993,1,C3-C1,tail,0.0,0.0,0.0
HK,1994,1,C3-C1,tail,0.0,0.0,0.0
HK,1993,1,C1-C0,BA,0.0,0.0,0.0
HK,1994,1,C1-C0,BA,0.0,0.0,0.0
HK,1995,1,C1-C0,BA,0.0,0.0,0.0
HK,fixed_three_mean,1,C1-C0,BA,0.0,0.0,0.0
HK,1993,1,C1-C0,current,0.0,0.0,0.0
HK,1994,1,C1-C0,current,0.0,0.0,0.0
HK,1995,1,C1-C0,current,0.0,0.0,0.0
HK,fixed_three_mean,1,C1-C0,current,0.0,0.0,0.0
HK,1993,1,C1-C0,tail,0.0,0.0,0.0
HK,1994,1,C1-C0,tail,0.0,0.0,0.0
HK,1993,1,C2-C0,BA,0.0,0.0,0.0
HK,1994,1,C2-C0,BA,0.0,0.0,0.0
HK,1995,1,C2-C0,BA,0.0,0.0,0.0
HK,fixed_three_mean,1,C2-C0,BA,0.0,0.0,0.0
HK,1993,1,C2-C0,current,0.0,0.0,0.0
HK,1994,1,C2-C0,current,0.0,0.0,0.0
HK,1995,1,C2-C0,current,0.0,0.0,0.0
HK,fixed_three_mean,1,C2-C0,current,0.0,0.0,0.0
HK,1993,1,C2-C0,tail,0.0,0.0,0.0
HK,1994,1,C2-C0,tail,0.0,0.0,0.0
HK,1993,1,C3-C0,BA,0.0,0.0,0.0
HK,1994,1,C3-C0,BA,0.0,0.0,0.0
HK,1995,1,C3-C0,BA,0.0,0.0,0.0
HK,fixed_three_mean,1,C3-C0,BA,0.0,0.0,0.0
HK,1993,1,C3-C0,current,0.0,0.0,0.0
HK,1994,1,C3-C0,current,0.0,0.0,0.0
HK,1995,1,C3-C0,current,0.0,0.0,0.0
HK,fixed_three_mean,1,C3-C0,current,0.0,0.0,0.0
HK,1993,1,C3-C0,tail,0.0,0.0,0.0
HK,1994,1,C3-C0,tail,0.0,0.0,0.0
HK,1993,1,interaction,BA,0.0,0.0,0.0
HK,1994,1,interaction,BA,0.0,0.0,0.0
HK,1995,1,interaction,BA,0.0,0.0,0.0
HK,fixed_three_mean,1,interaction,BA,0.0,0.0,0.0
HK,1993,1,interaction,current,0.0,0.0,0.0
HK,1994,1,interaction,current,0.0,0.0,0.0
HK,1995,1,interaction,current,0.0,0.0,0.0
HK,fixed_three_mean,1,interaction,current,0.0,0.0,0.0
HK,1993,1,interaction,tail,0.0,0.0,0.0
HK,1994,1,interaction,tail,0.0,0.0,0.0
HK,1993,1,C2-P,BA,0.0,0.0,0.0
HK,1994,1,C2-P,BA,0.0,0.0,0.0
HK,1995,1,C2-P,BA,0.0,0.0,0.0
HK,fixed_three_mean,1,C2-P,BA,0.0,0.0,0.0
HK,1993,1,C2-P,current,0.0,0.0,0.0
HK,1994,1,C2-P,current,0.0,0.0,0.0
HK,1995,1,C2-P,current,0.0,0.0,0.0
HK,fixed_three_mean,1,C2-P,current,0.0,0.0,0.0
HK,1993,1,C2-P,tail,0.0,0.0,0.0
HK,1994,1,C2-P,tail,0.0,0.0,0.0
HK,1993,1,C3-P,BA,0.0,0.0,0.0
HK,1994,1,C3-P,BA,0.0,0.0,0.0
HK,1995,1,C3-P,BA,0.0,0.0,0.0
HK,fixed_three_mean,1,C3-P,BA,0.0,0.0,0.0
HK,1993,1,C3-P,current,0.0,0.0,0.0
HK,1994,1,C3-P,current,0.0,0.0,0.0
HK,1995,1,C3-P,current,0.0,0.0,0.0
HK,fixed_three_mean,1,C3-P,current,0.0,0.0,0.0
HK,1993,1,C3-P,tail,0.0,0.0,0.0
HK,1994,1,C3-P,tail,0.0,0.0,0.0
HK,1993,2,C3-C1,BA,2.961672473867594,-1.8292682926829258,10.714285714285708
HK,1994,2,C3-C1,BA,3.125,0.0,9.375
HK,1995,2,C3-C1,BA,0.15625,0.0,0.46875
