dataset,seed,task,contrast,metric,difference_pp
HK,1993,1,C3-C1,BA,0.0
HK,1994,1,C3-C1,BA,0.0
HK,1995,1,C3-C1,BA,0.0
HK,1993,1,C3-C1,old,
HK,1994,1,C3-C1,old,
HK,1995,1,C3-C1,old,
HK,1993,1,C3-C1,current,0.0
HK,1994,1,C3-C1,current,0.0
HK,1995,1,C3-C1,current,0.0
HK,1993,1,C3-C1,tail,0.0
HK,1994,1,C3-C1,tail,0.0
HK,1995,1,C3-C1,tail,
HK,1993,1,C3-C1,HM,
HK,1994,1,C3-C1,HM,
HK,1995,1,C3-C1,HM,
HK,1993,1,C1-C0,BA,0.0
HK,1994,1,C1-C0,BA,0.0
HK,1995,1,C1-C0,BA,0.0
HK,1993,1,C1-C0,old,
HK,1994,1,C1-C0,old,
HK,1995,1,C1-C0,old,
HK,1993,1,C1-C0,current,0.0
HK,1994,1,C1-C0,current,0.0
HK,1995,1,C1-C0,current,0.0
HK,1993,1,C1-C0,tail,0.0
HK,1994,1,C1-C0,tail,0.0
HK,1995,1,C1-C0,tail,
HK,1993,1,C1-C0,HM,
HK,1994,1,C1-C0,HM,
HK,1995,1,C1-C0,HM,
HK,1993,1,C2-C0,BA,0.0
HK,1994,1,C2-C0,BA,0.0
HK,1995,1,C2-C0,BA,0.0
HK,1993,1,C2-C0,old,
HK,1994,1,C2-C0,old,
HK,1995,1,C2-C0,old,
HK,1993,1,C2-C0,current,0.0
HK,1994,1,C2-C0,current,0.0
HK,1995,1,C2-C0,current,0.0
HK,1993,1,C2-C0,tail,0.0
HK,1994,1,C2-C0,tail,0.0
HK,1995,1,C2-C0,tail,
HK,1993,1,C2-C0,HM,
HK,1994,1,C2-C0,HM,
HK,1995,1,C2-C0,HM,
HK,1993,1,C3-C0,BA,0.0
HK,1994,1,C3-C0,BA,0.0
HK,1995,1,C3-C0,BA,0.0
HK,1993,1,C3-C0,old,
HK,1994,1,C3-C0,old,
HK,1995,1,C3-C0,old,
HK,1993,1,C3-C0,current,0.0
HK,1994,1,C3-C0,current,0.0
HK,1995,1,C3-C0,current,0.0
HK,1993,1,C3-C0,tail,0.0
HK,1994,1,C3-C0,tail,0.0
HK,1995,1,C3-C0,tail,
HK,1993,1,C3-C0,HM,
HK,1994,1,C3-C0,HM,
HK,1995,1,C3-C0,HM,
HK,1993,1,interaction,BA,0.0
HK,1994,1,interaction,BA,0.0
HK,1995,1,interaction,BA,0.0
HK,1993,1,interaction,old,
HK,1994,1,interaction,old,
HK,1995,1,interaction,old,
HK,1993,1,interaction,current,0.0
HK,1994,1,interaction,current,0.0
HK,1995,1,interaction,current,0.0
HK,1993,1,interaction,tail,0.0
HK,1994,1,interaction,tail,0.0
HK,1995,1,interaction,tail,
HK,1993,1,interaction,HM,
HK,1994,1,interaction,HM,
HK,1995,1,interaction,HM,
HK,1993,1,C2-P,BA,0.0
HK,1994,1,C2-P,BA,0.0
HK,1995,1,C2-P,BA,0.0
HK,1993,1,C2-P,old,
HK,1994,1,C2-P,old,
HK,1995,1,C2-P,old,
HK,1993,1,C2-P,current,0.0
HK,1994,1,C2-P,current,0.0
HK,1995,1,C2-P,current,0.0
HK,1993,1,C2-P,tail,0.0
HK,1994,1,C2-P,tail,0.0
HK,1995,1,C2-P,tail,
HK,1993,1,C2-P,HM,
HK,1994,1,C2-P,HM,
HK,1995,1,C2-P,HM,
HK,1993,1,C3-P,BA,0.0
HK,1994,1,C3-P,BA,0.0
HK,1995,1,C3-P,BA,0.0
HK,1993,1,C3-P,old,
HK,1994,1,C3-P,old,
HK,1995,1,C3-P,old,
HK,1993,1,C3-P,current,0.0
HK,1994,1,C3-P,current,0.0
HK,1995,1,C3-P,current,0.0
HK,1993,1,C3-P,tail,0.0
HK,1994,1,C3-P,tail,0.0
HK,1995,1,C3-P,tail,
HK,1993,1,C3-P,HM,
HK,1994,1,C3-P,HM,
HK,1995,1,C3-P,HM,
HK,1993,2,C3-C1,BA,2.961672473867594
HK,1994,2,C3-C1,BA,3.125
HK,1995,2,C3-C1,BA,0.15625
HK,1993,2,C3-C1,old,7.142857142857139
HK,1994,2,C3-C1,old,6.25
HK,1995,2,C3-C1,old,0.3125
HK,1993,2,C3-C1,current,-1.2195121951219505
HK,1994,2,C3-C1,current,0.0
HK,1995,2,C3-C1,current,0.0
HK,1993,2,C3-C1,tail,14.285714285714292
HK,1994,2,C3-C1,tail,12.5
HK,1995,2,C3-C1,tail,0.0
HK,1993,2,C3-C1,HM,2.879442297491849
HK,1994,2,C3-C1,HM,3.017944653518171
HK,1995,2,C3-C1,HM,0.15996526584065407
HK,1993,2,C1-C0,BA,0.6097560975609753
HK,1994,2,C1-C0,BA,0.0
HK,1995,2,C1-C0,BA,0.0
HK,1993,2,C1-C0,old,0.0
HK,1994,2,C1-C0,old,0.0
HK,1995,2,C1-C0,old,0.0
HK,1993,2,C1-C0,current,1.2195121951219505
HK,1994,2,C1-C0,current,0.0
HK,1995,2,C1-C0,current,0.0
HK,1993,2,C1-C0,tail,0.0
HK,1994,2,C1-C0,tail,0.0
HK,1995,2,C1-C0,tail,0.0
HK,1993,2,C1-C0,HM,0.5990379428160395
HK,1994,2,C1-C0,HM,0.0
HK,1995,2,C1-C0,HM,0.0
HK,1993,2,C2-C0,BA,3.5714285714285694
HK,1994,2,C2-C0,BA,3.125
HK,1995,2,C2-C0,BA,0.15625
HK,1993,2,C2-C0,old,7.142857142857139
HK,1994,2,C2-C0,old,6.25
HK,1995,2,C2-C0,old,0.3125
HK,1993,2,C2-C0,current,0.0
HK,1994,2,C2-C0,current,0.0
HK,1995,2,C2-C0,current,0.0
HK,1993,2,C2-C0,tail,14.285714285714292
HK,1994,2,C2-C0,tail,12.5
HK,1995,2,C2-C0,tail,0.0
HK,1993,2,C2-C0,HM,3.4784802403078885
HK,1994,2,C2-C0,HM,3.017944653518171
HK,1995,2,C2-C0,HM,0.15996526584065407
HK,1993,2,C3-C0,BA,3.5714285714285694
HK,1994,2,C3-C0,BA,3.125
HK,1995,2,C3-C0,BA,0.15625
HK,1993,2,C3-C0,old,7.142857142857139
HK,1994,2,C3-C0,old,6.25
HK,1995,2,C3-C0,old,0.3125
HK,1993,2,C3-C0,current,0.0
HK,1994,2,C3-C0,current,0.0
HK,1995,2,C3-C0,current,0.0
HK,1993,2,C3-C0,tail,14.285714285714292
HK,1994,2,C3-C0,tail,12.5
HK,1995,2,C3-C0,tail,0.0
HK,1993,2,C3-C0,HM,3.4784802403078885
HK,1994,2,C3-C0,HM,3.017944653518171
HK,1995,2,C3-C0,HM,0.15996526584065407
HK,1993,2,interaction,BA,-0.6097560975609753
HK,1994,2,interaction,BA,0.0
HK,1995,2,interaction,BA,0.0
HK,1993,2,interaction,old,0.0
HK,1994,2,interaction,old,0.0
HK,1995,2,interaction,old,0.0
HK,1993,2,interaction,current,-1.2195121951219505
HK,1994,2,interaction,current,0.0
HK,1995,2,interaction,current,0.0
HK,1993,2,interaction,tail,0.0
HK,1994,2,interaction,tail,0.0
HK,1995,2,interaction,tail,0.0
HK,1993,2,interaction,HM,-0.5990379428160395
HK,1994,2,interaction,HM,0.0
HK,1995,2,interaction,HM,0.0
HK,1993,2,C2-P,BA,0.0
HK,1994,2,C2-P,BA,-0.15625
HK,1995,2,C2-P,BA,0.15625
HK,1993,2,C2-P,old,0.0
HK,1994,2,C2-P,old,0.0
HK,1995,2,C2-P,old,0.3125
HK,1993,2,C2-P,current,0.0
HK,1994,2,C2-P,current,-0.3125
HK,1995,2,C2-P,current,0.0
HK,1993,2,C2-P,tail,0.0
HK,1994,2,C2-P,tail,0.0
HK,1995,2,C2-P,tail,0.0
HK,1993,2,C2-P,HM,0.0
HK,1994,2,C2-P,HM,-0.16655230747799976
HK,1995,2,C2-P,HM,0.15996526584065407
HK,1993,2,C3-P,BA,0.0
HK,1994,2,C3-P,BA,-0.15625
HK,1995,2,C3-P,BA,0.15625
HK,1993,2,C3-P,old,0.0
HK,1994,2,C3-P,old,0.0
HK,1995,2,C3-P,old,0.3125
HK,1993,2,C3-P,current,0.0
HK,1994,2,C3-P,current,-0.3125
HK,1995,2,C3-P,current,0.0
HK,1993,2,C3-P,tail,0.0
HK,1994,2,C3-P,tail,0.0
HK,1995,2,C3-P,tail,0.0
HK,1993,2,C3-P,HM,0.0
HK,1994,2,C3-P,HM,-0.16655230747799976
HK,1995,2,C3-P,HM,0.15996526584065407
HK,1993,3,C3-C1,BA,4.2640086822414105
HK,1994,3,C3-C1,BA,0.59051974448316
HK,1995,3,C3-C1,BA,0.2032520325203251
HK,1993,3,C3-C1,old,12.543554006968648
HK,1994,3,C3-C1,old,13.385779616724733
HK,1995,3,C3-C1,old,0.3048780487804805
HK,1993,3,C3-C1,current,-12.295081967213122
HK,1994,3,C3-C1,current,-25.0
HK,1995,3,C3-C1,current,0.0
HK,1993,3,C3-C1,tail,42.85714285714286
HK,1994,3,C3-C1,tail,-18.75
HK,1995,3,C3-C1,tail,0.0
HK,1993,3,C3-C1,HM,1.363554402973051
HK,1994,3,C3-C1,HM,-8.012367341693988
HK,1995,3,C3-C1,HM,0.0680001788663418
HK,1993,3,C1-C0,BA,-2.101064336170296
HK,1994,3,C1-C0,BA,-0.2861366276000439
HK,1995,3,C1-C0,BA,0.0
HK,1993,3,C1-C0,old,-4.79094076655052
HK,1994,3,C1-C0,old,-0.5807200929152145
HK,1995,3,C1-C0,old,0.0
HK,1993,3,C1-C0,current,3.278688524590166
HK,1994,3,C1-C0,current,0.30303030303031164
HK,1995,3,C1-C0,current,0.0
HK,1993,3,C1-C0,tail,-14.285714285714281
HK,1994,3,C1-C0,tail,0.0
HK,1995,3,C1-C0,tail,0.0
HK,1993,3,C1-C0,HM,-1.5626672118364127
HK,1994,3,C1-C0,HM,-0.1934235857516171
HK,1995,3,C1-C0,HM,0.0
HK,1993,3,C2-C0,BA,2.1629443460711144
HK,1994,3,C2-C0,BA,0.30438311688311614
HK,1995,3,C2-C0,BA,0.2032520325203251
HK,1993,3,C2-C0,old,7.752613240418128
HK,1994,3,C2-C0,old,12.805059523809518
HK,1995,3,C2-C0,old,0.3048780487804805
HK,1993,3,C2-C0,current,-9.016393442622956
HK,1994,3,C2-C0,current,-24.69696969696969
HK,1995,3,C2-C0,current,0.0
HK,1993,3,C2-C0,tail,28.571428571428577
HK,1994,3,C2-C0,tail,-18.75
HK,1995,3,C2-C0,tail,0.0
HK,1993,3,C2-C0,HM,-0.19911280886336158
HK,1994,3,C2-C0,HM,-8.205790927445605
HK,1995,3,C2-C0,HM,0.0680001788663418
HK,1993,3,C3-C0,BA,2.1629443460711144
HK,1994,3,C3-C0,BA,0.30438311688311614
HK,1995,3,C3-C0,BA,0.2032520325203251
HK,1993,3,C3-C0,old,7.752613240418128
HK,1994,3,C3-C0,old,12.805059523809518
HK,1995,3,C3-C0,old,0.3048780487804805
HK,1993,3,C3-C0,current,-9.016393442622956
HK,1994,3,C3-C0,current,-24.69696969696969
HK,1995,3,C3-C0,current,0.0
HK,1993,3,C3-C0,tail,28.571428571428577
HK,1994,3,C3-C0,tail,-18.75
HK,1995,3,C3-C0,tail,0.0
HK,1993,3,C3-C0,HM,-0.19911280886336158
HK,1994,3,C3-C0,HM,-8.205790927445605
HK,1995,3,C3-C0,HM,0.0680001788663418
HK,1993,3,interaction,BA,2.101064336170296
HK,1994,3,interaction,BA,0.2861366276000439
HK,1995,3,interaction,BA,0.0
HK,1993,3,interaction,old,4.79094076655052
HK,1994,3,interaction,old,0.5807200929152145
HK,1995,3,interaction,old,0.0
HK,1993,3,interaction,current,-3.278688524590166
HK,1994,3,interaction,current,-0.30303030303031164
HK,1995,3,interaction,current,0.0
HK,1993,3,interaction,tail,14.285714285714281
HK,1994,3,interaction,tail,0.0
HK,1995,3,interaction,tail,0.0
HK,1993,3,interaction,HM,1.5626672118364127
HK,1994,3,interaction,HM,0.1934235857516171
HK,1995,3,interaction,HM,0.0
HK,1993,3,C2-P,BA,0.0
HK,1994,3,C2-P,BA,0.0
HK,1995,3,C2-P,BA,0.0
HK,1993,3,C2-P,old,0.0
HK,1994,3,C2-P,old,0.0
HK,1995,3,C2-P,old,0.0
HK,1993,3,C2-P,current,0.0
HK,1994,3,C2-P,current,0.0
HK,1995,3,C2-P,current,0.0
HK,1993,3,C2-P,tail,0.0
HK,1994,3,C2-P,tail,0.0
HK,1995,3,C2-P,tail,0.0
HK,1993,3,C2-P,HM,0.0
HK,1994,3,C2-P,HM,0.0
HK,1995,3,C2-P,HM,0.0
HK,1993,3,C3-P,BA,0.0
HK,1994,3,C3-P,BA,0.0
HK,1995,3,C3-P,BA,0.0
HK,1993,3,C3-P,old,0.0
HK,1994,3,C3-P,old,0.0
HK,1995,3,C3-P,old,0.0
HK,1993,3,C3-P,current,0.0
HK,1994,3,C3-P,current,0.0
HK,1995,3,C3-P,current,0.0
HK,1993,3,C3-P,tail,0.0
HK,1994,3,C3-P,tail,0.0
HK,1995,3,C3-P,tail,0.0
HK,1993,3,C3-P,HM,0.0
HK,1994,3,C3-P,HM,0.0
HK,1995,3,C3-P,HM,0.0
ISIC,1993,1,C3-C1,BA,0.0
ISIC,1994,1,C3-C1,BA,0.0
ISIC,1995,1,C3-C1,BA,0.0
ISIC,1993,1,C3-C1,old,
ISIC,1994,1,C3-C1,old,
ISIC,1995,1,C3-C1,old,
ISIC,1993,1,C3-C1,current,0.0
ISIC,1994,1,C3-C1,current,0.0
ISIC,1995,1,C3-C1,current,0.0
ISIC,1993,1,C3-C1,tail,
ISIC,1994,1,C3-C1,tail,0.0
ISIC,1995,1,C3-C1,tail,
ISIC,1993,1,C3-C1,HM,
ISIC,1994,1,C3-C1,HM,
ISIC,1995,1,C3-C1,HM,
ISIC,1993,1,C1-C0,BA,0.0
ISIC,1994,1,C1-C0,BA,0.0
ISIC,1995,1,C1-C0,BA,0.0
ISIC,1993,1,C1-C0,old,
ISIC,1994,1,C1-C0,old,
ISIC,1995,1,C1-C0,old,
ISIC,1993,1,C1-C0,current,0.0
ISIC,1994,1,C1-C0,current,0.0
ISIC,1995,1,C1-C0,current,0.0
ISIC,1993,1,C1-C0,tail,
ISIC,1994,1,C1-C0,tail,0.0
ISIC,1995,1,C1-C0,tail,
ISIC,1993,1,C1-C0,HM,
ISIC,1994,1,C1-C0,HM,
ISIC,1995,1,C1-C0,HM,
ISIC,1993,1,C2-C0,BA,0.0
ISIC,1994,1,C2-C0,BA,0.0
ISIC,1995,1,C2-C0,BA,0.0
ISIC,1993,1,C2-C0,old,
ISIC,1994,1,C2-C0,old,
ISIC,1995,1,C2-C0,old,
ISIC,1993,1,C2-C0,current,0.0
ISIC,1994,1,C2-C0,current,0.0
ISIC,1995,1,C2-C0,current,0.0
ISIC,1993,1,C2-C0,tail,
ISIC,1994,1,C2-C0,tail,0.0
ISIC,1995,1,C2-C0,tail,
ISIC,1993,1,C2-C0,HM,
ISIC,1994,1,C2-C0,HM,
ISIC,1995,1,C2-C0,HM,
ISIC,1993,1,C3-C0,BA,0.0
ISIC,1994,1,C3-C0,BA,0.0
ISIC,1995,1,C3-C0,BA,0.0
ISIC,1993,1,C3-C0,old,
ISIC,1994,1,C3-C0,old,
ISIC,1995,1,C3-C0,old,
ISIC,1993,1,C3-C0,current,0.0
ISIC,1994,1,C3-C0,current,0.0
ISIC,1995,1,C3-C0,current,0.0
ISIC,1993,1,C3-C0,tail,
ISIC,1994,1,C3-C0,tail,0.0
ISIC,1995,1,C3-C0,tail,
ISIC,1993,1,C3-C0,HM,
ISIC,1994,1,C3-C0,HM,
ISIC,1995,1,C3-C0,HM,
ISIC,1993,1,interaction,BA,0.0
ISIC,1994,1,interaction,BA,0.0
ISIC,1995,1,interaction,BA,0.0
ISIC,1993,1,interaction,old,
ISIC,1994,1,interaction,old,
ISIC,1995,1,interaction,old,
ISIC,1993,1,interaction,current,0.0
ISIC,1994,1,interaction,current,0.0
ISIC,1995,1,interaction,current,0.0
ISIC,1993,1,interaction,tail,
ISIC,1994,1,interaction,tail,0.0
ISIC,1995,1,interaction,tail,
ISIC,1993,1,interaction,HM,
ISIC,1994,1,interaction,HM,
ISIC,1995,1,interaction,HM,
ISIC,1993,1,C2-P,BA,2.2727272727272805
ISIC,1994,1,C2-P,BA,-2.0833333333333286
ISIC,1995,1,C2-P,BA,2.804054054054049
ISIC,1993,1,C2-P,old,
ISIC,1994,1,C2-P,old,
ISIC,1995,1,C2-P,old,
ISIC,1993,1,C2-P,current,2.2727272727272805
ISIC,1994,1,C2-P,current,-2.0833333333333286
ISIC,1995,1,C2-P,current,2.804054054054049
ISIC,1993,1,C2-P,tail,
ISIC,1994,1,C2-P,tail,-4.166666666666664
ISIC,1995,1,C2-P,tail,
ISIC,1993,1,C2-P,HM,
ISIC,1994,1,C2-P,HM,
ISIC,1995,1,C2-P,HM,
ISIC,1993,1,C3-P,BA,2.2727272727272805
ISIC,1994,1,C3-P,BA,-2.0833333333333286
ISIC,1995,1,C3-P,BA,2.804054054054049
ISIC,1993,1,C3-P,old,
ISIC,1994,1,C3-P,old,
ISIC,1995,1,C3-P,old,
ISIC,1993,1,C3-P,current,2.2727272727272805
ISIC,1994,1,C3-P,current,-2.0833333333333286
ISIC,1995,1,C3-P,current,2.804054054054049
ISIC,1993,1,C3-P,tail,
ISIC,1994,1,C3-P,tail,-4.166666666666664
ISIC,1995,1,C3-P,tail,
ISIC,1993,1,C3-P,HM,
ISIC,1994,1,C3-P,HM,
ISIC,1995,1,C3-P,HM,
ISIC,1993,2,C3-C1,BA,1.9008684405025775
ISIC,1994,2,C3-C1,BA,3.3389639639639626
ISIC,1995,2,C3-C1,BA,10.567945567945557
