dataset,seed,task,contrast,difference_pp,low,high
HK,1993,1,C3-F1,0.0,0.0,0.0
HK,1994,1,C3-F1,0.0,0.0,0.0
HK,1995,1,C3-F1,0.0,0.0,0.0
HK,fixed_three_mean,1,C3-F1,0.0,0.0,0.0
HK,1993,1,C2-F1,0.0,0.0,0.0
HK,1994,1,C2-F1,0.0,0.0,0.0
HK,1995,1,C2-F1,0.0,0.0,0.0
HK,fixed_three_mean,1,C2-F1,0.0,0.0,0.0
HK,1993,1,F1-P,0.0,0.0,0.0
HK,1994,1,F1-P,0.0,0.0,0.0
HK,1995,1,F1-P,0.0,0.0,0.0
HK,fixed_three_mean,1,F1-P,0.0,0.0,0.0
HK,1993,1,F1-C0,0.0,0.0,0.0
HK,1994,1,F1-C0,0.0,0.0,0.0
HK,1995,1,F1-C0,0.0,0.0,0.0
HK,fixed_three_mean,1,F1-C0,0.0,0.0,0.0
HK,1993,2,C3-F1,0.0,0.0,0.0
HK,1994,2,C3-F1,0.0,0.0,0.0
HK,1995,2,C3-F1,0.0,0.0,0.0
HK,fixed_three_mean,2,C3-F1,0.0,0.0,0.0
HK,1993,2,C2-F1,0.0,0.0,0.0
HK,1994,2,C2-F1,0.0,0.0,0.0
HK,1995,2,C2-F1,0.0,0.0,0.0
HK,fixed_three_mean,2,C2-F1,0.0,0.0,0.0
HK,1993,2,F1-P,0.0,0.0,0.0
HK,1994,2,F1-P,-0.15625,-0.46875,0.0
HK,1995,2,F1-P,0.15625,0.0,0.625
HK,fixed_three_mean,2,F1-P,0.0,-0.15625,0.15625
HK,1993,2,F1-C0,3.5714285714285694,0.0,10.714285714285714
HK,1994,2,F1-C0,3.125,0.0,9.375
HK,1995,2,F1-C0,0.15625,0.0,0.625
HK,fixed_three_mean,2,F1-C0,2.28422619047619,0.0,5.654761904761905
HK,1993,3,C3-F1,0.0,0.0,0.0
HK,1994,3,C3-F1,0.0,0.0,0.0
HK,1995,3,C3-F1,0.0,0.0,0.0
HK,fixed_three_mean,3,C3-F1,0.0,0.0,0.0
HK,1993,3,C2-F1,0.0,0.0,0.0
HK,1994,3,C2-F1,0.0,0.0,0.0
HK,1995,3,C2-F1,0.0,0.0,0.0
HK,fixed_three_mean,3,C2-F1,0.0,0.0,0.0
HK,1993,3,F1-P,0.0,0.0,0.0
HK,1994,3,F1-P,0.0,0.0,0.0
HK,1995,3,F1-P,0.0,0.0,0.0
HK,fixed_three_mean,3,F1-P,0.0,0.0,0.0
HK,1993,3,F1-C0,2.1629443460711144,-3.2786885245901645,8.290969326555091
HK,1994,3,F1-C0,0.30438311688311614,-8.427579365079366,9.330357142857144
HK,1995,3,F1-C0,0.2032520325203251,-0.11420223577235776,0.6148373983739835
HK,fixed_three_mean,3,F1-C0,0.8901931651581853,-2.7209936927706067,4.483532234953537
ISIC,1993,1,C3-F1,0.0,0.0,0.0
ISIC,1994,1,C3-F1,0.0,0.0,0.0
ISIC,1995,1,C3-F1,0.0,0.0,0.0
ISIC,fixed_three_mean,1,C3-F1,0.0,0.0,0.0
ISIC,1993,1,C2-F1,0.0,0.0,0.0
ISIC,1994,1,C2-F1,0.0,0.0,0.0
ISIC,1995,1,C2-F1,0.0,0.0,0.0
ISIC,fixed_three_mean,1,C2-F1,0.0,0.0,0.0
ISIC,1993,1,F1-P,2.2727272727272805,0.0,5.68181818181818
ISIC,1994,1,F1-P,-2.0833333333333286,-8.333333333333332,4.761904761904763
ISIC,1995,1,F1-P,2.804054054054049,-3.8798920377867674,9.722222222222221
ISIC,fixed_three_mean,1,F1-P,0.9978159978160003,-2.3760274812906386,4.743395286968662
ISIC,1993,1,F1-C0,0.0,0.0,0.0
ISIC,1994,1,F1-C0,0.0,0.0,0.0
ISIC,1995,1,F1-C0,0.0,0.0,0.0
ISIC,fixed_three_mean,1,F1-C0,0.0,0.0,0.0
ISIC,1993,2,C3-F1,-1.1779379157428025,-2.9871119733924623,0.0
ISIC,1994,2,C3-F1,-1.3361074489123297,-3.7945842164969985,0.990755772005767
ISIC,1995,2,C3-F1,0.0,0.0,0.0
ISIC,fixed_three_mean,2,C3-F1,-0.8380151215517108,-1.8399419226400933,0.013893203679789278
ISIC,1993,2,C2-F1,-1.1779379157428025,-2.9871119733924623,0.0
ISIC,1994,2,C2-F1,-0.6604317732366525,-3.060096285411705,1.25
ISIC,1995,2,C2-F1,0.0,0.0,0.0
ISIC,fixed_three_mean,2,C2-F1,-0.612789896326485,-1.6104633864433253,0.21205094969629892
ISIC,1993,2,F1-P,5.776515151515156,2.3536879786879816,9.792090311004781
ISIC,1994,2,F1-P,1.8951878707976277,-1.7006987780970346,5.577551204731437
ISIC,1995,2,F1-P,-1.9737525987526112,-6.875797672672674,2.5050874631667313
ISIC,fixed_three_mean,2,F1-P,1.8993168078533909,-0.43933068412235066,4.209689366220173
ISIC,1993,2,F1-C0,4.32880635624538,-1.3549587572098907,9.753972712585512
ISIC,1994,2,F1-C0,2.6424137552186266,-4.1747306969346445,9.333909759679347
ISIC,1995,2,F1-C0,8.299588924588932,1.7214846566590736,14.939474273355849
ISIC,fixed_three_mean,2,F1-C0,5.0902696786843125,1.2754103278774314,8.934499410771075
ISIC,1993,3,C3-F1,-0.37878787878787534,-1.6609848484848475,0.8547008547008552
ISIC,1994,3,C3-F1,3.0196493611127835,0.4482273449699636,5.811754671952039
ISIC,1995,3,C3-F1,-0.033783783783789545,-1.3513513513513509,1.2502237814737802
ISIC,fixed_three_mean,3,C3-F1,0.8690258995137062,-0.08622292799563927,1.9246846817608758
ISIC,1993,3,C2-F1,-0.37878787878787534,-1.6609848484848475,0.8547008547008552
ISIC,1994,3,C2-F1,3.832657491194084,1.1473285486443372,6.872633729319774
ISIC,1995,3,C2-F1,-0.033783783783789545,-1.3513513513513509,1.2502237814737802
ISIC,fixed_three_mean,3,C2-F1,1.1400286095408063,0.1997113752703177,2.221748341814133
ISIC,1993,3,F1-P,4.248041748041743,1.1450079313451416,7.348007154261337
ISIC,1994,3,F1-P,-1.6565040650406573,-4.597906823388767,1.3954353460336872
