dataset,seed,task,method,head_index,original_label,n_images,n_correct,recall,margin_mean,n_components
HK,1993,1,F1,0,0,7,7,100.0,0.9965898693601934,7
HK,1993,1,F1,1,4,165,165,100.0,0.9755074601718169,165
HK,1993,2,F1,0,0,7,7,100.0,0.459650023381597,7
HK,1993,2,F1,1,4,165,165,100.0,0.8116641299197049,165
HK,1993,2,F1,2,12,41,36,87.8048780487805,0.46244193642788317,41
HK,1993,2,F1,3,8,153,153,100.0,0.8573925279487039,153
HK,1993,3,F1,0,0,7,5,71.42857142857143,0.16392574854282557,7
HK,1993,3,F1,1,4,165,165,100.0,0.7674807161554232,165
HK,1993,3,F1,2,12,41,31,75.60975609756098,0.28454940273404267,41
HK,1993,3,F1,3,8,153,153,100.0,0.7781518197333628,153
HK,1993,3,F1,4,2,182,182,100.0,0.8166580681321782,182
HK,1993,3,F1,5,11,61,40,65.57377049180327,0.11172785987157387,61
HK,1994,1,F1,0,22,21,21,100.0,0.963657293343498,21
HK,1994,1,F1,1,16,8,8,100.0,0.9671022278978711,8
HK,1994,2,F1,0,22,21,21,100.0,0.666368002677007,21
HK,1994,2,F1,1,16,8,8,100.0,0.42676368601206405,8
HK,1994,2,F1,2,12,41,37,90.2439024390244,0.4752988333906872,41
HK,1994,2,F1,3,13,160,155,96.875,0.7528209048405883,160
HK,1994,3,F1,0,22,21,16,76.19047619047619,0.25960370855974946,21
HK,1994,3,F1,1,16,8,8,100.0,0.3857875073198969,8
HK,1994,3,F1,2,12,41,36,87.8048780487805,0.4006212623807945,41
HK,1994,3,F1,3,13,160,156,97.5,0.6736112157409491,160
HK,1994,3,F1,4,21,4,1,25.0,-0.22401936075015397,4
HK,1994,3,F1,5,4,165,165,100.0,0.7559908684745588,165
HK,1995,1,F1,0,9,164,164,100.0,0.9174333934287996,164
HK,1995,1,F1,1,13,160,155,96.875,0.8972202876064376,160
HK,1995,2,F1,0,9,164,163,99.39024390243902,0.7581650702987567,164
HK,1995,2,F1,1,13,160,154,96.25,0.7654701015371603,160
HK,1995,2,F1,2,16,8,8,100.0,0.831523215015566,8
HK,1995,2,F1,3,14,60,60,100.0,0.7624749460217899,60
HK,1995,3,F1,0,9,164,163,99.39024390243902,0.6806743354882807,164
HK,1995,3,F1,1,13,160,155,96.875,0.7173256728426018,160
HK,1995,3,F1,2,16,8,8,100.0,0.7901884973365942,8
HK,1995,3,F1,3,14,60,60,100.0,0.5456703326985775,60
HK,1995,3,F1,4,15,123,122,99.1869918699187,0.7557372833166505,123
HK,1995,3,F1,5,5,1,0,0.0,-0.3220315450569202,1
ISIC,1993,1,F1,0,4,41,39,95.1219512195122,0.6400010958571355,38
ISIC,1993,1,F1,1,0,44,44,100.0,0.8619492072635871,44
ISIC,1993,2,F1,0,4,41,32,78.04878048780488,0.2573545802119436,38
ISIC,1993,2,F1,1,0,44,41,93.18181818181819,0.4675030694209539,44
ISIC,1993,2,F1,2,3,40,26,65.0,0.12725140629208473,37
ISIC,1993,2,F1,3,7,24,14,58.333333333333336,0.06922933813021113,20
ISIC,1993,3,F1,0,4,41,25,60.97560975609756,0.0976408387450724,38
ISIC,1993,3,F1,1,0,44,40,90.9090909090909,0.37840014718143,44
ISIC,1993,3,F1,2,3,40,24,60.0,0.0386277605266436,37
ISIC,1993,3,F1,3,7,24,14,58.333333333333336,0.0647938417220965,20
ISIC,1993,3,F1,4,5,37,19,51.351351351351354,0.07321677891505586,34
ISIC,1993,3,F1,5,6,26,24,92.3076923076923,0.4167373591810738,24
ISIC,1994,1,F1,0,3,40,39,97.5,0.7556535861755985,37
ISIC,1994,1,F1,1,7,24,12,50.0,0.014006326217364288,20
ISIC,1994,2,F1,0,3,40,31,77.5,0.2663251763061766,37
ISIC,1994,2,F1,1,7,24,13,54.166666666666664,0.049153658493210996,20
ISIC,1994,2,F1,2,4,41,23,56.09756097560975,0.044431693910478964,38
ISIC,1994,2,F1,3,5,37,20,54.054054054054056,0.05510207925609087,34
ISIC,1994,3,F1,0,3,40,17,42.5,-0.015873665872201227,37
ISIC,1994,3,F1,1,7,24,12,50.0,0.015515903616513359,20
ISIC,1994,3,F1,2,4,41,24,58.53658536585366,0.06489927474077134,38
ISIC,1994,3,F1,3,5,37,18,48.648648648648646,0.028963826337398302,34
ISIC,1994,3,F1,4,1,37,18,48.648648648648646,0.08164166608770947,36
ISIC,1994,3,F1,5,0,44,33,75.0,0.19897880117714806,44
ISIC,1995,1,F1,0,1,37,32,86.48648648648648,0.4286959922209206,36
ISIC,1995,1,F1,1,3,40,34,85.0,0.49930183804488204,37
ISIC,1995,2,F1,0,1,37,24,64.86486486486487,0.18807743769699745,36
ISIC,1995,2,F1,1,3,40,33,82.5,0.2535243316793556,37
ISIC,1995,2,F1,2,0,44,35,79.54545454545455,0.23416128689069646,44
ISIC,1995,2,F1,3,6,26,23,88.46153846153847,0.4433572934917599,24
ISIC,1995,3,F1,0,1,37,21,56.75675675675676,0.10577885165818472,36
ISIC,1995,3,F1,1,3,40,21,52.5,0.02677835310481035,37
ISIC,1995,3,F1,2,0,44,36,81.81818181818181,0.20451409142659463,44
ISIC,1995,3,F1,3,6,26,24,92.3076923076923,0.425511329001769,24
ISIC,1995,3,F1,4,4,41,24,58.53658536585366,0.06356183572650638,38
ISIC,1995,3,F1,5,5,37,18,48.648648648648646,0.04015479068274795,34
