dataset,seed,task,method,n_images,balanced_accuracy,accuracy,macro_f1,zero_recall_classes,head_recall,mid_recall,tail_recall,old_macro_recall,restricted_old_BA,restricted_old_accuracy,current_macro_recall,restricted_current_BA,restricted_current_accuracy,HM,AvgBA_all_tasks
HK,1993,11,F1,1698,61.210358180217476,82.86219081272085,55.62712802796661,"[21, 19, 6, 5]",90.2689095123506,59.53691294537509,33.61607142857143,56.69073196624716,59.10900366855524,85.07779349363508,91.34119960668632,99.2605703048181,98.94366197183099,69.96057417283515,77.9547154801579
HK,1993,11,P,1698,61.12772365602367,82.68551236749117,55.52510872088553,"[21, 19, 6, 5]",90.0313352552934,59.53691294537509,33.61607142857143,56.6290355967576,59.074779826538204,85.00707213578501,91.11897738446412,99.2605703048181,98.94366197183099,69.84838184593096,78.00833554466452
HK,1993,11,C0,1698,12.65770534860898,16.0188457008245,3.818703993653525,"[0, 4, 12, 8, 2, 11, 17, 3, 21, 16, 22, 13, 18, 14, 9, 19, 6, 5]",12.703252032520325,12.78588667969199,12.5,0.3085735402808574,12.273446045245286,15.134370579915135,94.98525073746312,94.98525073746312,94.01408450704226,0.6151486797108067,58.69712465729679
HK,1994,11,F1,1698,61.10958757646037,82.68551236749117,55.59491555030193,"[21, 19, 6, 5]",90.08981349557546,59.41049069505904,33.61607142857143,60.36490741945819,61.99557461221319,84.81110254433307,66.07412195647491,92.42424242424242,96.25935162094763,63.090618053792106,72.61883484150137
HK,1994,11,P,1698,61.12772365602368,82.68551236749117,55.52510872088553,"[21, 19, 6, 5]",90.03133525529338,59.5369129453751,33.61607142857143,60.47338870446314,62.02796097584955,84.8882035466461,65.48995666642726,92.92929292929294,96.50872817955111,62.881778728028834,72.68960634575711
HK,1994,11,C0,1698,14.054405952104162,26.266195524146053,6.9133302640296606,"[22, 16, 12, 13, 21, 4, 19, 17, 6, 11, 3, 15, 0, 9, 5, 7, 18, 1, 14]",29.421568627450984,12.554112554112553,0.0,1.8666666666666667,11.805037641687761,19.043947571318427,95.30600118835413,95.30600118835414,97.2568578553616,3.661616779257796,48.362143870426074
HK,1995,11,F1,1698,61.31857149582831,82.50883392226149,55.71741053813829,"[5, 19, 6, 21]",89.53192393290882,60.73474021602988,33.61607142857143,57.41938752323286,60.674433915818824,87.59177679882526,87.31313131313131,99.55555555555556,99.40476190476191,69.27906130624137,77.20670445110483
HK,1995,11,P,1698,61.12772365602366,82.68551236749117,55.52510872088553,"[5, 19, 6, 21]",90.0313352552934,59.5369129453751,33.61607142857143,56.99991250745751,61.27368221494513,87.51835535976505,88.64646464646465,99.33333333333333,99.10714285714286,69.38505203742845,77.27657051284574
HK,1995,11,C0,1698,14.202102245580507,20.023557126030624,4.257028580730453,"[9, 13, 16, 14, 15, 5, 12, 1, 8, 22, 19, 17, 18, 6, 20, 0, 3, 11]",25.206043956043956,0.0,15.625,1.3324175824175826,11.454237394657405,16.152716593245227,100.0,100.0,100.0,2.62979530974651,50.7040285318611
ISIC,1993,4,F1,295,58.99420215698052,57.96610169491525,59.54243643615824,[],66.7997542997543,48.931475882032615,71.31410256410257,62.76586922928386,69.37585440634221,69.33962264150944,47.6792009400705,91.86251468860165,91.56626506024097,54.19212440306076,74.79391842760081
ISIC,1993,4,P,295,55.497263593432734,54.23728813559322,55.55991004063034,[],63.17567567567568,43.82976627210456,71.15384615384616,58.19141608775755,64.51554232042037,64.15094339622641,47.41480611045829,90.24676850763807,90.36144578313254,52.25326034133321,70.84536274364282
ISIC,1993,4,C0,295,54.11214054639293,53.559322033898304,53.544374450312304,[],55.09828009828009,50.14629488979966,61.05769230769231,44.95602288285215,65.60258279770474,65.09433962264151,81.58049353701527,89.71797884841364,90.36144578313254,57.968002249642986,71.60230079851634
ISIC,1994,4,F1,295,55.214272847159904,53.898305084745765,55.34786749587792,[],63.17567567567568,44.14519503596916,69.39102564102564,53.357046070460704,55.71815718157181,56.05381165919282,60.785953177257525,93.9799331103679,94.44444444444444,56.829747343101,60.82695592877525
ISIC,1994,4,P,295,55.497263593432734,54.23728813559322,55.55991004063034,[],63.17567567567568,43.82976627210456,71.15384615384616,51.365359261700725,54.13297443785249,54.7085201793722,67.89297658862876,95.90301003344482,95.83333333333334,58.483914083755316,61.358865997237544
ISIC,1994,4,C0,295,39.295135436439786,40.33898305084746,35.46455016264338,"[4, 5]",53.71621621621622,26.331521739130434,50.80128205128205,22.62762762762763,49.65225757908685,49.327354260089685,89.29765886287626,90.38461538461539,93.05555555555556,36.10612465020619,56.19735705814046
ISIC,1995,4,F1,295,60.61818861924907,59.32203389830508,61.273604759346625,[],67.01474201474201,50.068749820870714,75.32051282051282,63.131014777356235,64.7496400545181,63.55555555555556,53.07971014492754,83.2427536231884,87.14285714285714,57.670683455045655,72.57476011999474
ISIC,1995,4,P,295,55.497263593432734,54.23728813559322,55.55991004063034,[],63.17567567567568,43.82976627210456,71.15384615384616,58.41664131298277,61.76950082437887,60.44444444444444,46.73913043478261,80.07246376811594,84.28571428571429,51.92949416868186,70.14203130479311
ISIC,1995,4,C0,295,45.795947255385215,45.42372881355932,44.308181573534945,[],39.004914004914006,39.236873405749336,65.7051282051282,35.39701179945083,57.425725230603284,56.00000000000001,76.9927536231884,81.25,87.14285714285714,48.497537088430235,64.79164770986085
