dataset,seed,method,original_label,eligible,first_task,first_recall,final_recall,peak_minus_final,first_minus_final
HK,1993,F1,0,True,1,100.0,71.42857142857143,28.57142857142857,28.57142857142857
HK,1993,F1,1,False,11,94.69026548672566,94.69026548672566,,
HK,1993,F1,2,True,3,100.0,82.96703296703296,17.032967032967036,17.032967032967036
HK,1993,F1,3,True,4,84.71337579617834,82.80254777070064,3.1847133757961785,1.9108280254776986
HK,1993,F1,4,True,1,100.0,86.66666666666667,13.333333333333329,13.333333333333329
HK,1993,F1,5,True,10,0.0,0.0,0.0,0.0
HK,1993,F1,6,True,9,0.0,0.0,0.0,0.0
HK,1993,F1,7,False,11,100.0,100.0,,
HK,1993,F1,8,True,2,100.0,98.03921568627452,1.9607843137254832,1.9607843137254832
HK,1993,F1,9,True,8,98.78048780487805,98.78048780487805,0.0,0.0
HK,1993,F1,10,False,11,79.33333333333333,79.33333333333333,,
HK,1993,F1,11,True,3,65.57377049180327,22.950819672131146,42.62295081967213,42.62295081967213
HK,1993,F1,12,True,2,87.8048780487805,82.92682926829268,4.878048780487816,4.878048780487816
HK,1993,F1,13,True,6,95.0,94.375,1.25,0.625
HK,1993,F1,14,True,7,98.33333333333333,90.0,8.333333333333329,8.333333333333329
HK,1993,F1,15,True,9,99.1869918699187,99.1869918699187,0.0,0.0
HK,1993,F1,16,True,5,50.0,37.5,12.5,12.5
HK,1993,F1,17,True,4,100.0,60.0,40.0,40.0
HK,1993,F1,18,True,7,51.515151515151516,33.333333333333336,18.18181818181818,18.18181818181818
HK,1993,F1,19,True,8,0.0,0.0,0.0,0.0
HK,1993,F1,20,True,10,24.242424242424242,16.666666666666668,7.575757575757574,7.575757575757574
HK,1993,F1,21,True,5,100.0,0.0,100.0,100.0
HK,1993,F1,22,True,6,76.19047619047619,76.19047619047619,0.0,0.0
HK,1993,P,0,True,1,100.0,71.42857142857143,28.57142857142857,28.57142857142857
HK,1993,P,1,False,11,94.69026548672566,94.69026548672566,,
HK,1993,P,2,True,3,100.0,82.41758241758242,17.582417582417577,17.582417582417577
HK,1993,P,3,True,4,84.71337579617834,82.1656050955414,4.4585987261146585,2.5477707006369457
HK,1993,P,4,True,1,100.0,87.27272727272727,12.727272727272734,12.727272727272734
HK,1993,P,5,True,10,0.0,0.0,0.0,0.0
HK,1993,P,6,True,9,0.0,0.0,0.0,0.0
HK,1993,P,7,False,11,100.0,100.0,,
HK,1993,P,8,True,2,100.0,97.38562091503267,2.614379084967325,2.614379084967325
HK,1993,P,9,True,8,98.78048780487805,98.78048780487805,0.0,0.0
HK,1993,P,10,False,11,78.66666666666667,78.66666666666667,,
HK,1993,P,11,True,3,65.57377049180327,22.950819672131146,42.62295081967213,42.62295081967213
HK,1993,P,12,True,2,87.8048780487805,82.92682926829268,4.878048780487816,4.878048780487816
HK,1993,P,13,True,6,95.0,94.375,1.25,0.625
HK,1993,P,14,True,7,98.33333333333333,90.0,8.333333333333329,8.333333333333329
HK,1993,P,15,True,9,99.1869918699187,99.1869918699187,0.0,0.0
HK,1993,P,16,True,5,50.0,37.5,12.5,12.5
HK,1993,P,17,True,4,100.0,60.0,40.0,40.0
HK,1993,P,18,True,7,51.515151515151516,33.333333333333336,18.18181818181818,18.18181818181818
HK,1993,P,19,True,8,0.0,0.0,0.0,0.0
HK,1993,P,20,True,10,22.727272727272727,16.666666666666668,6.060606060606059,6.060606060606059
HK,1993,P,21,True,5,100.0,0.0,100.0,100.0
HK,1993,P,22,True,6,76.19047619047619,76.19047619047619,0.0,0.0
HK,1993,C0,0,True,1,100.0,0.0,100.0,100.0
HK,1993,C0,1,False,11,84.95575221238938,84.95575221238938,,
HK,1993,C0,2,True,3,100.0,0.0,100.0,100.0
HK,1993,C0,3,True,4,96.17834394904459,0.0,97.45222929936305,96.17834394904459
HK,1993,C0,4,True,1,100.0,0.0,100.0,100.0
HK,1993,C0,5,True,10,0.0,0.0,0.0,0.0
HK,1993,C0,6,True,9,100.0,0.0,100.0,100.0
HK,1993,C0,7,False,11,100.0,100.0,,
HK,1993,C0,8,True,2,100.0,0.0,100.0,100.0
HK,1993,C0,9,True,8,100.0,0.0,100.0,100.0
HK,1993,C0,10,False,11,100.0,100.0,,
HK,1993,C0,11,True,3,83.60655737704919,0.0,88.52459016393442,83.60655737704919
HK,1993,C0,12,True,2,87.8048780487805,0.0,87.8048780487805,87.8048780487805
HK,1993,C0,13,True,6,98.125,0.0,98.125,98.125
HK,1993,C0,14,True,7,98.33333333333333,0.0,98.33333333333333,98.33333333333333
HK,1993,C0,15,True,9,100.0,1.6260162601626016,98.3739837398374,98.3739837398374
HK,1993,C0,16,True,5,100.0,0.0,100.0,100.0
HK,1993,C0,17,True,4,100.0,0.0,100.0,100.0
HK,1993,C0,18,True,7,90.9090909090909,0.0,90.9090909090909,90.9090909090909
HK,1993,C0,19,True,8,50.0,0.0,50.0,50.0
HK,1993,C0,20,True,10,96.96969696969697,4.545454545454546,92.42424242424242,92.42424242424242
HK,1993,C0,21,True,5,100.0,0.0,100.0,100.0
HK,1993,C0,22,True,6,90.47619047619048,0.0,90.47619047619048,90.47619047619048
HK,1994,F1,0,True,7,71.42857142857143,71.42857142857143,0.0,0.0
HK,1994,F1,1,True,9,99.11504424778761,93.80530973451327,5.309734513274336,5.309734513274336
HK,1994,F1,2,False,11,83.51648351648352,83.51648351648352,,
HK,1994,F1,3,True,6,85.98726114649682,81.52866242038216,5.095541401273891,4.4585987261146585
HK,1994,F1,4,True,3,100.0,86.66666666666667,13.333333333333329,13.333333333333329
HK,1994,F1,5,True,8,100.0,0.0,100.0,100.0
HK,1994,F1,6,True,5,0.0,0.0,0.0,0.0
HK,1994,F1,7,True,8,100.0,100.0,0.0,0.0
HK,1994,F1,8,False,11,98.03921568627452,98.03921568627452,,
HK,1994,F1,9,True,7,98.78048780487805,98.78048780487805,0.0,0.0
HK,1994,F1,10,True,10,78.66666666666667,78.0,0.6666666666666714,0.6666666666666714
HK,1994,F1,11,True,5,62.295081967213115,22.950819672131146,39.34426229508197,39.34426229508197
HK,1994,F1,12,True,2,90.2439024390244,82.92682926829268,7.317073170731717,7.317073170731717
HK,1994,F1,13,True,2,96.875,95.0,2.5,1.875
HK,1994,F1,14,True,10,95.0,90.0,5.0,5.0
HK,1994,F1,15,True,6,100.0,99.1869918699187,0.8130081300813004,0.8130081300813004
HK,1994,F1,16,True,1,100.0,37.5,62.5,62.5
HK,1994,F1,17,True,4,80.0,60.0,20.0,20.0
HK,1994,F1,18,True,9,48.484848484848484,33.333333333333336,15.151515151515149,15.151515151515149
HK,1994,F1,19,True,4,0.0,0.0,0.0,0.0
HK,1994,F1,20,False,11,16.666666666666668,16.666666666666668,,
HK,1994,F1,21,True,3,25.0,0.0,25.0,25.0
HK,1994,F1,22,True,1,100.0,76.19047619047619,23.80952380952381,23.80952380952381
HK,1994,P,0,True,7,71.42857142857143,71.42857142857143,0.0,0.0
HK,1994,P,1,True,9,99.11504424778761,94.69026548672566,4.424778761061944,4.424778761061944
HK,1994,P,2,False,11,82.41758241758242,82.41758241758242,,
HK,1994,P,3,True,6,87.26114649681529,82.1656050955414,5.095541401273891,5.095541401273891
HK,1994,P,4,True,3,100.0,87.27272727272727,12.727272727272734,12.727272727272734
HK,1994,P,5,True,8,100.0,0.0,100.0,100.0
HK,1994,P,6,True,5,0.0,0.0,0.0,0.0
HK,1994,P,7,True,8,100.0,100.0,0.0,0.0
HK,1994,P,8,False,11,97.38562091503267,97.38562091503267,,
HK,1994,P,9,True,7,98.78048780487805,98.78048780487805,0.0,0.0
HK,1994,P,10,True,10,78.66666666666667,78.66666666666667,0.0,0.0
HK,1994,P,11,True,5,60.65573770491803,22.950819672131146,37.704918032786885,37.704918032786885
HK,1994,P,12,True,2,90.2439024390244,82.92682926829268,7.317073170731717,7.317073170731717
HK,1994,P,13,True,2,97.5,94.375,3.125,3.125
HK,1994,P,14,True,10,95.0,90.0,5.0,5.0
HK,1994,P,15,True,6,100.0,99.1869918699187,0.8130081300813004,0.8130081300813004
HK,1994,P,16,True,1,100.0,37.5,62.5,62.5
HK,1994,P,17,True,4,80.0,60.0,20.0,20.0
HK,1994,P,18,True,9,51.515151515151516,33.333333333333336,18.18181818181818,18.18181818181818
HK,1994,P,19,True,4,0.0,0.0,0.0,0.0
HK,1994,P,20,False,11,16.666666666666668,16.666666666666668,,
HK,1994,P,21,True,3,25.0,0.0,25.0,25.0
HK,1994,P,22,True,1,100.0,76.19047619047619,23.80952380952381,23.80952380952381
HK,1994,C0,0,True,7,100.0,0.0,100.0,100.0
HK,1994,C0,1,True,9,98.23008849557522,0.0,98.23008849557522,98.23008849557522
HK,1994,C0,2,False,11,100.0,100.0,,
HK,1994,C0,3,True,6,99.36305732484077,0.0,99.36305732484077,99.36305732484077
HK,1994,C0,4,True,3,99.39393939393939,0.0,99.39393939393939,99.39393939393939
HK,1994,C0,5,True,8,100.0,0.0,100.0,100.0
HK,1994,C0,6,True,5,0.0,0.0,0.0,0.0
HK,1994,C0,7,True,8,100.0,0.0,100.0,100.0
HK,1994,C0,8,False,11,98.03921568627452,98.03921568627452,,
HK,1994,C0,9,True,7,99.39024390243902,0.0,99.39024390243902,99.39024390243902
HK,1994,C0,10,True,10,100.0,37.333333333333336,62.666666666666664,62.666666666666664
HK,1994,C0,11,True,5,100.0,0.0,100.0,100.0
HK,1994,C0,12,True,2,90.2439024390244,0.0,90.2439024390244,90.2439024390244
HK,1994,C0,13,True,2,96.875,0.0,96.875,96.875
HK,1994,C0,14,True,10,100.0,0.0,100.0,100.0
HK,1994,C0,15,True,6,100.0,0.0,100.0,100.0
HK,1994,C0,16,True,1,100.0,0.0,100.0,100.0
HK,1994,C0,17,True,4,80.0,0.0,100.0,80.0
HK,1994,C0,18,True,9,96.96969696969697,0.0,96.96969696969697,96.96969696969697
HK,1994,C0,19,True,4,0.0,0.0,0.0,0.0
HK,1994,C0,20,False,11,87.87878787878788,87.87878787878788,,
HK,1994,C0,21,True,3,75.0,0.0,75.0,75.0
