dataset,seed,task,contrast,metric,difference_pp,low,high
HK,1993,1,F1-P,BA,0.0,0.0,0.0
HK,1994,1,F1-P,BA,0.0,0.0,0.0
HK,1995,1,F1-P,BA,0.0,0.0,0.0
HK,fixed_three_mean,1,F1-P,BA,0.0,0.0,0.0
HK,1993,1,F1-P,old,,,
HK,1994,1,F1-P,old,,,
HK,1995,1,F1-P,old,,,
HK,1993,1,F1-P,current,0.0,0.0,0.0
HK,1994,1,F1-P,current,0.0,0.0,0.0
HK,1995,1,F1-P,current,0.0,0.0,0.0
HK,fixed_three_mean,1,F1-P,current,0.0,0.0,0.0
HK,1993,1,F1-P,HM,,,
HK,1994,1,F1-P,HM,,,
HK,1995,1,F1-P,HM,,,
HK,1993,1,F1-P,tail,0.0,0.0,0.0
HK,1994,1,F1-P,tail,0.0,0.0,0.0
HK,1995,1,F1-P,tail,,,
HK,1993,1,F1-C0,BA,0.0,0.0,0.0
HK,1994,1,F1-C0,BA,0.0,0.0,0.0
HK,1995,1,F1-C0,BA,0.0,0.0,0.0
HK,fixed_three_mean,1,F1-C0,BA,0.0,0.0,0.0
HK,1993,1,F1-C0,old,,,
HK,1994,1,F1-C0,old,,,
HK,1995,1,F1-C0,old,,,
HK,1993,1,F1-C0,current,0.0,0.0,0.0
HK,1994,1,F1-C0,current,0.0,0.0,0.0
HK,1995,1,F1-C0,current,0.0,0.0,0.0
HK,fixed_three_mean,1,F1-C0,current,0.0,0.0,0.0
HK,1993,1,F1-C0,HM,,,
HK,1994,1,F1-C0,HM,,,
HK,1995,1,F1-C0,HM,,,
HK,1993,1,F1-C0,tail,0.0,0.0,0.0
HK,1994,1,F1-C0,tail,0.0,0.0,0.0
HK,1995,1,F1-C0,tail,,,
HK,1993,2,F1-P,BA,0.0,0.0,0.0
HK,1994,2,F1-P,BA,-0.15625,-0.46875,0.0
HK,1995,2,F1-P,BA,0.15625,0.0,0.46875
HK,fixed_three_mean,2,F1-P,BA,0.0,-0.15625,0.15625
HK,1993,2,F1-P,old,0.0,0.0,0.0
HK,1994,2,F1-P,old,0.0,0.0,0.0
HK,1995,2,F1-P,old,0.3125,0.0,0.9375
HK,fixed_three_mean,2,F1-P,old,0.10416666666666667,0.0,0.3125
HK,1993,2,F1-P,current,0.0,0.0,0.0
HK,1994,2,F1-P,current,-0.3125,-0.9375,0.0
HK,1995,2,F1-P,current,0.0,0.0,0.0
HK,fixed_three_mean,2,F1-P,current,-0.10416666666666667,-0.3125,0.0
HK,1993,2,F1-P,HM,0.0,0.0,0.0
HK,1994,2,F1-P,HM,-0.16655230747799976,-0.5174638960010405,0.0
HK,1995,2,F1-P,HM,0.15996526584065407,0.0,0.48602686361288006
HK,fixed_three_mean,2,F1-P,HM,-0.0021956805457818973,-0.16453916089708753,0.1594737366689903
HK,1993,2,F1-P,tail,0.0,0.0,0.0
HK,1994,2,F1-P,tail,0.0,0.0,0.0
HK,1995,2,F1-P,tail,0.0,0.0,0.0
HK,fixed_three_mean,2,F1-P,tail,0.0,0.0,0.0
HK,1993,2,F1-C0,BA,3.5714285714285694,0.0,10.714285714285722
HK,1994,2,F1-C0,BA,3.125,0.0,9.375
HK,1995,2,F1-C0,BA,0.15625,0.0,0.46875
HK,fixed_three_mean,2,F1-C0,BA,2.28422619047619,0.0,5.610119047619047
HK,1993,2,F1-C0,old,7.142857142857139,0.0,21.42857142857143
HK,1994,2,F1-C0,old,6.25,0.0,18.75
HK,1995,2,F1-C0,old,0.3125,0.0,0.9375
HK,fixed_three_mean,2,F1-C0,old,4.56845238095238,0.0,11.220238095238093
HK,1993,2,F1-C0,current,0.0,0.0,0.0
HK,1994,2,F1-C0,current,0.0,0.0,0.0
HK,1995,2,F1-C0,current,0.0,0.0,0.0
HK,fixed_three_mean,2,F1-C0,current,0.0,0.0,0.0
HK,1993,2,F1-C0,HM,3.4784802403078885,0.0,11.441825476429287
HK,1994,2,F1-C0,HM,3.017944653518171,0.0,9.884904041097869
HK,1995,2,F1-C0,HM,0.15996526584065407,0.0,0.48602686361288006
HK,fixed_three_mean,2,F1-C0,HM,2.2187967198889047,0.0,5.82132132520091
HK,1993,2,F1-C0,tail,14.285714285714292,0.0,42.857142857142854
HK,1994,2,F1-C0,tail,12.5,0.0,37.5
HK,1995,2,F1-C0,tail,0.0,0.0,0.0
HK,fixed_three_mean,2,F1-C0,tail,8.92857142857143,0.0,22.023809523809522
HK,1993,3,F1-P,BA,0.0,0.0,0.0
HK,1994,3,F1-P,BA,0.0,0.0,0.0
HK,1995,3,F1-P,BA,0.0,0.0,0.0
HK,fixed_three_mean,3,F1-P,BA,0.0,0.0,0.0
HK,1993,3,F1-P,old,0.0,0.0,0.0
HK,1994,3,F1-P,old,0.0,0.0,0.0
HK,1995,3,F1-P,old,0.0,0.0,0.0
HK,fixed_three_mean,3,F1-P,old,0.0,0.0,0.0
HK,1993,3,F1-P,current,0.0,0.0,0.0
HK,1994,3,F1-P,current,0.0,0.0,0.0
HK,1995,3,F1-P,current,0.0,0.0,0.0
HK,fixed_three_mean,3,F1-P,current,0.0,0.0,0.0
HK,1993,3,F1-P,HM,0.0,0.0,0.0
HK,1994,3,F1-P,HM,0.0,0.0,0.0
HK,1995,3,F1-P,HM,0.0,0.0,0.0
HK,fixed_three_mean,3,F1-P,HM,0.0,0.0,0.0
HK,1993,3,F1-P,tail,0.0,0.0,0.0
HK,1994,3,F1-P,tail,0.0,0.0,0.0
HK,1995,3,F1-P,tail,0.0,0.0,0.0
HK,fixed_three_mean,3,F1-P,tail,0.0,0.0,0.0
HK,1993,3,F1-C0,BA,2.1629443460711144,-3.0054644808743234,8.626073380171732
HK,1994,3,F1-C0,BA,0.30438311688311614,-9.405133928571408,10.221861471861473
HK,1995,3,F1-C0,BA,0.2032520325203251,-0.2083333333333428,0.6173780487804805
HK,fixed_three_mean,3,F1-C0,BA,0.8901931651581853,-2.8906755765106062,4.91923996244456
HK,1993,3,F1-C0,old,7.752613240418128,0.0,17.85714285714286
HK,1994,3,F1-C0,old,12.805059523809518,5.952380952380963,20.848214285714292
HK,1995,3,F1-C0,old,0.3048780487804805,-0.3125,0.9260670731707279
HK,fixed_three_mean,3,F1-C0,old,6.954183604336042,3.4394977376113074,11.074692097367405
HK,1993,3,F1-C0,current,-9.016393442622956,-13.93442622950819,-4.897540983606659
HK,1994,3,F1-C0,current,-24.69696969696969,-49.69696969696969,0.30303030303031164
HK,1995,3,F1-C0,current,0.0,0.0,0.0
HK,fixed_three_mean,3,F1-C0,current,-11.237787713197548,-19.945355191256827,-2.4590163934426243
HK,1993,3,F1-C0,HM,-0.19911280886336158,-4.8942796505673,5.367545001495145
HK,1994,3,F1-C0,HM,-8.205790927445605,-23.886619088483346,6.318965254073929
HK,1995,3,F1-C0,HM,0.0680001788663418,-0.06993148791522188,0.20753407888903752
HK,fixed_three_mean,3,F1-C0,HM,-2.778967852480875,-8.28928682264291,2.506109377245537
HK,1993,3,F1-C0,tail,28.571428571428577,0.0,71.42857142857142
HK,1994,3,F1-C0,tail,-18.75,-50.0,6.25
HK,1995,3,F1-C0,tail,0.0,0.0,0.0
HK,fixed_three_mean,3,F1-C0,tail,3.2738095238095255,-10.416666666666666,19.047619047619047
HK,1993,4,F1-P,BA,-0.0059417706476523335,-0.24509803921567688,0.22727272727271988
HK,1994,4,F1-P,BA,0.078125,0.0,0.234375
HK,1995,4,F1-P,BA,0.0,0.0,0.0
HK,fixed_three_mean,4,F1-P,BA,0.024061076450782554,-0.056446821152704274,0.12705176767676582
HK,1993,4,F1-P,old,-0.007922360863545919,-0.32679738562090677,0.30303030303029743
HK,1994,4,F1-P,old,0.1041666666666714,0.0,0.3125
HK,1995,4,F1-P,old,0.0,0.0,0.0
HK,fixed_three_mean,4,F1-P,old,0.03208143526770849,-0.07526242820360096,0.1694023569023482
HK,1993,4,F1-P,current,0.0,0.0,0.0
HK,1994,4,F1-P,current,0.0,0.0,0.0
HK,1995,4,F1-P,current,0.0,0.0,0.0
HK,fixed_three_mean,4,F1-P,current,0.0,0.0,0.0
HK,1993,4,F1-P,HM,-0.004395218735524509,-0.17704983812270428,0.16561732611981128
HK,1994,4,F1-P,HM,0.023028452177364045,0.0,0.08888100537257984
HK,1995,4,F1-P,HM,0.0,0.0,0.0
HK,fixed_three_mean,4,F1-P,HM,0.006211077813946512,-0.046959574114010215,0.06456261950077621
HK,1993,4,F1-P,tail,0.0,0.0,0.0
HK,1994,4,F1-P,tail,0.0,0.0,0.0
HK,1995,4,F1-P,tail,0.0,0.0,0.0
HK,fixed_three_mean,4,F1-P,tail,0.0,0.0,0.0
HK,1993,4,F1-C0,BA,8.4444495552424,3.705335156787235,13.604739222145273
HK,1994,4,F1-C0,BA,1.8765342888818566,-5.1814923516524125,7.172619047619037
HK,1995,4,F1-C0,BA,13.43940548780489,11.832983993902435,14.967701981707318
HK,fixed_three_mean,4,F1-C0,BA,7.9201297773097155,5.16767674087566,10.498118312035947
HK,1993,4,F1-C0,old,13.170094099134246,6.90048623902729,19.92231017221609
HK,1994,4,F1-C0,old,2.5020457185091374,-6.908656468869879,9.563492063492049
HK,1995,4,F1-C0,old,20.358231707317067,19.326600609756092,21.488821138211378
HK,fixed_three_mean,4,F1-C0,old,12.010123841653483,8.428874903455844,15.503555431907257
HK,1993,4,F1-C0,current,-5.73248407643311,-8.28025477707007,-3.503184713375788
HK,1994,4,F1-C0,current,0.0,0.0,0.0
HK,1995,4,F1-C0,current,-7.317073170731703,-13.414634146341456,-2.439024390243901
HK,fixed_three_mean,4,F1-C0,current,-4.349852415721604,-6.488982963078039,-2.493397545440421
HK,1993,4,F1-C0,HM,5.8476724191994975,1.666171124652214,10.27890782567318
HK,1994,4,F1-C0,HM,0.5643885767264791,-1.5629163501681826,2.5231169146534747
HK,1995,4,F1-C0,HM,10.650142704625793,7.928245664869513,13.019445302634425
HK,fixed_three_mean,4,F1-C0,HM,5.687401233517257,3.9712209532552287,7.496073603457991
HK,1993,4,F1-C0,tail,21.42857142857143,7.142857142857139,42.857142857142854
HK,1994,4,F1-C0,tail,-6.25,-18.75,0.0
HK,1995,4,F1-C0,tail,50.0,50.0,50.0
HK,fixed_three_mean,4,F1-C0,tail,21.726190476190478,14.88095238095238,28.86904761904762
HK,1993,5,F1-P,BA,-0.18799459563790322,-0.43659525188186876,0.0
HK,1994,5,F1-P,BA,0.16393442622951682,0.0,0.49180327868853624
HK,1995,5,F1-P,BA,-0.06097560975608474,-0.306440548780493,0.12652439024390105
HK,fixed_three_mean,5,F1-P,BA,-0.02834525972149038,-0.16543103818596522,0.12972486164770203
HK,1993,5,F1-P,old,-0.23499324454738257,-0.5457440648523431,0.0
HK,1994,5,F1-P,old,0.0,0.0,0.0
HK,1995,5,F1-P,old,-0.07621951219510947,-0.3830506859756163,0.15815548780487632
HK,fixed_three_mean,5,F1-P,old,-0.10373758558083068,-0.23394632960607897,0.0015782828282815112
HK,1993,5,F1-P,current,0.0,0.0,0.0
HK,1994,5,F1-P,current,0.8196721311475414,0.0,2.4590163934426243
HK,1995,5,F1-P,current,0.0,0.0,0.0
HK,fixed_three_mean,5,F1-P,current,0.27322404371584713,0.0,0.8196721311475414
HK,1993,5,F1-P,HM,-0.10948659277583772,-0.25798715027828684,0.0
HK,1994,5,F1-P,HM,0.7782662159808638,0.0,2.5558402442943597
HK,1995,5,F1-P,HM,-0.04476097410339719,-0.2253528299040461,0.09305761783714778
HK,fixed_three_mean,5,F1-P,HM,0.20800621636720962,-0.10201093932754143,0.8235865553879615
HK,1993,5,F1-P,tail,0.0,0.0,0.0
HK,1994,5,F1-P,tail,0.0,0.0,0.0
HK,1995,5,F1-P,tail,0.0,0.0,0.0
HK,fixed_three_mean,5,F1-P,tail,0.0,0.0,0.0
HK,1993,5,F1-C0,BA,17.681794002590223,11.59351339747342,24.303875297140603
HK,1994,5,F1-C0,BA,8.615970819464415,-0.6466098463212119,18.98913261805668
HK,1995,5,F1-C0,BA,21.83345944320601,19.796211704517763,23.887399870373354
HK,fixed_three_mean,5,F1-C0,BA,16.04374142175355,11.730846118855036,20.291433277342325
HK,1993,5,F1-C0,old,28.352242503237775,21.796192368068255,35.4645073324026
HK,1994,5,F1-C0,old,15.483078278428884,3.967837881757472,27.857688725781326
HK,1995,5,F1-C0,old,26.6148868623642,24.435323022339727,28.860894612472112
HK,fixed_three_mean,5,F1-C0,old,23.483402548010286,18.701414404603685,28.344235765786713
HK,1993,5,F1-C0,current,-25.0,-43.75,-6.25
HK,1994,5,F1-C0,current,-18.852459016393443,-24.59016393442623,-13.09426229508208
HK,1995,5,F1-C0,current,2.7077497665733006,0.0,7.796451914098981
HK,fixed_three_mean,5,F1-C0,current,-13.714903083273379,-19.99541836315583,-7.362282230742934
HK,1993,5,F1-C0,HM,9.194666922266379,-2.320955842786669,18.86203902737913
HK,1994,5,F1-C0,HM,-8.53062031944814,-15.842550483462052,-1.403676480408519
HK,1995,5,F1-C0,HM,19.012901333319007,16.96902266176346,21.210346122904635
HK,fixed_three_mean,5,F1-C0,HM,6.558982645379082,1.815637459224035,10.939215924956912
