dataset,seed,task,group,phase,n,real_norm_null,real_norm_median,real_norm_min,real_norm_max,weighted_FD_norm_null,weighted_FD_norm_median,weighted_FD_norm_min,weighted_FD_norm_max,weighted_ratio_null,weighted_ratio_median,weighted_ratio_min,weighted_ratio_max,cosine_null,cosine_median,cosine_min,cosine_max,total_norm_null,total_norm_median,total_norm_min,total_norm_max,total_real_cosine_null,total_real_cosine_median,total_real_cosine_min,total_real_cosine_max,FD_dominant_count,opposed_count,total_against_real_count,real_zero_count,FD_zero_count
HK,1993,4,main,epoch1,1,0,2.618129581406963,2.618129581406963,2.618129581406963,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,2.618129581406963,2.618129581406963,2.618129581406963,0,1.0,1.0,1.0,0,0,0,0,1
HK,1993,4,few,epoch1,1,0,4.111399816629857,4.111399816629857,4.111399816629857,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,4.111399816629857,4.111399816629857,4.111399816629857,0,1.0,1.0,1.0,0,0,0,0,1
HK,1993,4,main,epoch2to10,9,0,3.016033955045676e-06,1.642806678181307e-10,0.0024173973678379887,0,0.00890219978010539,0.00415946732207374,0.12173229472274019,0,2628.2338029664256,19.961991223311244,39509632.69894038,0,-0.13518717500926258,-0.398184982864115,0.2773059173252066,0,0.008839302585454359,0.004159431565080588,0.12211732584326955,0,-0.11631449669973534,-0.39804564248833396,0.2809164203126176,9,6,6,0,0
HK,1993,4,few,epoch2to10,9,0,9.342847743538456e-05,2.1748212923519173e-06,0.005511251146534037,0,0.022106891141746007,0.006731674124569663,0.15184352980257826,0,103.78679789609835,3.3322670946862027,4463.106543484219,0,-0.05952945578051807,-0.3197727761426964,0.2530341222467044,0,0.022237465937662907,0.0067152539228464226,0.15173225985464486,0,-0.059306186148503554,-0.3170981417525101,0.49634006049658047,9,6,6,0,0
HK,1993,5,main,epoch1,1,0,3.0004407092706336,3.0004407092706336,3.0004407092706336,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,3.0004407092706336,3.0004407092706336,3.0004407092706336,0,1.0,1.0,1.0,0,0,0,0,1
HK,1993,5,few,epoch1,1,0,4.615465896691216,4.615465896691216,4.615465896691216,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,4.615465896691216,4.615465896691216,4.615465896691216,0,1.0,1.0,1.0,0,0,0,0,1
HK,1993,5,main,epoch2to10,9,0,0.023502561608141005,0.0005588134462062653,2.9817613107170824,0,0.13586606043112137,0.04024005505236879,0.15355977459016953,0,6.33815278124496,0.013495397806570733,243.1331267232454,0,-0.4163204131148547,-0.5897828150738689,-0.24061029870892928,0,0.14488073321330971,0.13103250438509428,2.9582069116536283,0,-0.273517086934867,-0.4233626434420409,0.9999396614606787,6,9,5,0,0
HK,1993,5,few,epoch2to10,9,0,0.08068505853989417,0.01835662775739023,4.395017677591073,0,0.14088520438637775,0.03521647995607108,0.1569162391552484,0,1.9280637059710362,0.00801281872781303,7.674895751462765,0,-0.2813687887030143,-0.5565053687625465,-0.22515114463795172,0,0.1506548377010325,0.1374816258541093,4.375517348389365,0,0.2635518223744986,-0.12094896772452667,0.9999776412810248,6,9,2,0,0
HK,1993,6,main,epoch1,1,0,3.0931339667572475,3.0931339667572475,3.0931339667572475,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,3.0931339667572475,3.0931339667572475,3.0931339667572475,0,1.0,1.0,1.0,0,0,0,0,1
HK,1993,6,few,epoch1,1,0,4.81827696352985,4.81827696352985,4.81827696352985,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,4.81827696352985,4.81827696352985,4.81827696352985,0,1.0,1.0,1.0,0,0,0,0,1
HK,1993,6,main,epoch2to10,9,0,0.00632068052798455,0.0001910729674989297,0.10216931317933883,0,0.01503035630705726,0.00573191518411743,0.10809980598203922,0,1.5323512006767186,0.38278826284381484,96.5951931909693,0,0.03946154324928488,-0.36036165782981605,0.4093977174950111,0,0.02428198801037541,0.005655856346887647,0.10852946323170627,0,0.5011434623988275,-0.3203999891632664,0.9239093186955691,7,4,1,0,0
HK,1993,6,few,epoch2to10,9,0,0.022908280850025123,0.0017573548235801355,0.14553370456157771,0,0.023501392514626473,0.009458510606860985,0.14098588041577184,0,1.352661183327684,0.32960341185559977,17.914072286756582,0,-0.31816415767640926,-0.5726172105483159,0.4320350564713557,0,0.039479906001021296,0.007911869911598562,0.1385479981915901,0,0.7146478326395796,-0.2840874997885641,0.9441196432886161,5,6,2,0,0
HK,1993,7,main,epoch1,1,0,2.8361438562350774,2.8361438562350774,2.8361438562350774,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,2.8361438562350774,2.8361438562350774,2.8361438562350774,0,1.0,1.0,1.0,0,0,0,0,1
HK,1993,7,few,epoch1,1,0,5.2471063588210605,5.2471063588210605,5.2471063588210605,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,5.2471063588210605,5.2471063588210605,5.2471063588210605,0,1.0,1.0,1.0,0,0,0,0,1
HK,1993,7,main,epoch2to10,9,0,0.02072405119269196,0.0003167187724624797,0.1174798226008935,0,0.08035113453234635,0.04033345069877652,0.2862681645567853,0,4.8854546479357,1.0791715660520234,199.15914555370625,0,-0.1720908208168793,-0.2734634532956445,0.24638782749376262,0,0.09820363234748525,0.04373128124919022,0.28968785991985235,0,0.07678670602947356,-0.24549921329338084,0.597068785858729,9,7,4,0,0
HK,1993,7,few,epoch2to10,9,0,0.0333340765586615,0.002631320791971254,0.12757274561829518,0,0.1416570470875888,0.07770828416830072,0.49128049107677674,0,6.18492132866099,1.11040211920683,43.86692940972178,0,-0.20447385728962283,-0.3395855239616053,0.20692229283259525,0,0.17090409375335536,0.08153273290406787,0.4813081732202043,0,0.11677260162589437,-0.281096234895579,0.5828702517817,9,7,3,0,0
HK,1993,8,main,epoch1,1,0,4.196582885277158,4.196582885277158,4.196582885277158,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,4.196582885277158,4.196582885277158,4.196582885277158,0,1.0,1.0,1.0,0,0,0,0,1
HK,1993,8,few,epoch1,1,0,7.779472337904123,7.779472337904123,7.779472337904123,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,,,,0,7.779472337904123,7.779472337904123,7.779472337904123,0,1.0,1.0,1.0,0,0,0,0,1
HK,1993,8,main,epoch2to10,9,0,1.0916816462035933e-10,1.0676772798486437e-15,8.571546273851296e-05,0,0.03457431694351692,0.008366368769849232,0.3179047713892048,0,90378824.25273767,235.39131791079888,297753616555624.06,0,-0.369186542484856,-0.5377017458599471,-0.17924435949608325,0,0.034574316935611624,0.008366368690522699,0.3179047713892043,0,-0.369186541949944,-0.5376995481477008,-0.179244348787032,9,9,9,0,0
