original_label,official_class_name,legacy_id,n_train,n_val,n_train_components,n_val_components,frequency_group,coarse_validation_resolution
0,barretts,0,25,7,25,7,tail_rank8,False
1,bbps-0-1,2,403,113,403,113,middle_rank7,False
2,bbps-2-3,3,736,182,736,182,head_rank8,False
3,dyed-lifted-polyps,5,644,157,644,157,head_rank8,False
4,dyed-resection-margins,6,626,165,626,165,head_rank8,False
5,hemorroids,9,3,1,3,1,tail_rank8,True
6,ileum,10,6,1,6,1,tail_rank8,True
7,impacted-stool,11,83,21,83,21,tail_rank8,False
8,normal-cecum,4,654,153,654,153,head_rank8,False
9,normal-pylorus,13,635,164,635,164,head_rank8,False
10,normal-z-line,22,595,150,595,150,head_rank8,False
11,oesophagitis-a,7,261,61,261,61,middle_rank7,False
12,oesophagitis-b-d,8,167,41,167,41,middle_rank7,False
13,polyp,12,662,160,662,160,head_rank8,False
14,retroflex-rectum,14,252,60,252,60,middle_rank7,False
15,retroflex-stomach,15,488,123,488,123,head_rank8,False
16,short-segment-barretts,1,34,8,34,8,tail_rank8,False
17,ulcerative-colitis-grade-0-1,16,23,5,23,5,tail_rank8,False
18,ulcerative-colitis-grade-1,17,127,33,127,33,middle_rank7,False
19,ulcerative-colitis-grade-1-2,18,6,2,6,2,tail_rank8,True
20,ulcerative-colitis-grade-2,19,288,66,288,66,middle_rank7,False
21,ulcerative-colitis-grade-2-3,20,18,4,18,4,tail_rank8,False
22,ulcerative-colitis-grade-3,21,85,21,85,21,middle_rank7,False
