fold,original_label,official_class_name,n_fit,n_val,n_fit_groups,n_val_groups,coverage_pass
0,0,barretts,26,6,26,6,True
0,1,bbps-0-1,410,106,410,106,True
0,2,bbps-2-3,733,185,733,185,True
0,3,dyed-lifted-polyps,647,154,647,154,True
0,4,dyed-resection-margins,634,157,634,157,True
0,5,hemorroids,4,0,4,0,False
0,6,ileum,7,0,7,0,False
0,7,impacted-stool,88,16,88,16,True
0,8,normal-cecum,652,155,652,155,True
0,9,normal-pylorus,640,159,640,159,True
0,10,normal-z-line,599,146,599,146,True
0,11,oesophagitis-a,260,62,260,62,True
0,12,oesophagitis-b-d,168,40,168,40,True
0,13,polyp,656,166,656,166,True
0,14,retroflex-rectum,253,59,253,59,True
0,15,retroflex-stomach,487,124,487,124,True
0,16,short-segment-barretts,34,8,34,8,True
0,17,ulcerative-colitis-grade-0-1,24,4,24,4,True
0,18,ulcerative-colitis-grade-1,131,29,131,29,True
0,19,ulcerative-colitis-grade-1-2,8,0,8,0,False
0,20,ulcerative-colitis-grade-2,279,75,279,75,True
0,21,ulcerative-colitis-grade-2-3,19,3,19,3,True
0,22,ulcerative-colitis-grade-3,86,20,86,20,True
1,0,barretts,28,4,28,4,True
1,1,bbps-0-1,415,101,415,101,True
1,2,bbps-2-3,738,180,738,180,True
1,3,dyed-lifted-polyps,637,164,637,164,True
1,4,dyed-resection-margins,640,151,640,151,True
1,5,hemorroids,3,1,3,1,True
1,6,ileum,7,0,7,0,False
1,7,impacted-stool,81,23,81,23,True
1,8,normal-cecum,644,163,644,163,True
1,9,normal-pylorus,650,149,650,149,True
1,10,normal-z-line,598,147,598,147,True
1,11,oesophagitis-a,254,68,254,68,True
1,12,oesophagitis-b-d,165,43,165,43,True
1,13,polyp,658,164,658,164,True
1,14,retroflex-rectum,245,67,245,67,True
1,15,retroflex-stomach,480,131,480,131,True
1,16,short-segment-barretts,35,7,35,7,True
1,17,ulcerative-colitis-grade-0-1,22,6,22,6,True
1,18,ulcerative-colitis-grade-1,126,34,126,34,True
1,19,ulcerative-colitis-grade-1-2,6,2,6,2,True
1,20,ulcerative-colitis-grade-2,286,68,286,68,True
1,21,ulcerative-colitis-grade-2-3,17,5,17,5,True
1,22,ulcerative-colitis-grade-3,85,21,85,21,True
2,0,barretts,24,8,24,8,True
2,1,bbps-0-1,414,102,414,102,True
2,2,bbps-2-3,742,176,742,176,True
2,3,dyed-lifted-polyps,639,162,639,162,True
2,4,dyed-resection-margins,632,159,632,159,True
2,5,hemorroids,4,0,4,0,False
2,6,ileum,6,1,6,1,True
2,7,impacted-stool,84,20,84,20,True
2,8,normal-cecum,642,165,642,165,True
2,9,normal-pylorus,641,158,641,158,True
2,10,normal-z-line,594,151,594,151,True
2,11,oesophagitis-a,262,60,262,60,True
2,12,oesophagitis-b-d,161,47,161,47,True
2,13,polyp,659,163,659,163,True
2,14,retroflex-rectum,250,62,250,62,True
2,15,retroflex-stomach,496,115,496,115,True
2,16,short-segment-barretts,34,8,34,8,True
2,17,ulcerative-colitis-grade-0-1,21,7,21,7,True
2,18,ulcerative-colitis-grade-1,128,32,128,32,True
2,19,ulcerative-colitis-grade-1-2,6,2,6,2,True
2,20,ulcerative-colitis-grade-2,284,70,284,70,True
2,21,ulcerative-colitis-grade-2-3,18,4,18,4,True
2,22,ulcerative-colitis-grade-3,84,22,84,22,True
3,0,barretts,25,7,25,7,True
3,1,bbps-0-1,403,113,403,113,True
3,2,bbps-2-3,736,182,736,182,True
3,3,dyed-lifted-polyps,644,157,644,157,True
3,4,dyed-resection-margins,626,165,626,165,True
3,5,hemorroids,3,1,3,1,True
3,6,ileum,6,1,6,1,True
3,7,impacted-stool,83,21,83,21,True
3,8,normal-cecum,654,153,654,153,True
3,9,normal-pylorus,635,164,635,164,True
3,10,normal-z-line,595,150,595,150,True
3,11,oesophagitis-a,261,61,261,61,True
3,12,oesophagitis-b-d,167,41,167,41,True
3,13,polyp,662,160,662,160,True
3,14,retroflex-rectum,252,60,252,60,True
3,15,retroflex-stomach,488,123,488,123,True
3,16,short-segment-barretts,34,8,34,8,True
3,17,ulcerative-colitis-grade-0-1,23,5,23,5,True
3,18,ulcerative-colitis-grade-1,127,33,127,33,True
3,19,ulcerative-colitis-grade-1-2,6,2,6,2,True
3,20,ulcerative-colitis-grade-2,288,66,288,66,True
3,21,ulcerative-colitis-grade-2-3,18,4,18,4,True
3,22,ulcerative-colitis-grade-3,85,21,85,21,True
4,0,barretts,25,7,25,7,True
4,1,bbps-0-1,422,94,422,94,True
4,2,bbps-2-3,723,195,723,195,True
4,3,dyed-lifted-polyps,637,164,637,164,True
4,4,dyed-resection-margins,632,159,632,159,True
4,5,hemorroids,2,2,2,2,True
4,6,ileum,2,5,2,5,True
4,7,impacted-stool,80,24,80,24,True
4,8,normal-cecum,636,171,636,171,True
4,9,normal-pylorus,630,169,630,169,True
4,10,normal-z-line,594,151,594,151,True
4,11,oesophagitis-a,251,71,251,71,True
4,12,oesophagitis-b-d,171,37,171,37,True
4,13,polyp,653,169,653,169,True
4,14,retroflex-rectum,248,64,248,64,True
4,15,retroflex-stomach,493,118,493,118,True
4,16,short-segment-barretts,31,11,31,11,True
4,17,ulcerative-colitis-grade-0-1,22,6,22,6,True
4,18,ulcerative-colitis-grade-1,128,32,128,32,True
4,19,ulcerative-colitis-grade-1-2,6,2,6,2,True
4,20,ulcerative-colitis-grade-2,279,75,279,75,True
4,21,ulcerative-colitis-grade-2-3,16,6,16,6,True
4,22,ulcerative-colitis-grade-3,84,22,84,22,True
