seed,epoch,seconds,steps,lr_used,lr_next,gradients_finite_all_steps,future_head_CE_gradient_max_abs,frequency_gradient_rows,loss,train_accuracy,concm_gradient_batches
1993,1,42.102874881005846,85,"[0.00030000000000000003, 0.003]","[0.0002929031948627973, 0.0029268294918612546]",True,0.0,"[18, 23, 25, 34, 85, 127, 167, 261, 626, 644, 654, 662, 736]",17.530230104222017,81.09,0
1993,2,41.390868920017965,170,"[0.0002929031948627973, 0.0029268294918612546]","[0.0002723074641843674, 0.0027144804065905464]",True,0.0,"[18, 23, 25, 34, 85, 127, 167, 261, 626, 644, 654, 662, 736]",5.517503009824192,89.09,0
1993,3,41.572659543016925,255,"[0.0002723074641843674, 0.0027144804065905464]","[0.0002402288615824086, 0.0023837389521772475]",True,0.0,"[18, 23, 25, 34, 85, 127, 167, 261, 626, 644, 654, 662, 736]",2.274394203985439,91.36,0
1993,4,42.07786082700477,340,"[0.0002402288615824086, 0.0023837389521772475]","[0.00019980746418436736, 0.0019669804065905465]",True,0.0,"[18, 23, 25, 34, 85, 127, 167, 261, 626, 644, 654, 662, 736]",1.4641401953556958,93.06,0
1993,5,42.35213300300529,425,"[0.00019980746418436736, 0.0019669804065905465]","[0.00015499999999999997, 0.001505]",True,0.0,"[18, 23, 25, 34, 85, 127, 167, 261, 626, 644, 654, 662, 736]",1.0089102986980887,93.6,0
1993,6,41.731225546012865,510,"[0.00015499999999999997, 0.001505]","[0.00011019253581563262, 0.0010430195934094538]",True,0.0,"[18, 23, 25, 34, 85, 127, 167, 261, 626, 644, 654, 662, 736]",0.8849993233295048,95.86,0
1993,7,41.94169750699075,595,"[0.00011019253581563262, 0.0010430195934094538]","[6.97711384175914e-05, 0.000626261047822753]",True,0.0,"[18, 23, 25, 34, 85, 127, 167, 261, 626, 644, 654, 662, 736]",0.027971001769251682,97.1,0
1993,8,41.986251020018244,680,"[6.97711384175914e-05, 0.000626261047822753]","[3.769253581563263e-05, 0.0002955195934094538]",True,0.0,"[18, 23, 25, 34, 85, 127, 167, 261, 626, 644, 654, 662, 736]",0.016598887248512578,97.51,0
1993,9,41.78754221301642,765,"[3.769253581563263e-05, 0.0002955195934094538]","[1.7096805137202738e-05, 8.317050813874548e-05]",True,0.0,"[18, 23, 25, 34, 85, 127, 167, 261, 626, 644, 654, 662, 736]",0.00590653027243474,97.66,0
1993,10,41.84248967899475,850,"[1.7096805137202738e-05, 8.317050813874548e-05]","[1e-05, 1e-05]",True,0.0,"[18, 23, 25, 34, 85, 127, 167, 261, 626, 644, 654, 662, 736]",0.0011038123246501473,97.93,0
1994,1,31.62059920199681,64,"[0.00030000000000000003, 0.003]","[0.0002929031948627973, 0.0029268294918612546]",True,0.0,"[6, 18, 23, 25, 34, 85, 167, 261, 488, 626, 644, 662]",32.451604418922216,77.18,0
1994,2,31.52838218602119,128,"[0.0002929031948627973, 0.0029268294918612546]","[0.0002723074641843674, 0.0027144804065905464]",True,0.0,"[6, 18, 23, 25, 34, 85, 167, 261, 488, 626, 644, 662]",31.499454716220498,87.98,0
1994,3,31.033767492015613,192,"[0.0002723074641843674, 0.0027144804065905464]","[0.0002402288615824086, 0.0023837389521772475]",True,0.0,"[6, 18, 23, 25, 34, 85, 167, 261, 488, 626, 644, 662]",31.461890418082476,90.15,0
1994,4,31.172601684986148,256,"[0.0002402288615824086, 0.0023837389521772475]","[0.00019980746418436736, 0.0019669804065905465]",True,0.0,"[6, 18, 23, 25, 34, 85, 167, 261, 488, 626, 644, 662]",31.392206771299243,91.89,0
1994,5,31.250467832986033,320,"[0.00019980746418436736, 0.0019669804065905465]","[0.00015499999999999997, 0.001505]",True,0.0,"[6, 18, 23, 25, 34, 85, 167, 261, 488, 626, 644, 662]",31.338001873344183,94.02,0
1994,6,31.741230226994958,384,"[0.00015499999999999997, 0.001505]","[0.00011019253581563262, 0.0010430195934094538]",True,0.0,"[6, 18, 23, 25, 34, 85, 167, 261, 488, 626, 644, 662]",0.05617204178997781,96.22,0
1994,7,31.42767382101738,448,"[0.00011019253581563262, 0.0010430195934094538]","[6.97711384175914e-05, 0.000626261047822753]",True,0.0,"[6, 18, 23, 25, 34, 85, 167, 261, 488, 626, 644, 662]",0.032862433399714064,96.88,0
1994,8,31.090761648025364,512,"[6.97711384175914e-05, 0.000626261047822753]","[3.769253581563263e-05, 0.0002955195934094538]",True,0.0,"[6, 18, 23, 25, 34, 85, 167, 261, 488, 626, 644, 662]",0.023355429744697176,97.96,0
