comparison,stage,metric,lower_pp,upper_pp,resamples,seed,valid_draws,parents_resampled
S-J-CB minus A-CB,0,balanced_accuracy,-0.45295341597222033,4.626281683994147,2000,44001,2000,False
S-J-CB minus A-CB,0,current_macro_recall,-0.45295341597222033,4.626281683994147,2000,44001,2000,False
S-J-CB minus A-CB,0,base_macro_recall,-0.45295341597222033,4.626281683994147,2000,44001,2000,False
S-J-CB minus A-CB,0,tail_rank8_macro_recall,-5.952380952380952,6.3492063492063515,2000,44001,2000,False
S-J-CB minus A-CB,0,middle_rank7_macro_recall,0.5389636497493384,7.049373280990629,2000,44001,2000,False
S-J-CB minus A-CB,0,head_rank8_macro_recall,1.0659845723777768,2.9478584227673945,2000,44001,2000,False
S-J-CB minus A-CB,0,label_12_recall,0.0,6.504065040650407,2000,44001,2000,False
S-J-CB minus A-CB,0,label_17_recall,0.0,40.0,2000,44001,2000,False
S-J-CB minus A-CB,0,label_16_recall,0.0,0.0,2000,44001,2000,False
S-J-CB minus A-CB,0,label_22_recall,1.5873015873015863,22.222222222222218,2000,44001,2000,False
S-J-CB minus A-CB,0,label_13_recall,-0.4166666666666667,2.7083333333333335,2000,44001,2000,False
S-J-CB minus A-CB,1,balanced_accuracy,-0.21918567073345016,3.08225611274096,2000,44001,2000,False
S-J-CB minus A-CB,1,old_macro_recall,-0.31804164018222847,3.5235898833335852,2000,44001,2000,False
S-J-CB minus A-CB,1,current_macro_recall,-1.1117270263611694,1.7153239714215343,2000,44001,2000,False
S-J-CB minus A-CB,1,base_macro_recall,-0.31804164018222847,3.5235898833335852,2000,44001,2000,False
S-J-CB minus A-CB,1,post_base_macro_recall,-1.1117270263611694,1.7153239714215343,2000,44001,2000,False
S-J-CB minus A-CB,1,tail_rank8_macro_recall,-4.278911564625855,4.19047619047619,2000,44001,2000,False
S-J-CB minus A-CB,1,middle_rank7_macro_recall,0.3732192308261886,5.136177515525777,2000,44001,2000,False
S-J-CB minus A-CB,1,head_rank8_macro_recall,0.8066698205304372,2.34333278302622,2000,44001,2000,False
S-J-CB minus A-CB,1,HM_old_current_macro,-0.9105640612892841,3.445620645189799,2000,44001,2000,False
S-J-CB minus A-CB,1,label_12_recall,0.0,4.065040650406506,2000,44001,2000,False
S-J-CB minus A-CB,1,label_17_recall,0.0,26.666666666666668,2000,44001,2000,False
S-J-CB minus A-CB,1,label_16_recall,0.0,0.0,2000,44001,2000,False
S-J-CB minus A-CB,1,label_22_recall,0.0,12.698412698412696,2000,44001,2000,False
S-J-CB minus A-CB,1,label_13_recall,-0.4166666666666667,1.0416666666666667,2000,44001,2000,False
S-J-CB minus A-CB,1,label_9_recall,-1.0162601626016254,0.0,2000,44001,2000,False
S-J-CB minus A-CB,2,balanced_accuracy,-0.826414166984513,2.8798302096877904,2000,44001,2000,False
S-J-CB minus A-CB,2,old_macro_recall,-0.031167585283181864,3.292404659778861,2000,44001,2000,False
S-J-CB minus A-CB,2,current_macro_recall,-7.3551713679102235,1.0101010101010104,2000,44001,2000,False
S-J-CB minus A-CB,2,base_macro_recall,-0.12293943008719374,3.6142364597058934,2000,44001,2000,False
S-J-CB minus A-CB,2,post_base_macro_recall,-3.525036814806892,1.2849973244955397,2000,44001,2000,False
S-J-CB minus A-CB,2,tail_rank8_macro_recall,-6.0317460317460325,3.6111111111111107,2000,44001,2000,False
S-J-CB minus A-CB,2,middle_rank7_macro_recall,0.35045392617363746,5.142823125679983,2000,44001,2000,False
S-J-CB minus A-CB,2,head_rank8_macro_recall,0.8858110069714518,2.3727561343110675,2000,44001,2000,False
S-J-CB minus A-CB,2,HM_old_current_macro,-2.842963096684986,2.044137142236137,2000,44001,2000,False
S-J-CB minus A-CB,2,label_0_recall,-42.85714285714286,0.0,2000,44001,2000,False
S-J-CB minus A-CB,2,label_12_recall,-2.439024390243906,0.0,2000,44001,2000,False
S-J-CB minus A-CB,2,label_17_recall,0.0,26.666666666666668,2000,44001,2000,False
S-J-CB minus A-CB,2,label_3_recall,1.6985138004246256,6.794055201698517,2000,44001,2000,False
S-J-CB minus A-CB,2,label_16_recall,0.0,0.0,2000,44001,2000,False
S-J-CB minus A-CB,2,label_22_recall,0.0,14.285714285714286,2000,44001,2000,False
S-J-CB minus A-CB,2,label_13_recall,0.0,1.875,2000,44001,2000,False
S-J-CB minus A-CB,2,label_18_recall,-2.0202020202020208,10.101010101010102,2000,44001,2000,False
S-J-CB minus A-CB,2,label_9_recall,-1.0162601626016254,0.0,2000,44001,2000,False
S-J-CB minus A-CB,2,label_19_recall,0.0,0.0,2000,44001,2000,False
S-J-CB minus A-CB,2,label_15_recall,0.0,0.0,2000,44001,2000,False
S-J-CB minus A-CB,3,balanced_accuracy,-0.4739508854857176,2.9933775828876588,2000,44001,2000,False
S-J-CB minus A-CB,3,old_macro_recall,-0.6634390628079013,3.17743228759767,2000,44001,2000,False
S-J-CB minus A-CB,3,current_macro_recall,-0.22222222222221932,2.451586150200681,2000,44001,2000,False
S-J-CB minus A-CB,3,base_macro_recall,0.18106364420734175,4.057970143039135,2000,44001,2000,False
S-J-CB minus A-CB,3,post_base_macro_recall,-2.2351642609689257,1.0863252297863293,2000,44001,2000,False
S-J-CB minus A-CB,3,tail_rank8_macro_recall,-5.096371882086171,3.611111111111112,2000,44001,2000,False
S-J-CB minus A-CB,3,middle_rank7_macro_recall,0.9921643619557342,5.530131869662078,2000,44001,2000,False
S-J-CB minus A-CB,3,head_rank8_macro_recall,0.8675743750356305,2.298034604000378,2000,44001,2000,False
S-J-CB minus A-CB,3,HM_old_current_macro,-0.00028031580767979837,2.183648928813874,2000,44001,2000,False
