method,seed,original_label,first_stage,first_recall,final_recall,recall_change_final_minus_first,forgetting_first_minus_final,no_later_stage
A-CB,1993,0,0,71.42857142857143,71.42857142857143,0.0,0.0,False
A-CB,1993,4,0,87.27272727272727,87.27272727272727,0.0,0.0,False
A-CB,1993,12,0,82.92682926829268,82.92682926829268,0.0,0.0,False
A-CB,1993,8,0,98.69281045751634,97.38562091503267,-1.3071895424836697,1.3071895424836697,False
A-CB,1993,2,0,100.0,82.41758241758241,-17.58241758241759,17.58241758241759,False
A-CB,1993,11,0,57.377049180327866,22.950819672131146,-34.42622950819672,34.42622950819672,False
A-CB,1993,17,0,60.0,60.0,0.0,0.0,False
A-CB,1993,3,0,86.62420382165605,82.16560509554141,-4.458598726114644,4.458598726114644,False
A-CB,1993,21,0,25.0,0.0,-25.0,25.0,False
A-CB,1993,16,0,50.0,37.5,-12.5,12.5,False
A-CB,1993,22,0,76.19047619047619,76.19047619047619,0.0,0.0,False
A-CB,1993,13,0,95.0,94.375,-0.625,0.625,False
A-CB,1993,18,0,51.515151515151516,33.33333333333333,-18.181818181818187,18.181818181818187,False
A-CB,1993,14,1,98.33333333333333,90.0,-8.333333333333329,8.333333333333329,False
A-CB,1993,9,1,99.39024390243902,98.78048780487805,-0.6097560975609753,0.6097560975609753,False
A-CB,1993,19,2,0.0,0.0,0.0,0.0,False
A-CB,1993,15,2,99.1869918699187,99.1869918699187,0.0,0.0,False
A-CB,1993,6,3,0.0,0.0,0.0,0.0,False
A-CB,1993,5,3,0.0,0.0,0.0,0.0,False
A-CB,1993,20,4,21.21212121212121,16.666666666666664,-4.545454545454547,4.545454545454547,False
A-CB,1993,10,4,77.33333333333333,78.66666666666666,1.3333333333333286,-1.3333333333333286,False
A-CB,1993,7,5,100.0,100.0,,,True
A-CB,1993,1,5,94.69026548672566,94.69026548672566,,,True
A-CB,1994,22,0,76.19047619047619,76.19047619047619,0.0,0.0,False
A-CB,1994,16,0,50.0,37.5,-12.5,12.5,False
A-CB,1994,12,0,82.92682926829268,82.92682926829268,0.0,0.0,False
A-CB,1994,13,0,95.0,94.375,-0.625,0.625,False
A-CB,1994,21,0,25.0,0.0,-25.0,25.0,False
A-CB,1994,4,0,86.66666666666667,87.27272727272727,0.6060606060605949,-0.6060606060605949,False
A-CB,1994,19,0,0.0,0.0,0.0,0.0,False
A-CB,1994,17,0,80.0,60.0,-20.0,20.0,False
A-CB,1994,6,0,0.0,0.0,0.0,0.0,False
A-CB,1994,11,0,52.459016393442624,22.950819672131146,-29.508196721311478,29.508196721311478,False
A-CB,1994,3,0,86.62420382165605,82.16560509554141,-4.458598726114644,4.458598726114644,False
A-CB,1994,15,0,100.0,99.1869918699187,-0.8130081300813004,0.8130081300813004,False
A-CB,1994,0,0,71.42857142857143,71.42857142857143,0.0,0.0,False
A-CB,1994,9,1,98.78048780487805,98.78048780487805,0.0,0.0,False
A-CB,1994,5,1,100.0,0.0,-100.0,100.0,False
A-CB,1994,7,2,100.0,100.0,0.0,0.0,False
A-CB,1994,18,2,51.515151515151516,33.33333333333333,-18.181818181818187,18.181818181818187,False
A-CB,1994,1,3,99.11504424778761,94.69026548672566,-4.424778761061944,4.424778761061944,False
A-CB,1994,10,3,78.0,78.66666666666666,0.6666666666666572,-0.6666666666666572,False
A-CB,1994,14,4,93.33333333333333,90.0,-3.3333333333333286,3.3333333333333286,False
A-CB,1994,20,4,18.181818181818183,16.666666666666664,-1.5151515151515191,1.5151515151515191,False
A-CB,1994,8,5,97.38562091503267,97.38562091503267,,,True
A-CB,1994,2,5,82.41758241758241,82.41758241758241,,,True
A-CB,1995,9,0,98.17073170731707,98.78048780487805,0.6097560975609753,-0.6097560975609753,False
A-CB,1995,13,0,95.0,94.375,-0.625,0.625,False
A-CB,1995,16,0,100.0,37.5,-62.5,62.5,False
A-CB,1995,14,0,96.66666666666667,90.0,-6.666666666666671,6.666666666666671,False
A-CB,1995,15,0,99.1869918699187,99.1869918699187,0.0,0.0,False
A-CB,1995,5,0,0.0,0.0,0.0,0.0,False
A-CB,1995,12,0,82.92682926829268,82.92682926829268,0.0,0.0,False
A-CB,1995,1,0,100.0,94.69026548672566,-5.309734513274336,5.309734513274336,False
A-CB,1995,8,0,98.0392156862745,97.38562091503267,-0.6535947712418277,0.6535947712418277,False
A-CB,1995,22,0,90.47619047619048,76.19047619047619,-14.285714285714292,14.285714285714292,False
A-CB,1995,19,0,0.0,0.0,0.0,0.0,False
A-CB,1995,17,0,60.0,60.0,0.0,0.0,False
A-CB,1995,18,0,45.45454545454545,33.33333333333333,-12.121212121212125,12.121212121212125,False
A-CB,1995,6,1,0.0,0.0,0.0,0.0,False
A-CB,1995,20,1,37.878787878787875,16.666666666666664,-21.21212121212121,21.21212121212121,False
A-CB,1995,0,2,71.42857142857143,71.42857142857143,0.0,0.0,False
A-CB,1995,3,2,99.36305732484077,82.16560509554141,-17.19745222929936,17.19745222929936,False
A-CB,1995,11,3,50.81967213114754,22.950819672131146,-27.868852459016395,27.868852459016395,False
A-CB,1995,2,3,100.0,82.41758241758241,-17.58241758241759,17.58241758241759,False
A-CB,1995,21,4,0.0,0.0,0.0,0.0,False
A-CB,1995,4,4,86.66666666666667,87.27272727272727,0.6060606060605949,-0.6060606060605949,False
A-CB,1995,10,5,78.66666666666666,78.66666666666666,,,True
A-CB,1995,7,5,100.0,100.0,,,True
S-J-CB,1993,0,0,57.14285714285714,57.14285714285714,0.0,0.0,False
S-J-CB,1993,4,0,92.12121212121212,92.12121212121212,0.0,0.0,False
S-J-CB,1993,12,0,85.36585365853658,85.36585365853658,0.0,0.0,False
S-J-CB,1993,8,0,99.34640522875817,98.0392156862745,-1.3071895424836697,1.3071895424836697,False
S-J-CB,1993,2,0,100.0,85.16483516483517,-14.835164835164832,14.835164835164832,False
S-J-CB,1993,11,0,50.81967213114754,24.59016393442623,-26.229508196721312,26.229508196721312,False
S-J-CB,1993,17,0,80.0,60.0,-20.0,20.0,False
S-J-CB,1993,3,0,91.71974522292994,90.44585987261146,-1.27388535031848,1.27388535031848,False
S-J-CB,1993,21,0,25.0,25.0,0.0,0.0,False
S-J-CB,1993,16,0,50.0,37.5,-12.5,12.5,False
S-J-CB,1993,22,0,85.71428571428571,76.19047619047619,-9.523809523809518,9.523809523809518,False
S-J-CB,1993,13,0,95.625,95.625,0.0,0.0,False
S-J-CB,1993,18,0,57.57575757575758,45.45454545454545,-12.121212121212125,12.121212121212125,False
S-J-CB,1993,14,1,98.33333333333333,95.0,-3.3333333333333286,3.3333333333333286,False
S-J-CB,1993,9,1,99.39024390243902,98.78048780487805,-0.6097560975609753,0.6097560975609753,False
S-J-CB,1993,19,2,0.0,0.0,0.0,0.0,False
S-J-CB,1993,15,2,99.1869918699187,99.1869918699187,0.0,0.0,False
S-J-CB,1993,6,3,0.0,0.0,0.0,0.0,False
S-J-CB,1993,5,3,0.0,0.0,0.0,0.0,False
S-J-CB,1993,20,4,21.21212121212121,19.696969696969695,-1.5151515151515156,1.5151515151515156,False
S-J-CB,1993,10,4,76.66666666666667,78.0,1.3333333333333286,-1.3333333333333286,False
S-J-CB,1993,7,5,100.0,100.0,,,True
S-J-CB,1993,1,5,95.57522123893806,95.57522123893806,,,True
S-J-CB,1994,22,0,85.71428571428571,80.95238095238095,-4.761904761904759,4.761904761904759,False
S-J-CB,1994,16,0,50.0,37.5,-12.5,12.5,False
S-J-CB,1994,12,0,82.92682926829268,85.36585365853658,2.439024390243901,-2.439024390243901,False
S-J-CB,1994,13,0,96.875,95.625,-1.25,1.25,False
S-J-CB,1994,21,0,25.0,25.0,0.0,0.0,False
S-J-CB,1994,4,0,92.72727272727272,92.12121212121212,-0.6060606060605949,0.6060606060605949,False
S-J-CB,1994,19,0,0.0,0.0,0.0,0.0,False
S-J-CB,1994,17,0,100.0,100.0,0.0,0.0,False
S-J-CB,1994,6,0,0.0,0.0,0.0,0.0,False
S-J-CB,1994,11,0,57.377049180327866,26.229508196721312,-31.147540983606554,31.147540983606554,False
S-J-CB,1994,3,0,91.0828025477707,89.80891719745223,-1.2738853503184657,1.2738853503184657,False
S-J-CB,1994,15,0,100.0,99.1869918699187,-0.8130081300813004,0.8130081300813004,False
S-J-CB,1994,0,0,57.14285714285714,57.14285714285714,0.0,0.0,False
S-J-CB,1994,9,1,97.5609756097561,97.5609756097561,0.0,0.0,False
S-J-CB,1994,5,1,100.0,100.0,0.0,0.0,False
S-J-CB,1994,7,2,100.0,100.0,0.0,0.0,False
S-J-CB,1994,18,2,54.54545454545454,39.39393939393939,-15.151515151515149,15.151515151515149,False
S-J-CB,1994,1,3,100.0,93.80530973451327,-6.194690265486727,6.194690265486727,False
S-J-CB,1994,10,3,78.66666666666666,79.33333333333333,0.6666666666666714,-0.6666666666666714,False
S-J-CB,1994,14,4,95.0,96.66666666666667,1.6666666666666714,-1.6666666666666714,False
S-J-CB,1994,20,4,24.242424242424242,18.181818181818183,-6.060606060606059,6.060606060606059,False
S-J-CB,1994,8,5,99.34640522875817,99.34640522875817,,,True
S-J-CB,1994,2,5,83.51648351648352,83.51648351648352,,,True
S-J-CB,1995,9,0,98.78048780487805,98.78048780487805,0.0,0.0,False
S-J-CB,1995,13,0,95.625,95.0,-0.625,0.625,False
S-J-CB,1995,16,0,100.0,37.5,-62.5,62.5,False
S-J-CB,1995,14,0,98.33333333333333,96.66666666666667,-1.6666666666666572,1.6666666666666572,False
S-J-CB,1995,15,0,99.1869918699187,99.1869918699187,0.0,0.0,False
S-J-CB,1995,5,0,0.0,0.0,0.0,0.0,False
S-J-CB,1995,12,0,87.8048780487805,85.36585365853658,-2.4390243902439153,2.4390243902439153,False
S-J-CB,1995,1,0,100.0,95.57522123893806,-4.424778761061944,4.424778761061944,False
S-J-CB,1995,8,0,99.34640522875817,98.0392156862745,-1.3071895424836697,1.3071895424836697,False
S-J-CB,1995,22,0,100.0,76.19047619047619,-23.80952380952381,23.80952380952381,False
S-J-CB,1995,19,0,0.0,0.0,0.0,0.0,False
S-J-CB,1995,17,0,60.0,80.0,20.0,-20.0,False
S-J-CB,1995,18,0,42.42424242424242,39.39393939393939,-3.030303030303031,3.030303030303031,False
S-J-CB,1995,6,1,0.0,0.0,0.0,0.0,False
S-J-CB,1995,20,1,40.909090909090914,19.696969696969695,-21.212121212121218,21.212121212121218,False
S-J-CB,1995,0,2,57.14285714285714,57.14285714285714,0.0,0.0,False
S-J-CB,1995,3,2,98.08917197452229,84.07643312101911,-14.01273885350318,14.01273885350318,False
S-J-CB,1995,11,3,55.73770491803278,26.229508196721312,-29.50819672131147,29.50819672131147,False
S-J-CB,1995,2,3,100.0,83.51648351648352,-16.483516483516482,16.483516483516482,False
S-J-CB,1995,21,4,25.0,25.0,0.0,0.0,False
S-J-CB,1995,4,4,88.48484848484848,88.48484848484848,0.0,0.0,False
S-J-CB,1995,10,5,78.66666666666666,78.66666666666666,,,True
S-J-CB,1995,7,5,100.0,100.0,,,True
S-M-CB,1993,0,0,57.14285714285714,57.14285714285714,0.0,0.0,False
S-M-CB,1993,4,0,93.33333333333333,92.72727272727272,-0.6060606060606091,0.6060606060606091,False
S-M-CB,1993,12,0,85.36585365853658,87.8048780487805,2.4390243902439153,-2.4390243902439153,False
S-M-CB,1993,8,0,98.69281045751634,98.0392156862745,-0.653594771241842,0.653594771241842,False
S-M-CB,1993,2,0,100.0,85.71428571428571,-14.285714285714292,14.285714285714292,False
S-M-CB,1993,11,0,52.459016393442624,22.950819672131146,-29.508196721311478,29.508196721311478,False
S-M-CB,1993,17,0,80.0,80.0,0.0,0.0,False
S-M-CB,1993,3,0,92.99363057324841,91.0828025477707,-1.9108280254777128,1.9108280254777128,False
S-M-CB,1993,21,0,25.0,25.0,0.0,0.0,False
S-M-CB,1993,16,0,37.5,25.0,-12.5,12.5,False
S-M-CB,1993,22,0,85.71428571428571,76.19047619047619,-9.523809523809518,9.523809523809518,False
S-M-CB,1993,13,0,95.625,96.25,0.625,-0.625,False
S-M-CB,1993,18,0,54.54545454545454,36.36363636363637,-18.181818181818173,18.181818181818173,False
S-M-CB,1993,14,1,98.33333333333333,93.33333333333333,-5.0,5.0,False
S-M-CB,1993,9,1,99.39024390243902,98.78048780487805,-0.6097560975609753,0.6097560975609753,False
S-M-CB,1993,19,2,0.0,0.0,0.0,0.0,False
S-M-CB,1993,15,2,99.1869918699187,99.1869918699187,0.0,0.0,False
S-M-CB,1993,6,3,0.0,0.0,0.0,0.0,False
S-M-CB,1993,5,3,0.0,0.0,0.0,0.0,False
S-M-CB,1993,20,4,19.696969696969695,18.181818181818183,-1.515151515151512,1.515151515151512,False
S-M-CB,1993,10,4,78.0,78.0,0.0,0.0,False
S-M-CB,1993,7,5,100.0,100.0,,,True
S-M-CB,1993,1,5,96.46017699115043,96.46017699115043,,,True
S-M-CB,1994,22,0,76.19047619047619,76.19047619047619,0.0,0.0,False
S-M-CB,1994,16,0,50.0,37.5,-12.5,12.5,False
S-M-CB,1994,12,0,82.92682926829268,85.36585365853658,2.439024390243901,-2.439024390243901,False
S-M-CB,1994,13,0,96.25,96.25,0.0,0.0,False
S-M-CB,1994,21,0,25.0,25.0,0.0,0.0,False
S-M-CB,1994,4,0,94.54545454545455,92.72727272727272,-1.8181818181818272,1.8181818181818272,False
S-M-CB,1994,19,0,0.0,0.0,0.0,0.0,False
S-M-CB,1994,17,0,100.0,100.0,0.0,0.0,False
S-M-CB,1994,6,0,0.0,0.0,0.0,0.0,False
S-M-CB,1994,11,0,54.09836065573771,26.229508196721312,-27.868852459016395,27.868852459016395,False
S-M-CB,1994,3,0,93.63057324840764,93.63057324840764,0.0,0.0,False
S-M-CB,1994,15,0,100.0,99.1869918699187,-0.8130081300813004,0.8130081300813004,False
S-M-CB,1994,0,0,57.14285714285714,57.14285714285714,0.0,0.0,False
S-M-CB,1994,9,1,98.78048780487805,98.17073170731707,-0.6097560975609753,0.6097560975609753,False
S-M-CB,1994,5,1,100.0,100.0,0.0,0.0,False
S-M-CB,1994,7,2,100.0,100.0,0.0,0.0,False
S-M-CB,1994,18,2,51.515151515151516,39.39393939393939,-12.121212121212125,12.121212121212125,False
S-M-CB,1994,1,3,100.0,96.46017699115043,-3.5398230088495666,3.5398230088495666,False
S-M-CB,1994,10,3,75.33333333333333,76.66666666666667,1.3333333333333428,-1.3333333333333428,False
S-M-CB,1994,14,4,91.66666666666666,95.0,3.333333333333343,-3.333333333333343,False
S-M-CB,1994,20,4,22.727272727272727,18.181818181818183,-4.545454545454543,4.545454545454543,False
S-M-CB,1994,8,5,96.73202614379085,96.73202614379085,,,True
S-M-CB,1994,2,5,87.36263736263736,87.36263736263736,,,True
S-M-CB,1995,9,0,98.78048780487805,98.78048780487805,0.0,0.0,False
S-M-CB,1995,13,0,96.25,95.625,-0.625,0.625,False
S-M-CB,1995,16,0,100.0,37.5,-62.5,62.5,False
S-M-CB,1995,14,0,98.33333333333333,96.66666666666667,-1.6666666666666572,1.6666666666666572,False
S-M-CB,1995,15,0,99.1869918699187,99.1869918699187,0.0,0.0,False
S-M-CB,1995,5,0,0.0,0.0,0.0,0.0,False
