method,order_seed,session,dimension,trace_G,regularized_condition,solve_relative_residual,W_norm,G_sha256,R_sha256,W_sha256,finite,joint_cross_block_norm,sufficient_statistic_bytes,future_classes_in_statistics
A-U,1993,0,768,0.9999999991011449,633.3778401707476,8.88892301834455e-16,3.908239333388449,8e82a7d2f7e1725f9db11273216a64db94f78d576f3f866adf3505a9ef7c453a,8303befc2dc106c92fed547d4b6230b8e4c0fa72abfd1ce47204849b3662112f,5534af6b3ac06a047213bfeac5629000e267c27dde6c6bee7bda93e7151541d8,True,,4743168,False
A-CB,1993,0,768,1.00000000085436,601.1874493638529,1.067059143412687e-15,8.069094894787101,0408b152840449344beec7d4eb60f70d0aa2bf0c7ba617fbccce9c674749c108,9cf0f81df4b6a1edd691d69e054331272b08720ca0919b655f72959e77ecb89a,5020525a97206c0c6a2415b46a3005ec40d3e6d486b02ce204158e38f27ea20e,True,,4743168,False
A-U,1993,1,768,0.9999999989771029,631.6348378309018,1.2010546655087482e-15,4.004967738421744,32a12562baf912ca6a51a9e2ae4e4264d6f9de807fbee705b7380b936e888e69,bc907b5e0ba28ecd7bd6c5d7014422fe8cdf726c681681b3052e3ccc752b455c,aa7e0c5d089e3275ea3aefce4553db305b9dfc01cbed49f610424ebde57d1e3b,True,,4755456,False
A-CB,1993,1,768,0.9999999980237679,602.7124089528454,1.0439973136642758e-15,8.628391921858492,a807eeafd92873bf53433fee2562fb2f0562b52adb7f43b14fe616f1bb467b01,503e49d3af74876af0a039e44e89ea6186bafe67b5748c20d905ab709965f99b,a476ba6cc4be54ec1c99908c69ead9524b1500f090618daef607afe48c1f15a7,True,,4755456,False
A-U,1993,2,768,0.9999999993984807,610.5928108064029,1.0102593215898311e-15,5.343718185976913,393d4776cbc8092bef3e54fdd981c4a5b93aae18101dc74d4d4c64acae14988f,9b2ebc369ee8f9fa1333f9eeccd7db7a1513347e6f4a61ae398b13b6470593e4,d8240e659980876ea900b59fd8a65367626b16dd70198e4e0884e5f53ae4d001,True,,4767744,False
A-CB,1993,2,768,0.999999998571877,598.289444247702,1.1848109293023727e-15,7.995111492982893,04fbcc57990e7210a151e16127fd3be00e2f7f872dd69255dedb093af6733c2d,3ae6badfb913397f779d3f652a8ecd1272aa7208399177eb299ac766d91fd40c,87402a6d37f1cc8678cc3656691bf084089b537a7025938f5075501326a59431,True,,4767744,False
A-U,1994,0,768,0.999999998886661,596.1997831933218,1.0825000665223632e-15,6.312773171117772,8ab553724a9079c1a2ef2b657fb616ab3dbbde336c8707b646722b5d5629e58d,a87ecd7b5a15cb51c99386f0b140e9d61040edd15ddb575e2e0cf7c093622cbe,fa3b721faec35f1baf5d98d6298207b544a8fee18bc59fe5c81fc6ba2349eb26,True,,4743168,False
A-CB,1994,0,768,0.9999999997250982,602.4536820471715,1.2294492542821102e-15,8.548775265958366,3128e648335aaf33945dd1ac73e39db2e201aa7a30fdcadc8641bf93c519751c,fb21607e3126fcadc8d7870581e341e16daf5a1add8d3fb767582fe62af2a5dc,22100027fb88b278f7c041320e96f9bec4fa8cf3de32a8d768f723f7794e4e0c,True,,4743168,False
A-U,1994,1,768,0.999999999416194,616.6910862518386,8.169272874600489e-16,4.800916417980777,3a29c53b9a60ad3b648331b7f1ae22e466724c2d6dda2996713171dff108730a,414971c464939ac9b1203a7634575b4e2f6145644e851d9ed9b2fb524f448203,2a71b2220257b25e35000c7208363b42ddec00417d411f18f0b78691656bacd2,True,,4755456,False
A-CB,1994,1,768,0.9999999998203347,596.0620391978003,1.0118896169280416e-15,7.967748450961477,ff8f6ea7b850d6aa7eaa8087e630478d6faf6c1db23639f9d9c93948d1503c76,094de375f862ed5c9dad4cd3b4244dea678155405cff6323d2e7fbd3f780ce5b,3e8e8a0455d433da0e53fdede616d575dbbffd9eb4475d4fac422c001e3edfdd,True,,4755456,False
A-U,1994,2,768,0.9999999993984807,610.5928108064027,1.1344485458086812e-15,5.343718185976913,5a5838910a5e926449d649f36a57c75665e8e2f46f06e734e3a55519586ccb0a,6577290c0f501da5a1104eb4cacd6542143aa946b3ba3d84212bdf3193e47fee,39e0f0d6a4cb101f96ba3eb736ed52470e178ecc5879498a12c0d6234088e20c,True,,4767744,False
A-CB,1994,2,768,0.999999998571877,598.2894442477017,1.1303018591263177e-15,7.995111492982892,9d34961bbab96ab56867ba0f28886c8715076f42df20673f57b2f321ef325149,05a689ad98c680ca8b9c8a057f826ec0208583823f5cffc79970655a5725f003,7c8c63196dcf9e6dc239b02fa55912e825dbd208983005580a71078a25900716,True,,4767744,False
