method,metric,mean,std_ddof1,minimum,maximum,n_parent_models,n_unique_final_fits,interpretation
A-U,balanced_accuracy,26.992642345903217,,26.992642345903214,26.992642345903217,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-U,tail_rank2,0.0,,0.0,0.0,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-U,old_macro_recall,21.693284193284196,,16.28787878787879,24.395986895986898,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-U,current_macro_recall,42.89071680376028,,34.78260869565217,59.106933019976495,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-U,label_6_recall,0.0,,0.0,0.0,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-U,label_7_recall,0.0,,0.0,0.0,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-U,base_macro_recall,20.341932841932845,,0.0,36.59398034398035,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-U,post_base_macro_recall,33.64335184987359,,17.391304347826086,53.985284691806434,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-U,tail_base_macro_recall,0.0,,0.0,0.0,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-U,tail_post_base_macro_recall,0.0,,0.0,0.0,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-U,accuracy,31.52542372881356,,31.52542372881356,31.52542372881356,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-U,macro_f1,17.216238865042,,17.216238865042,17.216238865042,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-U,head_rank2,73.1879606879607,,73.1879606879607,73.1879606879607,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-U,mid_rank4,17.391304347826086,,17.391304347826086,17.391304347826086,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-U,HM_old_current_macro,27.631292557264157,,25.538270803199808,28.67780343429633,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-U,worst_class_recall,0.0,,0.0,0.0,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-U,AvgBA_all,29.449523815244916,,25.630338776547678,32.15482057541973,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-U,AvgBA_inc,26.08375616892319,,23.475995969699575,27.387636268534997,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-CB,balanced_accuracy,55.497263593432734,,55.497263593432734,55.497263593432734,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-CB,tail_rank2,71.15384615384616,,71.15384615384616,71.15384615384616,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-CB,old_macro_recall,55.99113888748035,,51.365359261700725,58.41664131298278,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-CB,current_macro_recall,54.015637711289884,,46.73913043478261,67.89297658862876,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-CB,label_6_recall,92.3076923076923,,92.3076923076923,92.3076923076923,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-CB,label_7_recall,50.0,,50.0,50.0,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-CB,base_macro_recall,53.88311740445888,,45.46020105471325,62.78976091476092,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-CB,post_base_macro_recall,57.111409782406604,,48.20476627210456,65.53432613215222,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-CB,tail_base_macro_recall,64.1025641025641,,50.0,92.3076923076923,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-CB,tail_post_base_macro_recall,78.2051282051282,,50.0,92.3076923076923,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-CB,accuracy,54.23728813559322,,54.23728813559322,54.23728813559322,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-CB,macro_f1,55.55991004063034,,55.55991004063034,55.55991004063034,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-CB,head_rank2,63.17567567567568,,63.17567567567568,63.17567567567568,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-CB,mid_rank4,43.82976627210456,,43.82976627210456,43.82976627210456,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-CB,HM_old_current_macro,54.22222286459013,,51.929494168681885,58.483914083755316,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-CB,worst_class_recall,32.5,,32.5,32.5,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-CB,AvgBA_all,61.70269659146029,,56.53404355187229,65.87631200999441,0,1,one deterministic final fit; partition/stage averages use fixed orders
A-CB,AvgBA_inc,58.0139503089861,,55.521374051165935,60.11436739415928,0,1,one deterministic final fit; partition/stage averages use fixed orders
S-J-U,balanced_accuracy,28.15248548944201,0.9878061243352856,27.046389274650142,28.94672711248798,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-U,tail_rank2,0.0,0.0,0.0,0.0,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-U,old_macro_recall,23.027573027573027,4.856752795498208,17.613636363636363,27.00143325143325,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-U,current_macro_recall,43.52722287504897,15.146116051302467,34.78260869565217,61.016451233842545,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-U,label_6_recall,0.0,0.0,0.0,0.0,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-U,label_7_recall,0.0,0.0,0.0,0.0,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-U,base_macro_recall,22.307534807534807,20.56193370638339,0.0,40.502149877149876,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-U,post_base_macro_recall,33.997436171349214,18.597862642255897,17.391304347826086,54.092778549300284,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-U,tail_base_macro_recall,0.0,0.0,0.0,0.0,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-U,tail_post_base_macro_recall,0.0,0.0,0.0,0.0,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-U,accuracy,32.76836158192091,1.089678052089598,31.52542372881356,33.559322033898304,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-U,macro_f1,18.909337208205994,1.4807067511484628,17.243277595515703,20.075047804676366,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-U,head_rank2,72.57371007371007,2.6927376599399175,69.56388206388206,74.75429975429975,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-U,mid_rank4,20.018115942028988,2.4165437630351643,17.391304347826086,22.146739130434785,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-U,HM_old_current_macro,28.821810637763964,1.535132231269325,27.336141089760467,30.402034486857602,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-U,worst_class_recall,0.0,0.0,0.0,0.0,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-U,AvgBA_all,31.978105551806504,2.498779730625815,29.550782737089737,34.542684464808005,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-U,AvgBA_inc,27.987146442210065,1.6862039619074554,26.26977166661021,29.640347336032647,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-CB,balanced_accuracy,59.705524672385756,3.0450648043738258,56.20296616054834,61.724166166106784,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-CB,tail_rank2,72.64957264957265,3.112991941096895,69.23076923076923,75.32051282051282,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-CB,old_macro_recall,60.5988510256803,5.685098577595846,54.034278180619644,63.89268553902701,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-CB,current_macro_recall,57.025545612502135,5.044355141056323,53.07971014492754,62.709030100334445,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-CB,label_6_recall,89.74358974358974,2.220577958421642,88.46153846153845,92.3076923076923,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-CB,label_7_recall,55.555555555555564,4.811252243246883,50.0,58.333333333333336,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-CB,base_macro_recall,59.763847080920264,10.643914273289765,48.11222808174028,68.97680022680024,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-CB,post_base_macro_recall,59.64720226385126,5.619033281785516,53.40208315420405,64.29370423935642,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-CB,tail_base_macro_recall,66.88034188034187,22.41146410718339,50.0,92.3076923076923,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-CB,tail_post_base_macro_recall,78.41880341880342,17.394527340969486,58.333333333333336,88.46153846153845,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-CB,accuracy,58.644067796610166,3.269034156268797,54.91525423728814,61.016949152542374,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-CB,macro_f1,60.34756158011351,3.2797266654216872,56.583045410411415,62.58747942775127,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-CB,head_rank2,66.87141687141688,1.0307398629162026,65.87837837837839,67.93611793611794,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-CB,mid_rank4,49.650554584276755,4.220090309985257,44.851358516522886,52.78155541543665,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-CB,HM_old_current_macro,58.43516580673392,0.7234275951294991,57.986419940576916,59.269717276062345,3,3,"three existing fixed S0/order pairs, not independent splits"
S-J-CB,worst_class_recall,42.92401096748923,6.926485033159276,35.0,47.82608695652174,3,3,"three existing fixed S0/order pairs, not independent splits"
