contrast,order_seed,session,metric,difference_pp,std_across_fixed_pairs
S-J-CB minus A-CB,1993,0,balanced_accuracy,7.162786400591287,
S-J-CB minus A-CB,1994,0,balanced_accuracy,0.625,
S-J-CB minus A-CB,1995,0,balanced_accuracy,1.193181818181813,
S-J-CB minus A-CB,fixed_pair_mean,0,balanced_accuracy,2.9936560729243666,3.6217321010025243
S-J-CB minus A-CB,1993,0,tail_rank2,4.166666666666664,
S-J-CB minus A-CB,1994,0,tail_rank2,0.0,
S-J-CB minus A-CB,1995,0,tail_rank2,0.0,
S-J-CB minus A-CB,fixed_pair_mean,0,tail_rank2,1.3888888888888882,2.405626121623439
S-J-CB minus A-CB,1993,0,old_macro_recall,,
S-J-CB minus A-CB,1994,0,old_macro_recall,,
S-J-CB minus A-CB,1995,0,old_macro_recall,,
S-J-CB minus A-CB,fixed_pair_mean,0,old_macro_recall,,
S-J-CB minus A-CB,1993,0,current_macro_recall,7.162786400591287,
S-J-CB minus A-CB,1994,0,current_macro_recall,0.625,
S-J-CB minus A-CB,1995,0,current_macro_recall,1.193181818181813,
S-J-CB minus A-CB,fixed_pair_mean,0,current_macro_recall,2.9936560729243666,3.6217321010025243
S-J-CB minus A-CB,1993,0,label_6_recall,,
S-J-CB minus A-CB,1994,0,label_6_recall,,
S-J-CB minus A-CB,1995,0,label_6_recall,0.0,
S-J-CB minus A-CB,fixed_pair_mean,0,label_6_recall,,
S-J-CB minus A-CB,1993,0,label_7_recall,4.166666666666664,
S-J-CB minus A-CB,1994,0,label_7_recall,0.0,
S-J-CB minus A-CB,1995,0,label_7_recall,,
S-J-CB minus A-CB,fixed_pair_mean,0,label_7_recall,,
S-J-CB minus A-CB,1993,0,base_macro_recall,7.162786400591287,
S-J-CB minus A-CB,1994,0,base_macro_recall,0.625,
S-J-CB minus A-CB,1995,0,base_macro_recall,1.193181818181813,
S-J-CB minus A-CB,fixed_pair_mean,0,base_macro_recall,2.9936560729243666,3.6217321010025243
S-J-CB minus A-CB,1993,0,post_base_macro_recall,,
S-J-CB minus A-CB,1994,0,post_base_macro_recall,,
S-J-CB minus A-CB,1995,0,post_base_macro_recall,,
S-J-CB minus A-CB,fixed_pair_mean,0,post_base_macro_recall,,
S-J-CB minus A-CB,1993,0,tail_base_macro_recall,4.166666666666664,
S-J-CB minus A-CB,1994,0,tail_base_macro_recall,0.0,
S-J-CB minus A-CB,1995,0,tail_base_macro_recall,0.0,
S-J-CB minus A-CB,fixed_pair_mean,0,tail_base_macro_recall,1.3888888888888882,2.405626121623439
S-J-CB minus A-CB,1993,0,tail_post_base_macro_recall,,
S-J-CB minus A-CB,1994,0,tail_post_base_macro_recall,,
S-J-CB minus A-CB,1995,0,tail_post_base_macro_recall,,
S-J-CB minus A-CB,fixed_pair_mean,0,tail_post_base_macro_recall,,
S-J-CB minus A-CB,1993,1,balanced_accuracy,2.88485547631889,
S-J-CB minus A-CB,1994,1,balanced_accuracy,3.823976415439823,
S-J-CB minus A-CB,1995,1,balanced_accuracy,4.686657278120698,
S-J-CB minus A-CB,fixed_pair_mean,1,balanced_accuracy,3.7984963899598037,0.9011711030752747
S-J-CB minus A-CB,1993,1,tail_rank2,0.0,
S-J-CB minus A-CB,1994,1,tail_rank2,4.166666666666664,
S-J-CB minus A-CB,1995,1,tail_rank2,0.0,
S-J-CB minus A-CB,fixed_pair_mean,1,tail_rank2,1.3888888888888882,2.405626121623439
S-J-CB minus A-CB,1993,1,old_macro_recall,3.651607538802658,
S-J-CB minus A-CB,1994,1,old_macro_recall,2.3575862447813662,
S-J-CB minus A-CB,1995,1,old_macro_recall,6.964066339066335,
S-J-CB minus A-CB,fixed_pair_mean,1,old_macro_recall,4.324420040883453,2.3757992785540782
S-J-CB minus A-CB,1993,1,current_macro_recall,1.3513513513513544,
S-J-CB minus A-CB,1994,1,current_macro_recall,6.756756756756758,
S-J-CB minus A-CB,1995,1,current_macro_recall,0.1318391562294039,
S-J-CB minus A-CB,fixed_pair_mean,1,current_macro_recall,2.7466490881125054,3.525978606586031
S-J-CB minus A-CB,1993,1,label_6_recall,0.0,
S-J-CB minus A-CB,1994,1,label_6_recall,,
S-J-CB minus A-CB,1995,1,label_6_recall,0.0,
S-J-CB minus A-CB,fixed_pair_mean,1,label_6_recall,,
S-J-CB minus A-CB,1993,1,label_7_recall,0.0,
S-J-CB minus A-CB,1994,1,label_7_recall,4.166666666666664,
S-J-CB minus A-CB,1995,1,label_7_recall,,
S-J-CB minus A-CB,fixed_pair_mean,1,label_7_recall,,
S-J-CB minus A-CB,1993,1,base_macro_recall,3.651607538802658,
S-J-CB minus A-CB,1994,1,base_macro_recall,2.3575862447813662,
S-J-CB minus A-CB,1995,1,base_macro_recall,6.964066339066335,
S-J-CB minus A-CB,fixed_pair_mean,1,base_macro_recall,4.324420040883453,2.3757992785540782
S-J-CB minus A-CB,1993,1,post_base_macro_recall,1.3513513513513544,
S-J-CB minus A-CB,1994,1,post_base_macro_recall,6.756756756756758,
S-J-CB minus A-CB,1995,1,post_base_macro_recall,0.1318391562294039,
S-J-CB minus A-CB,fixed_pair_mean,1,post_base_macro_recall,2.7466490881125054,3.525978606586031
S-J-CB minus A-CB,1993,1,tail_base_macro_recall,0.0,
S-J-CB minus A-CB,1994,1,tail_base_macro_recall,4.166666666666664,
S-J-CB minus A-CB,1995,1,tail_base_macro_recall,0.0,
S-J-CB minus A-CB,fixed_pair_mean,1,tail_base_macro_recall,1.3888888888888882,2.405626121623439
S-J-CB minus A-CB,1993,1,tail_post_base_macro_recall,0.0,
S-J-CB minus A-CB,1994,1,tail_post_base_macro_recall,,
S-J-CB minus A-CB,1995,1,tail_post_base_macro_recall,,
S-J-CB minus A-CB,fixed_pair_mean,1,tail_post_base_macro_recall,,
S-J-CB minus A-CB,1993,2,balanced_accuracy,6.2269025726740495,
S-J-CB minus A-CB,1994,2,balanced_accuracy,0.7057025671156083,
S-J-CB minus A-CB,1995,2,balanced_accuracy,5.692178097069409,
S-J-CB minus A-CB,fixed_pair_mean,2,balanced_accuracy,4.208261078953022,3.0450648043738258
S-J-CB minus A-CB,1993,2,tail_rank2,2.2435897435897374,
S-J-CB minus A-CB,1994,2,tail_rank2,-1.923076923076934,
S-J-CB minus A-CB,1995,2,tail_rank2,4.166666666666657,
S-J-CB minus A-CB,fixed_pair_mean,2,tail_rank2,1.4957264957264869,3.112991941096895
S-J-CB minus A-CB,1993,2,old_macro_recall,5.678173269636687,
S-J-CB minus A-CB,1994,2,old_macro_recall,2.6689189189189193,
S-J-CB minus A-CB,1995,2,old_macro_recall,5.47604422604423,
S-J-CB minus A-CB,fixed_pair_mean,2,old_macro_recall,4.607712138199946,1.6820830532151094
S-J-CB minus A-CB,1993,2,current_macro_recall,7.873090481786136,
S-J-CB minus A-CB,1994,2,current_macro_recall,-5.1839464882943105,
S-J-CB minus A-CB,1995,2,current_macro_recall,6.3405797101449295,
S-J-CB minus A-CB,fixed_pair_mean,2,current_macro_recall,3.0099079012122516,7.137337363024537
S-J-CB minus A-CB,1993,2,label_6_recall,-3.846153846153854,
S-J-CB minus A-CB,1994,2,label_6_recall,-3.846153846153854,
S-J-CB minus A-CB,1995,2,label_6_recall,0.0,
S-J-CB minus A-CB,fixed_pair_mean,2,label_6_recall,-2.564102564102569,2.220577958421642
S-J-CB minus A-CB,1993,2,label_7_recall,8.333333333333336,
S-J-CB minus A-CB,1994,2,label_7_recall,0.0,
S-J-CB minus A-CB,1995,2,label_7_recall,8.333333333333336,
S-J-CB minus A-CB,fixed_pair_mean,2,label_7_recall,5.555555555555557,4.811252243246883
S-J-CB minus A-CB,1993,2,base_macro_recall,8.80312269031782,
S-J-CB minus A-CB,1994,2,base_macro_recall,2.6520270270270245,
S-J-CB minus A-CB,1995,2,base_macro_recall,6.1870393120393175,
S-J-CB minus A-CB,fixed_pair_mean,2,base_macro_recall,5.880729676461388,3.086966740892202
S-J-CB minus A-CB,1993,2,post_base_macro_recall,3.650682455030278,
S-J-CB minus A-CB,1994,2,post_base_macro_recall,-1.2406218927958008,
S-J-CB minus A-CB,1995,2,post_base_macro_recall,5.197316882099493,
S-J-CB minus A-CB,fixed_pair_mean,2,post_base_macro_recall,2.535792481444657,3.36065449834201
S-J-CB minus A-CB,1993,2,tail_base_macro_recall,8.333333333333336,
S-J-CB minus A-CB,1994,2,tail_base_macro_recall,0.0,
S-J-CB minus A-CB,1995,2,tail_base_macro_recall,0.0,
S-J-CB minus A-CB,fixed_pair_mean,2,tail_base_macro_recall,2.7777777777777786,4.811252243246883
S-J-CB minus A-CB,1993,2,tail_post_base_macro_recall,-3.846153846153854,
S-J-CB minus A-CB,1994,2,tail_post_base_macro_recall,-3.846153846153854,
S-J-CB minus A-CB,1995,2,tail_post_base_macro_recall,8.333333333333336,
S-J-CB minus A-CB,fixed_pair_mean,2,tail_post_base_macro_recall,0.21367521367520936,7.031830201668525
S-J-CB minus S-J-U,1993,0,balanced_accuracy,38.91444937176645,
S-J-CB minus S-J-U,1994,0,balanced_accuracy,19.764474840694348,
S-J-CB minus S-J-U,1995,0,balanced_accuracy,37.66254016254017,
S-J-CB minus S-J-U,fixed_pair_mean,0,balanced_accuracy,32.11382145833365,10.71315035734055
S-J-CB minus S-J-U,1993,0,tail_rank2,54.166666666666664,
S-J-CB minus S-J-U,1994,0,tail_rank2,54.166666666666664,
S-J-CB minus S-J-U,1995,0,tail_rank2,96.15384615384616,
S-J-CB minus S-J-U,fixed_pair_mean,0,tail_rank2,68.16239316239317,24.241309379436213
S-J-CB minus S-J-U,1993,0,old_macro_recall,,
S-J-CB minus S-J-U,1994,0,old_macro_recall,,
S-J-CB minus S-J-U,1995,0,old_macro_recall,,
S-J-CB minus S-J-U,fixed_pair_mean,0,old_macro_recall,,
S-J-CB minus S-J-U,1993,0,current_macro_recall,38.91444937176645,
S-J-CB minus S-J-U,1994,0,current_macro_recall,19.764474840694348,
S-J-CB minus S-J-U,1995,0,current_macro_recall,37.66254016254017,
S-J-CB minus S-J-U,fixed_pair_mean,0,current_macro_recall,32.11382145833365,10.71315035734055
S-J-CB minus S-J-U,1993,0,label_6_recall,,
S-J-CB minus S-J-U,1994,0,label_6_recall,,
S-J-CB minus S-J-U,1995,0,label_6_recall,96.15384615384616,
S-J-CB minus S-J-U,fixed_pair_mean,0,label_6_recall,,
S-J-CB minus S-J-U,1993,0,label_7_recall,54.166666666666664,
S-J-CB minus S-J-U,1994,0,label_7_recall,54.166666666666664,
S-J-CB minus S-J-U,1995,0,label_7_recall,,
S-J-CB minus S-J-U,fixed_pair_mean,0,label_7_recall,,
S-J-CB minus S-J-U,1993,0,base_macro_recall,38.91444937176645,
S-J-CB minus S-J-U,1994,0,base_macro_recall,19.764474840694348,
S-J-CB minus S-J-U,1995,0,base_macro_recall,37.66254016254017,
S-J-CB minus S-J-U,fixed_pair_mean,0,base_macro_recall,32.11382145833365,10.71315035734055
S-J-CB minus S-J-U,1993,0,post_base_macro_recall,,
S-J-CB minus S-J-U,1994,0,post_base_macro_recall,,
S-J-CB minus S-J-U,1995,0,post_base_macro_recall,,
S-J-CB minus S-J-U,fixed_pair_mean,0,post_base_macro_recall,,
S-J-CB minus S-J-U,1993,0,tail_base_macro_recall,54.166666666666664,
S-J-CB minus S-J-U,1994,0,tail_base_macro_recall,54.166666666666664,
S-J-CB minus S-J-U,1995,0,tail_base_macro_recall,96.15384615384616,
S-J-CB minus S-J-U,fixed_pair_mean,0,tail_base_macro_recall,68.16239316239317,24.241309379436213
S-J-CB minus S-J-U,1993,0,tail_post_base_macro_recall,,
S-J-CB minus S-J-U,1994,0,tail_post_base_macro_recall,,
S-J-CB minus S-J-U,1995,0,tail_post_base_macro_recall,,
S-J-CB minus S-J-U,fixed_pair_mean,0,tail_post_base_macro_recall,,
S-J-CB minus S-J-U,1993,1,balanced_accuracy,43.541123419172195,
S-J-CB minus S-J-U,1994,1,balanced_accuracy,30.31320955101442,
