metric,contrast,train_seed,value,mean,std_ddof1
Final_BA,M3-M0,1993,7.407229524772504,,
Final_BA,M3-M0,1994,15.031850353892821,,
Final_BA,M3-M0,1995,18.809150657229527,,
Final_BA,M3-M0,paired_summary,,13.749410178631615,5.808135757713958
Final_BA,M1-M0,1993,-1.2253538928210332,,
Final_BA,M1-M0,1994,-0.06104651162790731,,
Final_BA,M1-M0,1995,0.45639534883720856,,
Final_BA,M1-M0,paired_summary,,-0.2766683518705773,0.8613592232319478
Final_BA,M2-M0,1993,7.282229524772504,,
Final_BA,M2-M0,1994,15.052199191102126,,
Final_BA,M2-M0,1995,18.809150657229527,,
Final_BA,M2-M0,paired_summary,,13.714526457701387,5.878733193021599
Final_BA,M3-M2,1993,0.125,,
Final_BA,M3-M2,1994,-0.020348837209304804,,
Final_BA,M3-M2,1995,0.0,,
Final_BA,M3-M2,paired_summary,,0.03488372093023173,0.07870340913186648
Final_BA,M3-M1,1993,8.632583417593537,,
Final_BA,M3-M1,1994,15.092896865520729,,
Final_BA,M3-M1,1995,18.352755308392318,,
Final_BA,M3-M1,paired_summary,,14.026078530502195,4.947121528385721
Final_BA,interaction,1993,1.3503538928210332,,
Final_BA,interaction,1994,0.0406976744186025,,
Final_BA,interaction,1995,-0.45639534883720856,,
Final_BA,interaction,paired_summary,,0.31155207280080904,0.9333312833074858
Average_BA,M3-M0,1993,3.8514492753623273,,
Average_BA,M3-M0,1994,4.342433434445567,,
Average_BA,M3-M0,1995,6.8089821368385515,,
Average_BA,M3-M0,paired_summary,,5.000954948882149,1.5849252649288617
Average_BA,M1-M0,1993,-0.07742107628356365,,
Average_BA,M1-M0,1994,1.1371053814178111,,
Average_BA,M1-M0,1995,-0.13395966745309806,,
Average_BA,M1-M0,paired_summary,,0.3085748792270498,0.7180851257812094
Average_BA,M2-M0,1993,2.252991236939671,,
Average_BA,M2-M0,1994,4.353429389956183,,
Average_BA,M2-M0,1995,6.864537692394109,,
Average_BA,M2-M0,paired_summary,,4.490319439763321,2.3088188196577373
Average_BA,M3-M2,1993,1.598458038422656,,
Average_BA,M3-M2,1994,-0.010995955510615829,,
Average_BA,M3-M2,1995,-0.055555555555557135,,
Average_BA,M3-M2,paired_summary,,0.5106355091188277,0.9423453618152822
Average_BA,M3-M1,1993,3.928870351645891,,
Average_BA,M3-M1,1994,3.205328053027756,,
Average_BA,M3-M1,1995,6.9429418042916495,,
Average_BA,M3-M1,paired_summary,,4.692380069655099,1.9823343450412478
Average_BA,interaction,1993,1.6758791147062198,,
Average_BA,interaction,1994,-1.148101336928427,,
Average_BA,interaction,1995,0.07840411189754093,,
Average_BA,interaction,paired_summary,,0.2020606298917779,1.4160454083946248
tail_rank2,M3-M0,1993,49.0,,
tail_rank2,M3-M0,1994,18.5,,
tail_rank2,M3-M0,1995,25.0,,
tail_rank2,M3-M0,paired_summary,,30.833333333333332,16.064972248134552
tail_rank2,M1-M0,1993,0.0,,
tail_rank2,M1-M0,1994,1.5,,
tail_rank2,M1-M0,1995,-0.5000000000000018,,
tail_rank2,M1-M0,paired_summary,,0.33333333333333276,1.040832999733067
tail_rank2,M2-M0,1993,49.0,,
tail_rank2,M2-M0,1994,18.5,,
tail_rank2,M2-M0,1995,25.0,,
tail_rank2,M2-M0,paired_summary,,30.833333333333332,16.064972248134552
tail_rank2,M3-M2,1993,0.0,,
tail_rank2,M3-M2,1994,0.0,,
tail_rank2,M3-M2,1995,0.0,,
tail_rank2,M3-M2,paired_summary,,0.0,0.0
tail_rank2,M3-M1,1993,49.0,,
tail_rank2,M3-M1,1994,17.0,,
tail_rank2,M3-M1,1995,25.5,,
tail_rank2,M3-M1,paired_summary,,30.5,16.575584454250777
tail_rank2,interaction,1993,0.0,,
tail_rank2,interaction,1994,-1.5,,
tail_rank2,interaction,1995,0.5000000000000018,,
tail_rank2,interaction,paired_summary,,-0.33333333333333276,1.040832999733067
old_tail_rank2,M3-M0,1993,49.0,,
old_tail_rank2,M3-M0,1994,44.0,,
old_tail_rank2,M3-M0,1995,64.0,,
old_tail_rank2,M3-M0,paired_summary,,52.333333333333336,10.408329997330664
old_tail_rank2,M1-M0,1993,0.0,,
old_tail_rank2,M1-M0,1994,0.0,,
old_tail_rank2,M1-M0,1995,0.0,,
old_tail_rank2,M1-M0,paired_summary,,0.0,0.0
old_tail_rank2,M2-M0,1993,49.0,,
old_tail_rank2,M2-M0,1994,44.0,,
old_tail_rank2,M2-M0,1995,64.0,,
old_tail_rank2,M2-M0,paired_summary,,52.333333333333336,10.408329997330664
old_tail_rank2,M3-M2,1993,0.0,,
old_tail_rank2,M3-M2,1994,0.0,,
old_tail_rank2,M3-M2,1995,0.0,,
old_tail_rank2,M3-M2,paired_summary,,0.0,0.0
old_tail_rank2,M3-M1,1993,49.0,,
old_tail_rank2,M3-M1,1994,44.0,,
old_tail_rank2,M3-M1,1995,64.0,,
old_tail_rank2,M3-M1,paired_summary,,52.333333333333336,10.408329997330664
old_tail_rank2,interaction,1993,0.0,,
old_tail_rank2,interaction,1994,0.0,,
old_tail_rank2,interaction,1995,0.0,,
old_tail_rank2,interaction,paired_summary,,0.0,0.0
