eval_variant,metric,mean,std_ddof1,n_repeats
M0,Final_BA,25.844202898550723,8.481422556825153,3
M0,Average_BA,41.176525109538254,5.33008459298355,3
M0,Incremental_Average_BA,33.43870070778564,4.930392370884143,3
M0,tail_rank2,14.833333333333334,6.788470618138767,3
M0,old_tail_rank2,15.333333333333334,6.110100926607786,3
M0,Final_Lesion_BA,26.49036671517636,8.707910100271329,3
M0,forgetting_mean,29.455173576002696,13.664552335660492,3
M0,tail_forgetting_mean,18.333333333333332,19.604421270043485,3
M1,Final_BA,25.567534546680147,7.708330777642176,3
M1,Average_BA,41.485099988765306,4.612169098751338,3
M1,Incremental_Average_BA,33.90156302662622,4.048129173910923,3
M1,tail_rank2,15.166666666666666,6.171169527191205,3
M1,old_tail_rank2,15.333333333333334,6.110100926607786,3
M1,Final_Lesion_BA,26.213992194128803,7.888536361471659,3
M1,forgetting_mean,31.295640939220316,10.92491694197499,3
M1,tail_forgetting_mean,22.0,12.767145334803704,3
M2,Final_BA,39.55872935625211,4.107516062372001,3
M2,Average_BA,45.66684454930157,5.956077725200431,3
M2,Incremental_Average_BA,40.17417986743063,4.616555231153906,3
M2,tail_rank2,45.666666666666664,22.744962812309307,3
M2,old_tail_rank2,67.66666666666667,12.342339054382412,3
M2,Final_Lesion_BA,39.93354546003326,3.6611052754969418,3
M2,forgetting_mean,14.025727446354344,1.558901038124058,3
M2,tail_forgetting_mean,0.0,0.0,3
M3,Final_BA,39.59361307718234,4.169131604934425,3
M3,Average_BA,46.1774800584204,6.107546277284073,3
M3,Incremental_Average_BA,40.940133131108865,5.171312605562389,3
M3,tail_rank2,45.666666666666664,22.744962812309307,3
M3,old_tail_rank2,67.66666666666667,12.342339054382412,3
M3,Final_Lesion_BA,39.969852938351046,3.7211112939619833,3
M3,forgetting_mean,14.247949668576565,1.2721452550361898,3
M3,tail_forgetting_mean,0.0,0.0,3
