method,mix_seed,order_seed,session,original_label,B0_top16_direction_second_moments,B0_top16_second_moment_sum,B0_complement_second_moment,R_top16,delta_R_top16,R_complement_norm,delta_R_complement_norm
R0,0,1993,0,4,"[0.021848818587467178, 0.003410759293930018, 0.0009134303567822052, 0.0004014711273536909, 0.0004570929028658193, 0.0005372108039835934, 0.0006357702632356044, 0.0005040530194571628, 0.00034051807667832406, 0.00021627913712685958, 0.00024272426529975893, 0.0001879918001798131, 0.00022530351976785196, 0.00019667419278595526, 0.00022220352063384734, 0.00024841073676227653]",0.03058871160430996,0.006586613081463598,"[-0.028425039879096402, -0.006797401608818027, 0.00025098428465689413, -0.0003312942461841824, -0.000735707491694007, -0.002779745276338431, 0.0011862115356010903, -0.0007358687614552821, 0.0012190371513437694, -0.0005724618168332497, 0.0005606071202656785, 0.0002932161323008167, -0.00038840191877829425, 0.00021177723273906352, 0.00038363063369842813, -0.00011496268804986066]","[0.16273025013753448, 0.03891438213607173, -0.0014368576296296476, 0.0018966233919103159, 0.004211845072536432, 0.015913738241396046, -0.006790931542240286, 0.0042127683243138704, -0.0069788546087846326, 0.0032772814055388264, -0.0032094145618703314, -0.0016786303469273874, 0.0022235585830495406, -0.0012124015376459051, -0.002196243496849953, 0.0006581488385736579]",0.0012666738840668252,0.007251569703107461
R0,0,1993,0,0,"[0.5253973692409453, 0.043699274781806054, 0.022572182038721456, 0.015420332306823487, 0.009274428184103515, 0.021856212770091577, 0.008659350597827796, 0.008374255930153132, 0.007963216309268807, 0.007944754791682733, 0.006367212993561778, 0.005007219189900997, 0.00480621782862303, 0.004186125678384964, 0.0037332846739477317, 0.0039828729146656645]",0.699244310230508,0.1553823123182554,"[-0.6680217505088468, 0.08940111131666402, -0.04566467956733301, -0.025886155442905293, -0.01716777612119758, 0.07814848022699625, -0.035485389862201816, 0.03302919764548733, -0.014066974968829762, 0.03440828103773092, 0.0007128184293230498, 0.012940693790681192, -0.007241663070511885, -0.020054105282810954, 0.003340299025411074, -0.0014836703535654353]","[-0.4726084167100779, 0.06324901492998676, -0.03230660063605879, -0.018313797311634707, -0.012145765440858599, 0.05528806431863381, -0.02510501178493131, 0.023367318193678023, -0.009952027404579077, 0.024342984656668003, 0.000504300928865776, 0.00915521208536268, -0.005123292640539758, -0.01418776999255946, 0.0023631766967696, -0.001049659080986692]",0.024744480989015938,0.017506091640913646
R0,0,1993,0,3,"[0.0618464308512301, 0.00532220373036139, 0.0032728659282057425, 0.0015986464958525652, 0.0017002972350854291, 0.0015835651304141507, 0.001577315808025735, 0.0011712292706181659, 0.0012220225190754791, 0.000970160385990427, 0.0010258515858181838, 0.0006985888345095638, 0.000499844835215498, 0.0005864302671936156, 0.0006313755348660766, 0.0005077223372652115]",0.08421455074972732,0.021791942664416628,"[-0.08067210464741494, -0.0013986534690190132, -0.0011902801367833626, 0.0006214528988959284, -0.005499469097733038, 0.0010653105896926579, 0.005265438313836676, -0.002674470288339154, -0.00055081581617978, 0.0023876336778714566, 0.0003770889359967735, 0.0004920896219076558, -0.0015491865694802398, 0.0014485307546581048, -0.0013943372388739593, 0.0006845425019311735]","[0.1095806383189236, 0.0018998554778252132, 0.0016168123756919442, -0.0008441481184084038, 0.007470182373184083, -0.0014470604794140677, -0.007152287571781205, 0.003632856272215672, 0.0007481985129425338, -0.0032432328824992204, -0.0005122172836587063, -0.0006684280162819152, 0.002104331526996893, -0.0019676060939996113, 0.0018939925434627823, -0.0009298456343230523]",0.00412766909907957,0.005606803201965662
R0,0,1993,0,7,"[0.0013474730162846614, 8.704083601333783e-05, 8.379895974178557e-05, 6.510342931899758e-05, 7.196096370895747e-05, 3.278556529178306e-05, 3.341768802889535e-05, 3.743868083701175e-05, 2.247712142330722e-05, 3.1667704685791436e-05, 2.0967123309785344e-05, 2.6157917090376148e-05, 2.6454860526926972e-05, 2.260907286151372e-05, 1.747212602611933e-05, 1.2812887353154072e-05]",0.0019396379525024043,0.000251920499961711,"[-0.001712389076274238, 0.00016318878528055058, 0.00012677510325219873, 9.541896759222458e-05, 0.00019398231970891178, -8.074767187982501e-05, -8.686821909116057e-05, 2.173586326376273e-05, -3.076899200095291e-05, -6.8097635021595e-05, -4.5421547648134474e-05, -7.221629429863908e-05, 6.351191428369894e-05, 1.3253594140902687e-05, -7.747545186246158e-07, -1.625250570695725e-05]","[0.19362680925426848, -0.018452420794871114, -0.014334977415887502, -0.010789411409594878, -0.021934371187826204, 0.009130468231448351, 0.009822543440196785, -0.0024577626127506445, 0.003479175280700354, 0.007700077026701081, 0.005135999443324234, 0.008165790610879405, -0.007181550900301222, -0.001498637885636148, 8.760464982818087e-05, 0.0018377370341978]",0.00011131372341759277,0.012586696207181879
R0,0,1993,1,4,"[0.021182967695539213, 0.0033855566492559494, 0.0008613346322830889, 0.00045136249029932026, 0.0005942316416423269, 0.00037777039731162873, 0.0006678836982893705, 0.00046936778088526205, 0.0002452153120069846, 0.00020227470996557158, 0.0002764754762048581, 0.00015973522547231333, 0.0002351718868326345, 0.00020677048394938648, 0.00022623918244703346, 0.00022544134932940023]",0.029767798611714344,0.0065238020324005636,"[0.027652105881730137, 0.007034179421901176, 0.0008280922511996625, -0.001191850448162266, 0.001011369183129114, 0.0015908010478250395, -0.0018298236891588749, 0.0007247794017010607, -0.00020898800059492598, -0.00011012992113544886, -0.000590781249083885, -0.0003254737069830022, 0.0001865314878919436, -0.0006495152821095902, 0.0004268048174290254, 0.0006689170422511245]","[-0.0993382784805095, -0.025269803221618772, -0.0029748641571481263, 0.004281640329060368, -0.003633273863118857, -0.005714842774428237, 0.0065735150871093296, -0.002603719888498138, 0.0007507749424574756, 0.00039563412716490574, 0.0021223407900131503, 0.0011692417886958457, -0.0006701014732420805, 0.002333338742716844, -0.0015332667968192613, -0.0024030382245644436]",0.001640152926751495,0.005892135987223711
R0,0,1993,1,0,"[0.5098239851880861, 0.0409332695196777, 0.020685797497801337, 0.011195128515010595, 0.011304195622678035, 0.0217227439938261, 0.01119557716650659, 0.010285945823504639, 0.008535815566072887, 0.005898449248106644, 0.006656144479083452, 0.004408839275152715, 0.00529258232322265, 0.004801139913304581, 0.003643857358424426, 0.0035991733539407953]",0.6799826448443992,0.15432797241398155,"[0.6501036079281326, -0.07624239602141719, -0.03912868553912506, -0.027380049287969742, 0.04345345100845252, -0.07845733825429678, 0.04235092115021742, -0.034797466069763215, 0.03293318822559555, -0.007363969141196902, 0.03739948137395715, 0.019084803806498615, 0.00968906233124095, -0.004814587448592881, 0.01802137421651305, -0.00586160097062983]","[0.5202351884509258, -0.06101177839723185, -0.03131211524907285, -0.021910453852914506, 0.03477294080288265, -0.06278425108601199, 0.03389065862266268, -0.02784612498323376, 0.026354265956829673, -0.005892900496471125, 0.029928346810064725, 0.015272314110769208, 0.007753519756443365, -0.0038527978895774337, 0.014421321305309124, -0.004690653994827326]",0.0349948022613364,0.028004040167151044
R0,0,1993,1,3,"[0.06004309442748279, 0.005225425778634936, 0.003325361769694329, 0.001786451444546604, 0.0014369262710271446, 0.0016425793341648207, 0.0016355949862221146, 0.001112682174934552, 0.0010640385044273653, 0.001006571800266134, 0.0009035008948199576, 0.0005825323205024133, 0.0006603836621058737, 0.0005366587544431264, 0.0005531203586513291, 0.0005217379575431897]",0.08203666043946668,0.021449868788921064,"[0.07853226513579516, 0.0030123245891363597, 0.0012397592970737044, -0.0076072639260163005, 0.00034438297265688305, -0.003476797972877828, -0.0017051054604197066, 5.8635860627084975e-05, -0.0019175714064200507, -0.0032369433378774664, 0.0024858944170115314, -0.00015925899093052761, -0.00044226406989069896, -0.0011298519727915965, -0.0010231272373106021, -0.00010846712717064822]","[-0.047945170547427814, -0.001839071061055172, -0.0007568923528842053, 0.004644353065602607, -0.00021025116656336515, 0.002122639293293459, 0.0010409934306595042, -3.579810582439643e-05, 0.00117070719861071, 0.0019762043042886395, -0.0015176772448932056, 9.72300934930652e-05, 0.00027000910035185224, 0.0006897922202443902, 0.0006246351076179054, 6.622086988059891e-05]",0.004907673377353867,0.0029962110052655566
R0,0,1993,1,7,"[0.0013141891960364214, 7.787613219728786e-05, 6.961566630431472e-05, 5.1239220546132716e-05, 4.2849039996434607e-05, 3.086345436288624e-05, 2.619889617820717e-05, 2.565961888698674e-05, 3.541758226560669e-05, 4.242863455959183e-05, 2.4407940930258644e-05, 2.9613095489837597e-05, 1.3367140657058072e-05, 2.0514764098580226e-05, 1.8978478289639207e-05, 1.5206536746382142e-05]",0.0018384253975456258,0.0003010357858424801,"[0.0016707908513198945, -0.00013504975868791546, 9.781034287027654e-05, 2.4822061217729515e-05, -7.63598424784308e-05, 5.617656640270201e-05, 4.558641536151037e-06, -6.755720633162586e-06, 0.00010858062683893111, 0.000230130830081405, -5.100115540171421e-06, 7.62433982892731e-05, 2.1042235590451173e-05, 3.162877925719799e-05, -7.155014627217917e-06, 4.7052438053961685e-05]","[-0.12848587917125448, 0.01038549317119784, -0.0075217361202339775, -0.0019088471521634196, 0.0058721661580017894, -0.004320047310153466, -0.00035056516208252595, 0.0005195232570860568, -0.00834998425407038, -0.017697344945395956, 0.0003922051814781194, -0.0058632114560972885, -0.0016181738949743265, -0.0024322921727541525, 0.0005502294581844517, -0.0036183905757793517]",0.0001364911966998961,0.010496341533872258
R0,0,1993,1,5,"[0.012159487428778988, 0.001118270564522367, 0.000733460233497551, 0.00031121954305507606, 0.00031688465347578805, 0.00023472741700758854, 0.00027920793201433405, 0.00028939103984181855, 0.00019033725150142407, 0.00015412663960835064, 0.00013133368099360916, 0.00010565246298657692, 0.00013519798132093455, 9.060726117723268e-05, 0.00013082068403270783, 0.00012688984217350653]",0.016507614615987855,0.0037776467624316273,"[0.015669337493729996, 0.0011048976610788734, 0.0010909966834554538, -0.001388833008605955, -0.0008529292415840148, 0.0006715363586567831, -0.000743913264989396, 0.0007820496229510051, -0.00031782647707283014, -0.00041941192302889514, -0.0003494319124534779, -0.0002738993568036905, -5.537476714639228e-05, 0.00022551525670949407, -0.0001341712459799513, -0.00037155287247569817]","[-0.11307222446647343, -0.007973102653254061, -0.007872791171497544, 0.010022021528247674, 0.006154861792784646, -0.004845904296452981, 0.00536818660751462, -0.005643384128117807, 0.002293482208252114, 0.0030265376008152805, 0.0025215516390848696, 0.0019764977023516346, 0.0003995923952152496, -0.0016273509800573108, 0.0009681992776313672, 0.0026811797125785445]",0.0009089240866899628,0.006558928760984078
R0,0,1993,1,6,"[0.0021673653328494686, 0.00015526275838652904, 7.657057612641472e-05, 0.0001650749123639768, 7.285266623082055e-05, 3.759610585913598e-05, 3.2269034242150746e-05, 3.183155559287875e-05, 4.069638235435917e-05, 4.326740221772098e-05, 2.6159439257826576e-05, 3.3857462195822384e-05, 2.8697172824699735e-05, 2.24263916081822e-05, 1.623111802879458e-05, 1.1451402772717735e-05]",0.0029616097129114985,0.0005249195715004958,"[0.0027410775075731556, -0.00031263975717095156, -0.00029958341563891664, 0.0006521617745037551, -6.995048231838936e-05, 0.00012638852228943925, 0.00018377220802414754, -8.02502903241247e-05, -0.00017797576449388923, -0.00018813949788181153, -8.048549095676485e-05, -6.473214159437554e-05, -6.31115260668239e-05, 1.6005079054426263e-06, -6.056729679444333e-05, -2.3967329551368537e-05]","[-0.12829073364990148, 0.014632488028804071, 0.01402141168043354, -0.030523147294577245, 0.0032738945436591596, -0.005915365838667841, -0.008601096221008976, 0.003755956769866988, 0.008329805098812492, 0.008805498620559328, 0.003766964872203737, 0.0030296603846215967, 0.0029538106669760376, -7.490861999867235e-05, 0.002834733027242972, 0.0011217436512754163]",0.00018799551362779743,0.008798759721155548
R0,0,1993,2,4,"[0.014535458631192372, 0.002050391001173527, 0.000604153167554947, 0.0002985107580209298, 0.00043767144818586797, 0.00032358789513347805, 0.0003500749465557164, 0.00031810551571858004, 0.00018503397977085882, 0.00012379283090674034, 0.0001892653738612385, 0.00011835707043738596, 0.00014984769968885643, 0.00015009813262258372, 0.00014862200967541314, 0.00016228011245561714]",0.02014525057295411,0.004323175547824291,"[-0.01880903266233896, 0.0039505498317128004, 0.0006105749434114333, 0.00021545322426834229, 0.0009753998153636646, -0.0014556461699903624, 0.0011487757302794269, -0.0002843450277410942, -7.441125191025275e-05, 0.00021475962057303873, 0.00033963661495386613, 0.00027608684788729915, -0.00021577820974905026, -0.0005388911760722951, -4.867390883677024e-05, 0.0003846101259523036]","[0.07727925155536328, -0.01623132564590733, -0.002508623143590538, -0.0008852163859540459, -0.004007551533975057, 0.005980703450609969, -0.004719888057758332, 0.001168266934392593, 0.0003057278892622687, -0.0008823666288500471, -0.0013954393017236643, -0.0011343371746985263, 0.0008865516292473289, 0.00221410146413546, 0.00019998281212574504, -0.0015802185688007576]",0.0011611795246546975,0.0047708505906527915
R0,0,1993,2,0,"[0.34134046201336055, 0.030668536861254994, 0.014400855873541153, 0.008017056491074991, 0.006248277186179495, 0.017435860355358483, 0.007098978619204607, 0.006143742009631264, 0.005079638877359623, 0.0039703030194489985, 0.004550969409797029, 0.0031423617212266806, 0.0037949180712565475, 0.003074937419073992, 0.0025276806333718654, 0.0023401097454224785]",0.45983468830656277,0.10267198921244386,"[-0.43690558961796955, -0.06665296040626113, -0.020025238365209055, 0.022470106554628198, 0.0025285709936594975, 0.06897460811099417, -0.006549413511280642, 0.012844751107505265, -0.011688584142092204, 0.004279850938922449, -0.025068351720539284, -0.006661139568766543, -0.010565753440678033, 0.0002796792029729421, 0.009305494517792374, 0.0015249672497955353]","[-0.33981661124313445, -0.051841367272008144, -0.015575238226069711, 0.017476808823486432, 0.0019666729993186756, 0.053647099389586755, -0.005094005565320075, 0.009990395859733804, -0.009091151836416437, 0.003328784243667061, -0.01949767302948301, -0.005180903904788825, -0.008217836106379774, 0.0002175290068331595, 0.007237631397077716, 0.0011860896619230873]",0.025979996653727796,0.020206732604857097
R0,0,1993,2,3,"[0.04068818399907332, 0.0035396164206125814, 0.002272676390108256, 0.0011492046404665973, 0.0010446737660705198, 0.0010086785230899757, 0.001234761041668036, 0.0007836874891657705, 0.0006886085251563233, 0.0006308308643157511, 0.0005941360364205575, 0.0004080036855887092, 0.00041244041503214784, 0.0003685916171467531, 0.00040038205509829167, 0.00035530217274961214]",0.0555797776417632,0.014192633879887277,"[-0.05309028226446865, -0.0001710255482584561, 0.0008814439741566018, 0.0043236574822008355, -0.0008498982530987821, 0.0004415780800668174, 0.0016100939945087375, -0.0008656348231081067, 0.0008256603291125651, -0.0019407378917204476, -0.0014047189906434914, 0.0008820136863329726, 0.00015000853261408113, -0.0007577701108388716, -0.001374860498945868, 0.0003955546572656817]","[0.04202303161630512, 0.00013537340008589691, -0.000697697326404581, -0.003422343738304066, 0.0006727276563100042, -0.0003495262942335918, -0.0012744522716871356, 0.0006851837659938773, -0.0006535423929709939, 0.0015361698281516167, 0.0011118899361238226, -0.000698148275839745, -0.00011873761147764101, 0.0005998046340579506, 0.0010882557739550491, -0.0003130969578471653]",0.003262862346981484,0.002582682964159349
R0,0,1993,2,7,"[0.0008730673800055903, 5.8432631030690286e-05, 4.8892832823315884e-05, 3.155976791409009e-05, 2.031204413575515e-05, 1.4508722066901594e-05, 2.276979379955727e-05, 1.7652636910863967e-05, 2.0368586157330056e-05, 3.351497783217519e-05, 1.76614190700628e-05, 1.941155574786878e-05, 9.02249023846089e-06, 1.1642641606277769e-05, 1.3751369376210641e-05, 1.0547289663173446e-05]",0.001223116138378324,0.0002193456702741976,"[-0.0011182499020455767, -0.00014112617794988867, 7.456971886474338e-05, -4.671037541969085e-05, 1.2534158612380072e-05, -5.256614943542427e-05, -3.189592725100452e-05, 1.9776005909132574e-05, 3.200082510132249e-05, 0.0001498040072831708, -3.367991722851379e-05, -8.641116953662779e-05, -2.056515220011496e-05, 2.7406367104691208e-05, 3.894756181149992e-08, 4.3509352629504054e-05]","[0.09578638744281145, 0.012088502520503898, -0.006387448789053171, 0.004001089657477419, -0.001073643530769703, 0.004502680078028795, 0.0027321224351763295, -0.0016939613950498697, -0.0027411077130771646, -0.012831822883116765, 0.0028849343914905626, 0.007401756753549482, 0.0017615576204005915, -0.002347558352643504, -3.336147169612607e-06, -0.003726898344217985]",0.00010305699928129436,0.008827595373622725
R0,0,1993,2,5,"[0.008240327430956651, 0.0007402292862197064, 0.00048701088848441187, 0.0001797296993960238, 0.00021810348149848289, 0.00023139776138742324, 0.00013031453207098338, 0.0002046602174858097, 0.00014617622725556195, 9.051656596479957e-05, 8.827211007327491e-05, 8.570245912463496e-05, 8.45333956840591e-05, 6.436580916959604e-05, 8.821759262156272e-05, 7.914039471197233e-05]",0.011158697852104953,0.0025179769312935873,"[-0.0105930539966217, 0.0002798336896297962, 0.0006899928770718888, 0.0005891976853436613, -0.00018114197719941986, -0.0011200536394810779, 0.00014014208291204117, -0.0005322829388294718, 0.00014014061948905212, -5.3387379867161214e-05, 0.00022378149580358988, 0.0002220488983283909, 0.0001665558881576511, 0.00011086061508784872, -9.187173740204611e-05, -9.972283145327472e-05]","[0.08622373541195481, -0.00227774785455503, -0.005616299443744335, -0.004795862018886143, 0.0014744320116769185, 0.009116842856518327, -0.001140707286202984, 0.004332595991351222, -0.0011406953744543455, 0.0004345545031179607, -0.0018215027026591106, -0.0018073999683272859, -0.0013557063747988473, -0.0009023664323800976, 0.0007478036437949717, 0.0008117087892217292]",0.000670138583266953,0.005454692472197316
