method,order_seed,session,seen_classes,old_classes,current_classes,split,predictor,scope,n_images,n_classes,correct_sample_weighted,correct_class_macro,to_other_sample_weighted,to_other_class_macro,wrong_within_sample_weighted,wrong_within_class_macro,mix_seed
R0,1993,0,4,0,4,val,G1_analytic_all_seen,current,149,4,34.899328859060404,29.939024390243908,0.0,0.0,65.1006711409396,70.0609756097561,0
R0,1993,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,0
R0,1993,1,6,4,2,val,G1_analytic_all_seen,current,63,2,0.0,0.0,100.0,100.0,0.0,0.0,0
R0,1993,1,6,4,2,val,G1_analytic_all_seen,old,149,4,34.899328859060404,29.939024390243908,0.0,0.0,65.1006711409396,70.0609756097561,0
R0,1993,2,8,6,2,val,G1_analytic_all_seen,current,83,2,60.24096385542169,59.106933019976495,32.53012048192771,33.84253819036428,7.228915662650602,7.050528789659224,0
R0,1993,2,8,6,2,val,G1_analytic_all_seen,old,212,6,20.28301886792453,16.28787878787879,41.0377358490566,41.29936605546361,38.67924528301887,42.4127551566576,0
R0,1994,0,4,0,4,val,G1_analytic_all_seen,current,142,4,41.54929577464789,36.91496374423204,0.0,0.0,58.45070422535211,63.08503625576797,0
R0,1994,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,0
R0,1994,1,6,4,2,val,G1_analytic_all_seen,current,81,2,80.24691358024691,78.37837837837837,0.0,0.0,19.753086419753085,21.62162162162162,0
R0,1994,1,6,4,2,val,G1_analytic_all_seen,old,142,4,2.8169014084507045,2.4847560975609757,86.61971830985915,87.70970665787739,10.56338028169014,9.805537244561634,0
R0,1994,2,8,6,2,val,G1_analytic_all_seen,current,72,2,44.44444444444444,34.78260869565217,40.27777777777778,44.06354515050167,15.277777777777779,21.153846153846153,0
R0,1994,2,8,6,2,val,G1_analytic_all_seen,old,223,6,27.3542600896861,24.395986895986898,30.493273542600896,30.322115352603156,42.152466367713004,45.28189775140996,0
R0,1995,0,4,0,4,val,G1_analytic_all_seen,current,147,4,46.93877551020408,41.68918918918919,0.0,0.0,53.06122448979592,58.31081081081081,0
R0,1995,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,0
R0,1995,1,6,4,2,val,G1_analytic_all_seen,current,78,2,1.282051282051282,1.2195121951219512,97.43589743589743,97.4291364535267,1.282051282051282,1.3513513513513513,0
R0,1995,1,6,4,2,val,G1_analytic_all_seen,old,147,4,46.25850340136054,41.064189189189186,0.0,0.0,53.74149659863946,58.93581081081081,0
R0,1995,2,8,6,2,val,G1_analytic_all_seen,current,70,2,45.714285714285715,34.78260869565217,47.14285714285714,54.80072463768116,7.142857142857142,10.416666666666668,0
R0,1995,2,8,6,2,val,G1_analytic_all_seen,old,225,6,27.111111111111114,24.395986895986898,32.88888888888889,33.901175181662985,40.0,41.70283792235012,0
B0,1993,0,4,0,4,val,G1_analytic_all_seen,current,149,4,70.46979865771812,67.86446784922394,0.0,0.0,29.53020134228188,32.13553215077605,0
B0,1993,0,4,0,4,val,G1_analytic_all_seen,old,0,0,,,,,,,0
B0,1993,1,6,4,2,val,G1_analytic_all_seen,current,63,2,65.07936507936508,68.55509355509355,33.33333333333333,29.521829521829524,1.5873015873015872,1.9230769230769231,0
B0,1993,1,6,4,2,val,G1_analytic_all_seen,old,149,4,64.42953020134227,62.81966001478197,10.738255033557047,11.847745750184776,24.832214765100673,25.332594235033255,0
B0,1993,2,8,6,2,val,G1_analytic_all_seen,current,83,2,46.98795180722892,47.41480611045829,50.602409638554214,50.146886016451234,2.4096385542168677,2.4383078730904817,0
