method,session,metric,mean_fixed_orders_then_mix,std_across_mix,values_by_mix,order_repetitions_are_not_independent
R0,0,balanced_accuracy,36.18105910788838,,[36.18105910788838],True
R0,0,tail_rank2,0.0,,[0.0],True
R0,0,old_macro_recall,,,[null],True
R0,0,current_macro_recall,36.18105910788838,,[36.18105910788838],True
R0,0,label_6_recall,,,[null],True
R0,0,label_7_recall,,,[null],True
R0,1,balanced_accuracy,25.174869991943165,,[25.174869991943165],True
R0,1,tail_rank2,0.0,,[0.0],True
R0,1,old_macro_recall,24.495989892331355,,[24.495989892331355],True
R0,1,current_macro_recall,26.532630191166778,,[26.532630191166778],True
R0,1,label_6_recall,,,[null],True
R0,1,label_7_recall,,,[null],True
R0,2,balanced_accuracy,26.992642345903217,,[26.992642345903217],True
R0,2,tail_rank2,0.0,,[0.0],True
R0,2,old_macro_recall,21.693284193284196,,[21.693284193284196],True
R0,2,current_macro_recall,42.89071680376028,,[42.89071680376028],True
R0,2,label_6_recall,0.0,,[0.0],True
R0,2,label_7_recall,0.0,,[0.0],True
B0,0,balanced_accuracy,69.08018915640866,,[69.08018915640866],True
B0,0,tail_rank2,66.77350427350427,,[66.77350427350427],True
B0,0,old_macro_recall,,,[null],True
B0,0,current_macro_recall,69.08018915640866,,[69.08018915640866],True
B0,0,label_6_recall,,,[null],True
B0,0,label_7_recall,,,[null],True
B0,1,balanced_accuracy,60.530637024539466,,[60.530637024539466],True
B0,1,tail_rank2,71.20726495726495,,[71.20726495726495],True
B0,1,old_macro_recall,60.133949722364356,,[60.133949722364356],True
B0,1,current_macro_recall,61.32401162888967,,[61.32401162888967],True
B0,1,label_6_recall,,,[null],True
B0,1,label_7_recall,,,[null],True
B0,2,balanced_accuracy,55.497263593432734,,[55.497263593432734],True
B0,2,tail_rank2,71.15384615384616,,[71.15384615384616],True
B0,2,old_macro_recall,55.99113888748035,,[55.99113888748035],True
B0,2,current_macro_recall,54.015637711289884,,[54.015637711289884],True
B0,2,label_6_recall,92.3076923076923,,[92.3076923076923],True
B0,2,label_7_recall,50.0,,[50.0],True
B1,0,balanced_accuracy,69.08018915640866,,[69.08018915640866],True
B1,0,tail_rank2,66.77350427350427,,[66.77350427350427],True
B1,0,old_macro_recall,,,[null],True
B1,0,current_macro_recall,69.08018915640866,,[69.08018915640866],True
B1,0,label_6_recall,,,[null],True
B1,0,label_7_recall,,,[null],True
B1,1,balanced_accuracy,60.530637024539466,,[60.530637024539466],True
B1,1,tail_rank2,71.20726495726495,,[71.20726495726495],True
