dataset,method,seeds,status,tasks_per_seed
ISIC,P,3,COMPLETE,4
ISIC,F,3,COMPLETE,4
ISIC,F2,3,COMPLETE,4
ISIC,G.V,3,COMPLETE,4
ISIC,G.J,3,COMPLETE,4
ISIC,G.J1,3,COMPLETE,4
ISIC,G.Z,3,COMPLETE,4
ISIC,G.L,3,COMPLETE,4
ISIC,G.R,3,COMPLETE,4
ISIC,G.R-no-gate,3,COMPLETE,4
ISIC,G.R-identity,3,COMPLETE,4
ISIC,G.R-zero-prior,3,COMPLETE,4
ISIC,G.L-permute,3,COMPLETE,4
ISIC,G.template-0,3,COMPLETE,4
ISIC,G.template-1,3,COMPLETE,4
ISIC,B.V,3,COMPLETE,4
ISIC,B.J,3,COMPLETE,4
ISIC,B.J1,3,COMPLETE,4
ISIC,B.Z,3,COMPLETE,4
ISIC,B.L,3,COMPLETE,4
ISIC,B.R,3,COMPLETE,4
ISIC,B.R-no-gate,3,COMPLETE,4
ISIC,B.R-identity,3,COMPLETE,4
ISIC,B.R-zero-prior,3,COMPLETE,4
ISIC,B.L-permute,3,COMPLETE,4
ISIC,B.template-0,3,COMPLETE,4
ISIC,B.template-1,3,COMPLETE,4
HK,P,3,COMPLETE,11
HK,F,3,COMPLETE,11
HK,F2,3,COMPLETE,11
HK,G.V,3,COMPLETE,11
HK,G.J,3,COMPLETE,11
HK,G.J1,3,COMPLETE,11
HK,G.Z,3,COMPLETE,11
HK,G.L,3,COMPLETE,11
HK,G.R,3,COMPLETE,11
HK,G.R-no-gate,3,COMPLETE,11
HK,G.R-identity,3,COMPLETE,11
HK,G.R-zero-prior,3,COMPLETE,11
HK,G.L-permute,3,COMPLETE,11
HK,G.template-0,3,COMPLETE,11
HK,G.template-1,3,COMPLETE,11
HK,B.V,3,COMPLETE,11
HK,B.J,3,COMPLETE,11
HK,B.J1,3,COMPLETE,11
HK,B.Z,3,COMPLETE,11
HK,B.L,3,COMPLETE,11
HK,B.R,3,COMPLETE,11
HK,B.R-no-gate,3,COMPLETE,11
HK,B.R-identity,3,COMPLETE,11
HK,B.R-zero-prior,3,COMPLETE,11
HK,B.L-permute,3,COMPLETE,11
HK,B.template-0,3,COMPLETE,11
HK,B.template-1,3,COMPLETE,11
ISIC,D.V,0,BLOCKED_ACCESS_LICENSE,0
ISIC,D.J,0,BLOCKED_ACCESS_LICENSE,0
ISIC,D.J1,0,BLOCKED_ACCESS_LICENSE,0
ISIC,D.Z,0,BLOCKED_ACCESS_LICENSE,0
ISIC,D.L,0,BLOCKED_ACCESS_LICENSE,0
ISIC,D.R,0,BLOCKED_ACCESS_LICENSE,0
ISIC,D.R-no-gate,0,BLOCKED_ACCESS_LICENSE,0
ISIC,D.R-identity,0,BLOCKED_ACCESS_LICENSE,0
ISIC,D.R-zero-prior,0,BLOCKED_ACCESS_LICENSE,0
ISIC,D.L-permute,0,BLOCKED_ACCESS_LICENSE,0
ISIC,D.template-0,0,BLOCKED_ACCESS_LICENSE,0
ISIC,D.template-1,0,BLOCKED_ACCESS_LICENSE,0
