class_id,dataset,final_recall,first_recall,first_task,maximum_forgetting,method,seed,signed_forgetting
4,ISIC,0.5365853658536586,0.926829268292683,1,0.3902439024390244,G.V,1993,0.3902439024390244
0,ISIC,0.75,0.9545454545454546,1,0.20454545454545459,G.V,1993,0.20454545454545459
4,ISIC,0.5365853658536586,0.9512195121951219,1,0.41463414634146334,G.J,1993,0.41463414634146334
0,ISIC,0.7954545454545454,1.0,1,0.20454545454545459,G.J,1993,0.20454545454545459
4,ISIC,0.5853658536585366,0.9512195121951219,1,0.36585365853658536,G.J1,1993,0.36585365853658536
0,ISIC,0.7954545454545454,1.0,1,0.20454545454545459,G.J1,1993,0.20454545454545459
4,ISIC,0.0,0.7073170731707317,1,0.7073170731707317,G.Z,1993,0.7073170731707317
0,ISIC,0.29545454545454547,0.7272727272727273,1,0.4318181818181818,G.Z,1993,0.4318181818181818
4,ISIC,0.5609756097560976,0.9512195121951219,1,0.3902439024390243,G.L,1993,0.3902439024390243
0,ISIC,0.8181818181818182,1.0,1,0.18181818181818177,G.L,1993,0.18181818181818177
4,ISIC,0.5365853658536586,0.9512195121951219,1,0.41463414634146334,G.R,1993,0.41463414634146334
0,ISIC,0.7954545454545454,1.0,1,0.20454545454545459,G.R,1993,0.20454545454545459
4,ISIC,0.5365853658536586,0.9512195121951219,1,0.41463414634146334,G.R-no-gate,1993,0.41463414634146334
0,ISIC,0.7954545454545454,1.0,1,0.20454545454545459,G.R-no-gate,1993,0.20454545454545459
4,ISIC,0.5365853658536586,0.9512195121951219,1,0.41463414634146334,G.R-identity,1993,0.41463414634146334
0,ISIC,0.7954545454545454,1.0,1,0.20454545454545459,G.R-identity,1993,0.20454545454545459
4,ISIC,0.5365853658536586,0.9512195121951219,1,0.41463414634146334,G.R-zero-prior,1993,0.41463414634146334
0,ISIC,0.7954545454545454,1.0,1,0.20454545454545459,G.R-zero-prior,1993,0.20454545454545459
4,ISIC,0.6097560975609756,0.9512195121951219,1,0.3414634146341463,G.L-permute,1993,0.3414634146341463
0,ISIC,0.7727272727272727,1.0,1,0.2272727272727273,G.L-permute,1993,0.2272727272727273
4,ISIC,0.0,0.7073170731707317,1,0.7073170731707317,G.template-0,1993,0.7073170731707317
0,ISIC,0.25,0.5909090909090909,1,0.34090909090909094,G.template-0,1993,0.34090909090909094
4,ISIC,0.024390243902439025,0.7073170731707317,1,0.6829268292682926,G.template-1,1993,0.6829268292682926
0,ISIC,0.4318181818181818,0.8181818181818182,1,0.3863636363636364,G.template-1,1993,0.3863636363636364
4,ISIC,0.5609756097560976,0.9512195121951219,1,0.3902439024390243,P,1993,0.3902439024390243
0,ISIC,0.75,0.9545454545454546,1,0.20454545454545459,P,1993,0.20454545454545459
4,ISIC,0.6097560975609756,0.9512195121951219,1,0.3414634146341463,F,1993,0.3414634146341463
0,ISIC,0.7954545454545454,1.0,1,0.20454545454545459,F,1993,0.20454545454545459
4,ISIC,0.6341463414634146,0.9512195121951219,1,0.31707317073170727,F2,1993,0.31707317073170727
0,ISIC,0.7727272727272727,1.0,1,0.2272727272727273,F2,1993,0.2272727272727273
3,ISIC,0.4,0.625,2,0.22499999999999998,G.V,1993,0.22499999999999998
7,ISIC,0.375,0.5,2,0.125,G.V,1993,0.125
3,ISIC,0.625,0.775,2,0.15000000000000002,G.J,1993,0.15000000000000002
7,ISIC,0.5,0.5,2,0.04166666666666663,G.J,1993,0.0
3,ISIC,0.575,0.7,2,0.125,G.J1,1993,0.125
7,ISIC,0.5416666666666666,0.5416666666666666,2,0.0,G.J1,1993,0.0
3,ISIC,0.45,0.55,2,0.10000000000000003,G.Z,1993,0.10000000000000003
7,ISIC,0.0,0.0,2,0.0,G.Z,1993,0.0
3,ISIC,0.65,0.775,2,0.125,G.L,1993,0.125
7,ISIC,0.5,0.5,2,0.0,G.L,1993,0.0
3,ISIC,0.625,0.775,2,0.15000000000000002,G.R,1993,0.15000000000000002
7,ISIC,0.5,0.5416666666666666,2,0.04166666666666663,G.R,1993,0.04166666666666663
3,ISIC,0.625,0.775,2,0.15000000000000002,G.R-no-gate,1993,0.15000000000000002
7,ISIC,0.5,0.5416666666666666,2,0.04166666666666663,G.R-no-gate,1993,0.04166666666666663
3,ISIC,0.625,0.775,2,0.15000000000000002,G.R-identity,1993,0.15000000000000002
7,ISIC,0.5,0.5416666666666666,2,0.04166666666666663,G.R-identity,1993,0.04166666666666663
3,ISIC,0.625,0.775,2,0.15000000000000002,G.R-zero-prior,1993,0.15000000000000002
7,ISIC,0.5,0.5416666666666666,2,0.04166666666666663,G.R-zero-prior,1993,0.04166666666666663
3,ISIC,0.6,0.8,2,0.20000000000000007,G.L-permute,1993,0.20000000000000007
7,ISIC,0.5,0.5,2,0.04166666666666663,G.L-permute,1993,0.0
3,ISIC,0.475,0.675,2,0.20000000000000007,G.template-0,1993,0.20000000000000007
7,ISIC,0.0,0.0,2,0.0,G.template-0,1993,0.0
3,ISIC,0.425,0.475,2,0.04999999999999999,G.template-1,1993,0.04999999999999999
7,ISIC,0.0,0.0,2,0.0,G.template-1,1993,0.0
3,ISIC,0.325,0.525,2,0.2,P,1993,0.2
7,ISIC,0.5,0.5,2,0.04166666666666663,P,1993,0.0
3,ISIC,0.475,0.65,2,0.17500000000000004,F,1993,0.17500000000000004
7,ISIC,0.5416666666666666,0.5833333333333334,2,0.04166666666666674,F,1993,0.04166666666666674
3,ISIC,0.4,0.625,2,0.22499999999999998,F2,1993,0.22499999999999998
7,ISIC,0.5833333333333334,0.5833333333333334,2,0.0,F2,1993,0.0
