dataset,seed,method,class_id,first_task,first_recall,final_recall,signed_forgetting,maximum_forgetting
ISIC,1993,P,4,1,0.9512195121951219,0.5609756097560976,0.3902439024390243,0.3902439024390243
ISIC,1993,P,0,1,0.9545454545454546,0.75,0.20454545454545459,0.20454545454545459
ISIC,1993,P,3,2,0.525,0.325,0.2,0.2
ISIC,1993,P,7,2,0.5,0.5,0.0,0.04166666666666663
ISIC,1993,P,5,3,0.4864864864864865,0.43243243243243246,0.05405405405405406,0.05405405405405406
ISIC,1993,P,6,3,0.8846153846153846,0.9230769230769231,-0.03846153846153855,0.0
ISIC,1993,P,2,4,0.43478260869565216,0.43478260869565216,0.0,0.0
ISIC,1993,P,1,4,0.5135135135135135,0.5135135135135135,0.0,0.0
ISIC,1993,A0,4,1,0.9512195121951219,0.6097560975609756,0.3414634146341463,0.3414634146341463
ISIC,1993,A0,0,1,1.0,0.7954545454545454,0.20454545454545459,0.20454545454545459
ISIC,1993,A0,3,2,0.65,0.475,0.17500000000000004,0.17500000000000004
ISIC,1993,A0,7,2,0.5833333333333334,0.5416666666666666,0.04166666666666674,0.04166666666666674
ISIC,1993,A0,5,3,0.5135135135135135,0.4594594594594595,0.054054054054054,0.054054054054054
ISIC,1993,A0,6,3,0.9230769230769231,0.8846153846153846,0.03846153846153855,0.03846153846153855
ISIC,1993,A0,2,4,0.41304347826086957,0.41304347826086957,0.0,0.0
ISIC,1993,A0,1,4,0.5405405405405406,0.5405405405405406,0.0,0.0
ISIC,1993,A1,4,1,0.926829268292683,0.5365853658536586,0.3902439024390244,0.3902439024390244
ISIC,1993,A1,0,1,0.9545454545454546,0.75,0.20454545454545459,0.20454545454545459
ISIC,1993,A1,3,2,0.625,0.4,0.22499999999999998,0.22499999999999998
ISIC,1993,A1,7,2,0.5,0.375,0.125,0.125
ISIC,1993,A1,5,3,0.4864864864864865,0.3783783783783784,0.10810810810810811,0.10810810810810811
ISIC,1993,A1,6,3,0.9230769230769231,0.9230769230769231,0.0,0.0
ISIC,1993,A1,2,4,0.30434782608695654,0.30434782608695654,0.0,0.0
ISIC,1993,A1,1,4,0.5675675675675675,0.5675675675675675,0.0,0.0
ISIC,1993,A2,4,1,0.9512195121951219,0.5853658536585366,0.36585365853658536,0.36585365853658536
ISIC,1993,A2,0,1,1.0,0.7954545454545454,0.20454545454545459,0.20454545454545459
ISIC,1993,A2,3,2,0.7,0.575,0.125,0.125
ISIC,1993,A2,7,2,0.5416666666666666,0.5416666666666666,0.0,0.0
ISIC,1993,A2,5,3,0.5135135135135135,0.4864864864864865,0.027027027027026973,0.027027027027026973
ISIC,1993,A2,6,3,0.9230769230769231,0.8846153846153846,0.03846153846153855,0.03846153846153855
ISIC,1993,A2,2,4,0.41304347826086957,0.41304347826086957,0.0,0.0
ISIC,1993,A2,1,4,0.5405405405405406,0.5405405405405406,0.0,0.0
ISIC,1993,A3,4,1,0.9512195121951219,0.6585365853658537,0.2926829268292682,0.2926829268292682
ISIC,1993,A3,0,1,1.0,0.7954545454545454,0.20454545454545459,0.20454545454545459
ISIC,1993,A3,3,2,0.7,0.6,0.09999999999999998,0.09999999999999998
ISIC,1993,A3,7,2,0.5416666666666666,0.5,0.04166666666666663,0.04166666666666663
ISIC,1993,A3,5,3,0.4864864864864865,0.4864864864864865,0.0,0.0
ISIC,1993,A3,6,3,0.9230769230769231,0.8846153846153846,0.03846153846153855,0.03846153846153855
ISIC,1993,A3,2,4,0.391304347826087,0.391304347826087,0.0,0.0
ISIC,1993,A3,1,4,0.5135135135135135,0.5135135135135135,0.0,0.0
ISIC,1993,A3s,4,1,0.9512195121951219,0.6585365853658537,0.2926829268292682,0.2926829268292682
ISIC,1993,A3s,0,1,1.0,0.7954545454545454,0.20454545454545459,0.20454545454545459
ISIC,1993,A3s,3,2,0.7,0.575,0.125,0.125
ISIC,1993,A3s,7,2,0.5416666666666666,0.5,0.04166666666666663,0.04166666666666663
ISIC,1993,A3s,5,3,0.4864864864864865,0.4864864864864865,0.0,0.0
ISIC,1993,A3s,6,3,0.9230769230769231,0.8846153846153846,0.03846153846153855,0.03846153846153855
ISIC,1993,A3s,2,4,0.3695652173913043,0.3695652173913043,0.0,0.0
ISIC,1993,A3s,1,4,0.5135135135135135,0.5135135135135135,0.0,0.0
ISIC,1993,A4,4,1,0.9512195121951219,0.5853658536585366,0.36585365853658536,0.36585365853658536
ISIC,1993,A4,0,1,1.0,0.7954545454545454,0.20454545454545459,0.20454545454545459
ISIC,1993,A4,3,2,0.7,0.575,0.125,0.125
ISIC,1993,A4,7,2,0.5416666666666666,0.5416666666666666,0.0,0.0
ISIC,1993,A4,5,3,0.5135135135135135,0.4864864864864865,0.027027027027026973,0.027027027027026973
ISIC,1993,A4,6,3,0.9230769230769231,0.8846153846153846,0.03846153846153855,0.03846153846153855
ISIC,1993,A4,2,4,0.41304347826086957,0.41304347826086957,0.0,0.0
ISIC,1993,A4,1,4,0.5405405405405406,0.5405405405405406,0.0,0.0
ISIC,1993,A5,4,1,0.9512195121951219,0.5853658536585366,0.36585365853658536,0.36585365853658536
ISIC,1993,A5,0,1,1.0,0.7954545454545454,0.20454545454545459,0.20454545454545459
ISIC,1993,A5,3,2,0.7,0.575,0.125,0.125
ISIC,1993,A5,7,2,0.5833333333333334,0.5416666666666666,0.04166666666666674,0.04166666666666674
ISIC,1993,A5,5,3,0.5135135135135135,0.4864864864864865,0.027027027027026973,0.027027027027026973
ISIC,1993,A5,6,3,0.9230769230769231,0.8846153846153846,0.03846153846153855,0.03846153846153855
ISIC,1993,A5,2,4,0.41304347826086957,0.41304347826086957,0.0,0.0
ISIC,1993,A5,1,4,0.5405405405405406,0.5405405405405406,0.0,0.0
ISIC,1993,A6,4,1,0.9512195121951219,0.5853658536585366,0.36585365853658536,0.36585365853658536
ISIC,1993,A6,0,1,1.0,0.7954545454545454,0.20454545454545459,0.20454545454545459
ISIC,1993,A6,3,2,0.7,0.575,0.125,0.125
ISIC,1993,A6,7,2,0.5416666666666666,0.5416666666666666,0.0,0.0
ISIC,1993,A6,5,3,0.5135135135135135,0.4864864864864865,0.027027027027026973,0.027027027027026973
ISIC,1993,A6,6,3,0.9230769230769231,0.8846153846153846,0.03846153846153855,0.03846153846153855
ISIC,1993,A6,2,4,0.41304347826086957,0.41304347826086957,0.0,0.0
ISIC,1993,A6,1,4,0.5405405405405406,0.5405405405405406,0.0,0.0
ISIC,1993,A7,4,1,0.8292682926829268,0.4146341463414634,0.4146341463414634,0.4146341463414634
ISIC,1993,A7,0,1,0.9090909090909091,0.7045454545454546,0.20454545454545447,0.20454545454545447
ISIC,1993,A7,3,2,0.5,0.25,0.25,0.25
ISIC,1993,A7,7,2,0.4583333333333333,0.4583333333333333,0.0,0.0
ISIC,1993,A7,5,3,0.4864864864864865,0.4864864864864865,0.0,0.0
ISIC,1993,A7,6,3,0.7307692307692307,0.7307692307692307,0.0,0.0
ISIC,1993,A7,2,4,0.2826086956521739,0.2826086956521739,0.0,0.0
ISIC,1993,A7,1,4,0.40540540540540543,0.40540540540540543,0.0,0.0
ISIC,1993,A8,4,1,0.9512195121951219,0.5609756097560976,0.3902439024390243,0.3902439024390243
ISIC,1993,A8,0,1,1.0,0.7954545454545454,0.20454545454545459,0.20454545454545459
ISIC,1993,A8,3,2,0.7,0.575,0.125,0.125
ISIC,1993,A8,7,2,0.5416666666666666,0.5416666666666666,0.0,0.0
ISIC,1993,A8,5,3,0.5135135135135135,0.4864864864864865,0.027027027027026973,0.027027027027026973
ISIC,1993,A8,6,3,0.9230769230769231,0.8846153846153846,0.03846153846153855,0.03846153846153855
ISIC,1993,A8,2,4,0.41304347826086957,0.41304347826086957,0.0,0.0
ISIC,1993,A8,1,4,0.5405405405405406,0.5405405405405406,0.0,0.0
ISIC,1994,P,3,1,0.975,0.325,0.6499999999999999,0.6499999999999999
ISIC,1994,P,7,1,0.5416666666666666,0.5,0.04166666666666663,0.04166666666666663
ISIC,1994,P,4,2,0.5121951219512195,0.5609756097560976,-0.04878048780487809,0.04878048780487798
ISIC,1994,P,5,2,0.5135135135135135,0.43243243243243246,0.08108108108108103,0.08108108108108103
ISIC,1994,P,1,3,0.4864864864864865,0.5135135135135135,-0.027027027027026973,0.0
ISIC,1994,P,0,3,0.75,0.75,0.0,0.0
ISIC,1994,P,6,4,0.9230769230769231,0.9230769230769231,0.0,0.0
ISIC,1994,P,2,4,0.43478260869565216,0.43478260869565216,0.0,0.0
ISIC,1994,A0,3,1,0.975,0.3,0.675,0.675
ISIC,1994,A0,7,1,0.5,0.5416666666666666,-0.04166666666666663,0.0
ISIC,1994,A0,4,2,0.5609756097560976,0.6097560975609756,-0.04878048780487798,0.0
ISIC,1994,A0,5,2,0.5405405405405406,0.4864864864864865,0.05405405405405406,0.05405405405405406
ISIC,1994,A0,1,3,0.4864864864864865,0.5135135135135135,-0.027027027027026973,0.0
ISIC,1994,A0,0,3,0.75,0.75,0.0,0.0
ISIC,1994,A0,6,4,0.8461538461538461,0.8461538461538461,0.0,0.0
ISIC,1994,A0,2,4,0.3695652173913043,0.3695652173913043,0.0,0.0
ISIC,1994,A1,3,1,0.95,0.4,0.5499999999999999,0.5499999999999999
ISIC,1994,A1,7,1,0.5833333333333334,0.375,0.20833333333333337,0.20833333333333337
ISIC,1994,A1,4,2,0.6341463414634146,0.5365853658536586,0.09756097560975607,0.09756097560975607
ISIC,1994,A1,5,2,0.5135135135135135,0.3783783783783784,0.1351351351351351,0.1351351351351351
ISIC,1994,A1,1,3,0.5135135135135135,0.5675675675675675,-0.05405405405405406,0.0
ISIC,1994,A1,0,3,0.7954545454545454,0.75,0.045454545454545414,0.045454545454545414
ISIC,1994,A1,6,4,0.9230769230769231,0.9230769230769231,0.0,0.0
ISIC,1994,A1,2,4,0.30434782608695654,0.30434782608695654,0.0,0.0
ISIC,1994,A2,3,1,0.975,0.45,0.5249999999999999,0.5249999999999999
ISIC,1994,A2,7,1,0.5833333333333334,0.4583333333333333,0.12500000000000006,0.12500000000000006
ISIC,1994,A2,4,2,0.5121951219512195,0.5365853658536586,-0.024390243902439046,0.04878048780487798
ISIC,1994,A2,5,2,0.4864864864864865,0.4864864864864865,0.0,0.05405405405405406
ISIC,1994,A2,1,3,0.5405405405405406,0.5405405405405406,0.0,0.0
ISIC,1994,A2,0,3,0.7954545454545454,0.7727272727272727,0.022727272727272707,0.022727272727272707
ISIC,1994,A2,6,4,0.9230769230769231,0.9230769230769231,0.0,0.0
ISIC,1994,A2,2,4,0.43478260869565216,0.43478260869565216,0.0,0.0
ISIC,1994,A3,3,1,0.975,0.575,0.4,0.4
ISIC,1994,A3,7,1,0.5833333333333334,0.4583333333333333,0.12500000000000006,0.12500000000000006
ISIC,1994,A3,4,2,0.5365853658536586,0.5609756097560976,-0.024390243902439046,0.04878048780487798
ISIC,1994,A3,5,2,0.4864864864864865,0.4594594594594595,0.02702702702702703,0.02702702702702703
ISIC,1994,A3,1,3,0.5675675675675675,0.5675675675675675,0.0,0.0
ISIC,1994,A3,0,3,0.7954545454545454,0.7727272727272727,0.022727272727272707,0.022727272727272707
ISIC,1994,A3,6,4,0.9230769230769231,0.9230769230769231,0.0,0.0
ISIC,1994,A3,2,4,0.3695652173913043,0.3695652173913043,0.0,0.0
ISIC,1994,A3s,3,1,0.975,0.575,0.4,0.4
ISIC,1994,A3s,7,1,0.5833333333333334,0.4583333333333333,0.12500000000000006,0.12500000000000006
ISIC,1994,A3s,4,2,0.5365853658536586,0.5853658536585366,-0.04878048780487798,0.0
ISIC,1994,A3s,5,2,0.4864864864864865,0.4594594594594595,0.02702702702702703,0.02702702702702703
ISIC,1994,A3s,1,3,0.5675675675675675,0.5135135135135135,0.05405405405405406,0.05405405405405406
ISIC,1994,A3s,0,3,0.7727272727272727,0.7727272727272727,0.0,0.0
ISIC,1994,A3s,6,4,0.9230769230769231,0.9230769230769231,0.0,0.0
ISIC,1994,A3s,2,4,0.3695652173913043,0.3695652173913043,0.0,0.0
ISIC,1994,A4,3,1,0.975,0.45,0.5249999999999999,0.5249999999999999
ISIC,1994,A4,7,1,0.5833333333333334,0.4583333333333333,0.12500000000000006,0.12500000000000006
ISIC,1994,A4,4,2,0.5121951219512195,0.5365853658536586,-0.024390243902439046,0.04878048780487798
ISIC,1994,A4,5,2,0.4864864864864865,0.4864864864864865,0.0,0.05405405405405406
ISIC,1994,A4,1,3,0.5405405405405406,0.5405405405405406,0.0,0.0
ISIC,1994,A4,0,3,0.7954545454545454,0.7727272727272727,0.022727272727272707,0.022727272727272707
ISIC,1994,A4,6,4,0.9230769230769231,0.9230769230769231,0.0,0.0
ISIC,1994,A4,2,4,0.43478260869565216,0.43478260869565216,0.0,0.0
ISIC,1994,A5,3,1,0.975,0.45,0.5249999999999999,0.5249999999999999
ISIC,1994,A5,7,1,0.5833333333333334,0.4583333333333333,0.12500000000000006,0.12500000000000006
ISIC,1994,A5,4,2,0.5121951219512195,0.5365853658536586,-0.024390243902439046,0.04878048780487798
ISIC,1994,A5,5,2,0.4864864864864865,0.4864864864864865,0.0,0.05405405405405406
