dataset,seed,task,candidate,comparator,ba_difference_pp,macro_f1_difference_pp,accuracy_difference_pp,tail_ba_difference_pp,old_ba_difference_pp,current_ba_difference_pp,hm_difference_pp,zero_recall_difference
ISIC,1993,1,A6,A2,0.0,0.0,0.0,nan,nan,0.0,nan,0
ISIC,1993,1,A2,A0,0.0,0.0,0.0,nan,nan,0.0,nan,0
ISIC,1993,1,A6,A0,0.0,0.0,0.0,nan,nan,0.0,nan,0
ISIC,1993,1,A6,A5,0.0,0.0,0.0,nan,nan,0.0,nan,0
ISIC,1993,1,A6,A4,0.0,0.0,0.0,nan,nan,0.0,nan,0
ISIC,1993,1,A6,A3s,0.0,0.0,0.0,nan,nan,0.0,nan,0
ISIC,1993,2,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1993,2,A2,A0,-0.9696045824094668,-0.9031918732908317,-0.6711409395973145,-4.166666666666674,-2.3558758314855988,0.4166666666666652,-0.5651858932763654,0
ISIC,1993,2,A6,A0,-0.9696045824094668,-0.9031918732908317,-0.6711409395973145,-4.166666666666674,-2.3558758314855988,0.4166666666666652,-0.5651858932763654,0
ISIC,1993,2,A6,A5,-1.041666666666674,-1.072235390228382,-0.6711409395973145,-4.166666666666674,0.0,-2.083333333333326,-1.3479935548619593,0
ISIC,1993,2,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1993,2,A6,A3s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1993,3,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1993,3,A2,A0,-0.287940379403806,-0.42460499918033356,0.0,-2.083333333333326,-0.4319105691056979,0.0,-0.23011852591410253,0
ISIC,1993,3,A6,A0,-0.287940379403806,-0.42460499918033356,0.0,-2.083333333333326,-0.4319105691056979,0.0,-0.23011852591410253,0
ISIC,1993,3,A6,A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1993,3,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1993,3,A6,A3s,-0.8525182610548576,-1.087542774899608,-1.4150943396226467,2.083333333333337,-1.9544530672579552,1.3513513513513375,-0.3742394960013051,0
ISIC,1993,4,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1993,4,A2,A0,1.2829597890573474,1.2825873982215241,1.3559322033898313,0.0,1.7106130520764595,0.0,0.6278734125194863,0
ISIC,1993,4,A6,A0,1.2829597890573474,1.2825873982215241,1.3559322033898313,0.0,1.7106130520764595,0.0,0.6278734125194863,0
ISIC,1993,4,A6,A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1993,4,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1993,4,A6,A3s,0.4875152856992693,0.5478134162216208,0.3389830508474523,2.083333333333326,-0.5250677506775103,3.525264394829619,2.233098055393201,0
ISIC,1994,1,A6,A2,0.0,0.0,0.0,0.0,nan,0.0,nan,0
ISIC,1994,1,A2,A0,4.1666666666666625,4.428085326961728,3.125,8.333333333333337,nan,4.1666666666666625,nan,0
ISIC,1994,1,A6,A0,4.1666666666666625,4.428085326961728,3.125,8.333333333333337,nan,4.1666666666666625,nan,0
ISIC,1994,1,A6,A5,0.0,0.0,0.0,0.0,nan,0.0,nan,0
ISIC,1994,1,A6,A4,0.0,0.0,0.0,0.0,nan,0.0,nan,0
ISIC,1994,1,A6,A3s,0.0,0.0,0.0,0.0,nan,0.0,nan,0
ISIC,1994,2,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1994,2,A2,A0,-0.6958635464733076,-0.9234808577914144,-0.7042253521126751,0.0,3.749999999999998,-5.141727092946607,-1.8325214496792808,0
ISIC,1994,2,A6,A0,-0.6958635464733076,-0.9234808577914144,-0.7042253521126751,0.0,3.749999999999998,-5.141727092946607,-1.8325214496792808,0
ISIC,1994,2,A6,A5,0.6249999999999978,0.7630594043637529,0.7042253521126751,0.0,1.2499999999999956,0.0,0.440999233617112,0
ISIC,1994,2,A6,A4,0.6249999999999978,0.7630594043637529,0.7042253521126751,0.0,1.2499999999999956,0.0,0.440999233617112,0
ISIC,1994,2,A6,A3s,0.4319105691056868,0.4449128702219918,0.0,4.1666666666666625,2.083333333333326,-1.2195121951219468,-0.057318563134178824,0
ISIC,1994,3,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1994,3,A2,A0,4.226044226044223,4.1570957542613085,4.484304932735428,0.0,3.851351351351351,4.975429975429979,4.343590420148402,0
ISIC,1994,3,A6,A0,4.226044226044223,4.1570957542613085,4.484304932735428,0.0,3.851351351351351,4.975429975429979,4.343590420148402,0
ISIC,1994,3,A6,A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1994,3,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1994,3,A6,A3s,-0.004095004095006072,-0.4336502659814445,0.0,0.0,0.10135135135135309,-0.2149877149877133,-0.02291995815882908,0
ISIC,1994,4,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1994,4,A2,A0,2.3173837867634273,2.3524691079350513,2.7118644067796516,-0.3205128205128194,0.7208372452274792,7.107023411371238,3.3732957246419337,0
ISIC,1994,4,A6,A0,2.3173837867634273,2.3524691079350513,2.7118644067796516,-0.3205128205128194,0.7208372452274792,7.107023411371238,3.3732957246419337,0
ISIC,1994,4,A6,A5,-0.33783783783783994,-0.19594481642751793,-0.3389830508474634,0.0,-0.45045045045045695,0.0,-0.27810808270654075,0
ISIC,1994,4,A6,A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1994,4,A6,A3s,-0.6813630305809504,-0.8531173168184081,-0.6779661016949157,0.0,-1.9954405625137506,3.2608695652173836,0.15376371082018725,0
ISIC,1995,1,A6,A2,0.0,0.0,0.0,nan,nan,0.0,nan,0
ISIC,1995,1,A2,A0,-0.1013513513513642,-0.029011382343568926,0.0,nan,nan,-0.1013513513513642,nan,0
ISIC,1995,1,A6,A0,-0.1013513513513642,-0.029011382343568926,0.0,nan,nan,-0.1013513513513642,nan,0
ISIC,1995,1,A6,A5,0.0,0.0,0.0,nan,nan,0.0,nan,0
ISIC,1995,1,A6,A4,0.0,0.0,0.0,nan,nan,0.0,nan,0
ISIC,1995,1,A6,A3s,-0.1013513513513642,-0.029011382343568926,0.0,nan,nan,-0.1013513513513642,nan,0
ISIC,1995,2,A6,A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ISIC,1995,2,A2,A0,0.23518711018711835,0.20773772945350544,0.0,3.8461538461538547,-1.4527027027027017,1.9230769230769273,-0.020134372015678803,0
ISIC,1995,2,A6,A0,0.23518711018711835,0.20773772945350544,0.0,3.8461538461538547,-1.4527027027027017,1.9230769230769273,-0.020134372015678803,0
ISIC,1995,2,A6,A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
